precinct,district,source_year,method,note
KRN001,1/3,residual,residual (not on 2025 ballot),District 1 or 3 — 2025 SOVC did not distinguish; needs city district map
KRN002,1/3,residual,residual (not on 2025 ballot),District 1 or 3 — 2025 SOVC did not distinguish; needs city district map
KRN003,2,2025,2025 SOVC precinct->contest,
KRN004,1/3,residual,residual (not on 2025 ballot),District 1 or 3 — 2025 SOVC did not distinguish; needs city district map
KRN005,2,2025,2025 SOVC precinct->contest,
KRN006,1/3,residual,residual (not on 2025 ballot),District 1 or 3 — 2025 SOVC did not distinguish; needs city district map
KRN007,1/3,residual,residual (not on 2025 ballot),District 1 or 3 — 2025 SOVC did not distinguish; needs city district map
KRN008,4,2025,2025 SOVC precinct->contest,
KRN009,2,2025,2025 SOVC precinct->contest,
KRN010,1/3,residual,residual (not on 2025 ballot),District 1 or 3 — 2025 SOVC did not distinguish; needs city district map
KRN011,1/3,residual,residual (not on 2025 ballot),District 1 or 3 — 2025 SOVC did not distinguish; needs city district map
KRN012,4,2025,2025 SOVC precinct->contest,
KRN013,4,2025,2025 SOVC precinct->contest,
KRN014,4,2025,2025 SOVC precinct->contest,
KRN015,4,2025,2025 SOVC precinct->contest,
KRN016,2,2025,2025 SOVC precinct->contest,
KRN017,1/3,residual,residual (not on 2025 ballot),District 1 or 3 — 2025 SOVC did not distinguish; needs city district map
KRN018,1/3,residual,residual (not on 2025 ballot),District 1 or 3 — 2025 SOVC did not distinguish; needs city district map
KRN019,1/3,residual,residual (not on 2025 ballot),District 1 or 3 — 2025 SOVC did not distinguish; needs city district map
KRN901,1/3,residual,residual (not on 2025 ballot),District 1 or 3 — 2025 SOVC did not distinguish; needs city district map; 0-registered-voter placeholder precinct
