event_id,title,date,body,has_video
3089,City Council Meeting,2025-01-02,Council,no
2852,Planning Commission Meeting,2025-01-07,PlanningCommission,yes
2811,City Council Meeting,2025-01-09,Council,yes
2876,City Council Legislative Meeting,2025-01-09,Council,no
2877,Tree Committee,2025-01-09,TreeCommittee,no
2678,Arts Council,2025-01-15,ArtsCouncil,no
2691,Planning Commission Meeting,2025-01-21,PlanningCommission,yes
2823,City Council Work Meeting,2025-01-23,Council,yes
2741,Planning Commission Meeting,2025-02-04,PlanningCommission,yes
2652,City Council Meeting,2025-02-06,Council,yes
2889,Tree Committee,2025-02-06,TreeCommittee,no
2927,Historical Commission,2025-02-11,HistoricalCommission,no
2692,Planning Commission Meeting,2025-02-18,PlanningCommission,yes
2679,Arts Council,2025-02-19,ArtsCouncil,no
2776,City Council Retreat,2025-02-20,Council,yes
2940,Admin Hearing Officer Meeting,2025-02-24,AdminHearingOfficer,no
2941,Admin Hearing Officer Meeting,2025-02-28,AdminHearingOfficer,no
2742,Planning Commission Meeting,2025-03-04,PlanningCommission,yes
2890,Tree Committee,2025-03-06,TreeCommittee,no
2901,City Council Meeting,2025-03-06,Council,yes
2928,Historical Commission,2025-03-11,HistoricalCommission,no
2942,Admin Hearing Officer Meeting,2025-03-17,AdminHearingOfficer,yes
2842,Planning Commission Meeting,2025-03-18,PlanningCommission,yes
2955,Arts Council,2025-03-19,ArtsCouncil,no
2913,City Council Meeting,2025-03-20,Council,yes
2855,Planning Commission Meeting,2025-04-01,PlanningCommission,yes
2766,Tree Committee,2025-04-03,TreeCommittee,no
2902,City Council Work Meeting,2025-04-03,Council,yes
2929,Historical Commission,2025-04-08,HistoricalCommission,no
2843,Planning Commission Meeting,2025-04-15,PlanningCommission,yes
2722,City Council Meeting,2025-04-17,Council,yes
2956,Arts Council,2025-04-23,ArtsCouncil,no
2892,Tree Committee,2025-05-01,TreeCommittee,no
2903,City Council Meeting - audio only,2025-05-01,Council,yes
2970,RDA Board,2025-05-01,RDA,no
2744,Planning Commission Meeting,2025-05-06,PlanningCommission,yes
2971,City Council Work Meeting,2025-05-08,Council,yes
2930,Historical Commission,2025-05-13,HistoricalCommission,no
2915,City Council Meeting- audio only,2025-05-15,Council,yes
2844,Planning Commission Meeting - Canceled,2025-05-20,PlanningCommission,no
2857,Planning Commission Meeting - Canceled,2025-06-03,PlanningCommission,no
2904,City Council & RDA Meeting,2025-06-05,Council,yes
2828,City Council & RDA Meeting,2025-06-12,Council,yes
2957,Arts Council,2025-06-18,ArtsCouncil,no
2846,Planning Commission Meeting,2025-06-24,PlanningCommission,yes
2958,Arts Council,2025-06-25,ArtsCouncil,no
2858,Planning Commission Mtg - Cancelled,2025-07-01,PlanningCommission,no
2882,Tree Committee,2025-07-03,TreeCommittee,no
2932,Historical Commission,2025-07-08,HistoricalCommission,no
2883,Tree Committee,2025-07-10,TreeCommittee,no
3008,Planning Commission Meeting,2025-07-15,PlanningCommission,yes
2917,City Council Meeting,2025-07-17,Council,yes
2996,Arts Council,2025-07-23,ArtsCouncil,no
2859,Planning Commission Mtg- Canceled,2025-08-05,PlanningCommission,no
2818,City Council Meeting,2025-08-07,Council,yes
3020,Tree Committee,2025-08-07,TreeCommittee,no
3032,RDA Board,2025-08-07,RDA,no
2847,Planning Commission Appeal Hearing,2025-08-12,PlanningCommission,yes
2933,Historical Commission,2025-08-12,HistoricalCommission,no
3045,Planning Commission Meeting,2025-08-19,PlanningCommission,yes
3081,Board of Canvassers Meeting,2025-08-26,Canvass,no
3057,Arts Council,2025-08-27,ArtsCouncil,no
2830,City Council Meeting,2025-08-28,Council,yes
2860,Planning Commission Meeting,2025-09-02,PlanningCommission,yes
2896,Tree Committee,2025-09-04,TreeCommittee,no
2871,City Council Meeting,2025-09-11,Council,yes
2848,Planning Commission Meeting,2025-09-16,PlanningCommission,yes
2919,City Council Meeting,2025-09-18,Council,yes
3095,Local Building Authority (LBA),2025-09-18,LBA,yes
2934,Historical Commission,2025-09-24,HistoricalCommission,no
3058,Arts Council,2025-09-24,ArtsCouncil,no
3222,Historical Commission,2025-09-24,HistoricalCommission,no
3226,Historical Commission,2025-09-24,HistoricalCommission,no
3231,Historical Commission,2025-09-24,HistoricalCommission,no
3122,Planning Commission Meeting,2025-09-30,PlanningCommission,yes
2885,Tree Committee,2025-10-02,TreeCommittee,no
3108,City Council Meeting,2025-10-02,Council,yes
3160,Local Building Authority Mtg,2025-10-02,LBA,yes
3147,Planning Commission Meeting,2025-10-07,PlanningCommission,yes
2849,Planning Commission Meeting,2025-10-21,PlanningCommission,yes
2935,Historical Commission,2025-10-22,HistoricalCommission,no
2999,Arts Council,2025-10-22,ArtsCouncil,no
3223,Historical Commission,2025-10-22,HistoricalCommission,no
3227,Historical Commission,2025-10-22,HistoricalCommission,no
3232,Historical Commission,2025-10-22,HistoricalCommission,no
