video_id,title,duration_sec,tab,is_meeting,meeting_date,body
mf9c_r4Fepk,A Year with Holladay Arts | 2025 Highlights,80.0,videos,no,,
syh5c99_nsk,"Lathael Fryer: Growing Up a Holladay in Holladay, Utah",2214.0,videos,no,,
EDl5Mp1vE28,"Kathryn K. Meier: Cemented Feet on Jeremy Drive in Holladay, Utah",2330.0,videos,no,,
QkKqNLubhAA,"Joan Hansell: 66 Years on Walker Lane in Holladay, Utah",2950.0,videos,no,,
NbnESz3Awkk,"Ione Pack: A Lifetime on Holladay Boulevard in Holladay, Utah",3607.0,videos,no,,
N5w2h1oj78w,"Gale H. Patterson: From B-17 Pilot to Holladay, Utah Beekeeper",1997.0,videos,no,,
3AX9CljJzKA,"A Lifetime on Wander Lane: Esther H. Cook’s Account of Holladay, Utah",3947.0,videos,no,,
WAmHyGvJAiA,"Doris F. Salmon: The 1885 Homestead on Walker Lane in Holladay, Utah",1581.0,videos,no,,
zAHcp9sk3Is,Carlos Smith: Stories of Mid-Century Holladay,1643.0,videos,no,,
9NwXPv5xlWI,"S Calvin and Rebecca Sorenson: Horses & Apricot Orchards in Holladay, Utah",2872.0,videos,no,,
yrAyeoaPfaw,This Abominable Slavery,2582.0,videos,no,,
bXeFVjTJlN0,An Architectural Tour of Utah with Dr. Martha Bradley Evans,3827.0,videos,no,,
MprapLVGLRA,Studios and Homes of Utah Artists and Writers with Roger Roper,4200.0,videos,no,,
Ei8d8rus548,Speaker Series   Vintage Signs,4665.0,videos,no,,
JT2U7elMm2U,The History of the Carmelite Monastery in Holladay,2193.0,videos,no,,
4aRxZ8kLQRk,A Year with Holladay Arts | 2024 Highlights,51.0,videos,no,,
H5ExTAbHnD8,Echoes of the Earth: A Brief History of Utah's Vegetation,3066.0,videos,no,,
lMc6MD5jTKQ,Holladay's Grand Estates,3720.0,videos,no,,
n6iQzUMqUGo,The History of Radio,6413.0,videos,no,,
bMdKgRt_SEM,"Speaker Series: The Moyle Family - January 29, 2024",3114.0,videos,no,,
rFbUHZozoHQ,Speaker Series: History of Homes _ Sept 12 2023,2880.0,videos,no,,
1d4TdS1WlV0,Speaker Series: The Significance of Holladay's Post-War Architecture_May 15 2023,6835.0,videos,no,,
rBvjR0lSUbk,Speaker Series: 1849 Cemetery_March 20 2023,2886.0,videos,no,,
