body_label,pmn_body_id,notice_id,event_date,notice_title,file_id,ext,filename,class
Council,5823,1094827,2026-07-13,Kearns City Council Meeting,1460597,pdf,07-13-2026 Kearns CC Meeting Agenda.pdf,AGENDA
Council,5823,1094827,2026-07-13,Kearns City Council Meeting,1460599,pdf,07-13-2026 Kearns CC Meeting - Supporting Documents.pdf,PACKET
Council,5823,1091617,2026-06-26,Kearns City Council Special Meeting,1454425,pdf,06-26-2026 Kearns CC Special Meeting Agenda.pdf,AGENDA
Council,5823,1088407,2026-06-08,Ordinance 2026-O-06,1447715,pdf,Kearns 2026-O-06 Amended FY2026 Current Budget.pdf,OTHER
Council,5823,1088403,2026-06-08,Ordinance 2026-O-05,1447711,pdf,Kearns 2026-O-05 Adopting FY 2027 Budget.pdf,OTHER
Council,5823,1088399,2026-06-08,Ordinance 2026-O-07,1448393,pdf,Kearns 2026-O-07 Amending Section 19.50.020 Landscaping Requirements.pdf,OTHER
Council,5823,1086959,2026-06-08,Kearns City Council Meeting,1449505,mp3,06-08-2026 Kearns CC Audio.mp3,AUDIO
Council,5823,1086959,2026-06-08,Kearns City Council Meeting,1445037,pdf,06-08-2026 Kearns CC Meeting Agenda.pdf,AGENDA
Council,5823,1086959,2026-06-08,Kearns City Council Meeting,1445065,pdf,05-11-2026 Kearns CC Meeting Minutes - FINAL DRAFT.pdf,MINUTES
Council,5823,1086959,2026-06-08,Kearns City Council Meeting,1445067,pdf,05-29-2026 Kearns CC Special Meeting Minutes - FINAL DRAFT.pdf,MINUTES
Council,5823,1086959,2026-06-08,Kearns City Council Meeting,1445673,pdf,06-08-2026 Kearns CC Meeting Supporting Documents.pdf,PACKET
Council,5823,1084943,2026-06-08,Notice of Public Hearing,1441181,pdf,05-29-2026 FY 2027 Budget and FY 2026 Budget Amendment Hearing Public Notice.pdf,OTHER
Council,5823,1084361,2026-05-29,Kearns City Council Special Meeting,1440241,pdf,05-29-2026 Kearns CC Special Meeting Agenda.pdf,AGENDA
Council,5823,1084361,2026-05-29,Kearns City Council Special Meeting,1440245,pdf,05-29-2026 Kearns CC Special Meeting - Survey Result Images.pdf,OTHER
Council,5823,1084361,2026-05-29,Kearns City Council Special Meeting,1440313,pdf,05-29 2026 Kearns CC Special Meeting - FAQs for Kearns City Council.pdf,OTHER
Council,5823,1079349,2026-05-11,Kearns City Council Meeting,1430803,pdf,04-13-2026 Kearns CC Meeting Minutes - FINAL DRAFT.pdf,MINUTES
Council,5823,1079349,2026-05-11,Kearns City Council Meeting,1430797,pdf,05-11-2026 Kearns CC Meeting Agenda.pdf,AGENDA
Council,5823,1079349,2026-05-11,Kearns City Council Meeting,1430799,pdf,05-11-2026 Kearns CC Meeting Agenda with Supporting Documents.pdf,PACKET
Council,5823,1073301,2026-04-13,Ordinance 2026-O-03,1418883,pdf,Kearns 2026-O-03 Making Community Council Official City Committee.pdf,OTHER
Council,5823,1073295,2026-04-13,Ordinance 2026-O-02,1418877,pdf,Kearns 2026-O-02 Amending Sideyard Setbacks.pdf,OTHER
Council,5823,1072195,2026-04-13,Kearns City Council Meeting,1416851,pdf,04-13-2026 Kearns CC Meeting Agenda.pdf,AGENDA
Council,5823,1072195,2026-04-13,Kearns City Council Meeting,1417135,pdf,04-13-2026 Kearns CC Meeting Agenda with Supporting Documents.pdf,PACKET
Council,5823,1064551,2026-03-09,Kearns City Council Meeting,1418831,pdf,03-09-2026 Kearns CC Meeting Minutes with Attachments - APPROVED.pdf,MINUTES
Council,5823,1064551,2026-03-09,Kearns City Council Meeting,1401725,pdf,03-09-2026 Kearns CC Meeting Agenda - AMENDED.pdf,AGENDA
Council,5823,1064551,2026-03-09,Kearns City Council Meeting,1401727,pdf,03-09-2026 Kearns CC Meeting Supporting Documents.pdf,PACKET
Council,5823,1062947,2026-03-02,Kearns Strategic Retreat Meeting,1398343,pdf,03-02-2026 Kearns CC Retreat Agenda.pdf,AGENDA
Council,5823,1062947,2026-03-02,Kearns Strategic Retreat Meeting,1398345,pdf,03-02-2026 Kearns Strategic Retreat - Championship City_ Expansion Plan.pdf,OTHER
Council,5823,1062947,2026-03-02,Kearns Strategic Retreat Meeting,1398347,pdf,03-02-2026 Kearns Strategic Retreat - PROPOSAL_ Strategic City Administrator Model.pdf,OTHER
Council,5823,1058113,2026-02-09,Kearns City Council Meeting,1388445,pdf,02-09-2026 Kearns CC Meeting Agenda.pdf,AGENDA
Council,5823,1058113,2026-02-09,Kearns City Council Meeting,1388447,pdf,01-12-2026 Kearns CC Meeting Minutes - DRAFT.pdf,MINUTES
Council,5823,1056363,2026-02-03,Kearns Joint Visionary Workshop Meeting,1385105,pdf,02-03-2026 Kearns CC Joint Workshop Meeting Agenda.pdf,AGENDA
Council,5823,1054655,2026-01-26,Kearns City Council Meeting,1382105,pdf,01-26-2026 Kearns CC Meeting Agenda.pdf,AGENDA
Council,5823,1054655,2026-01-26,Kearns City Council Meeting,1382107,pdf,01-26-2026 Kearns CC Meeting Agenda with Supporting Documents.pdf,PACKET
Council,5823,1054655,2026-01-26,Kearns City Council Meeting,1382171,pdf,01-26-2026 Kearns CC Meeting Agenda - AMENDED.pdf,AGENDA
Council,5823,1054655,2026-01-26,Kearns City Council Meeting,1382173,pdf,01-26-2026 Kearns CC Meeting - Community Council 2026 Budget Proposal.pdf,OTHER
Council,5823,1050777,2026-01-12,Kearns City Council Meeting,1390559,pdf,01-12-2026 Kearns CC Meeting Minutes - APPROVED.pdf,MINUTES
Council,5823,1050777,2026-01-12,Kearns City Council Meeting,1374389,pdf,01-12-2026 Kearns CC Meeting Agenda.pdf,AGENDA
Council,5823,1050777,2026-01-12,Kearns City Council Meeting,1374391,pdf,01-12-2025 Kearns CC Meeting Agenda with Supporting Documents.pdf,PACKET
Council,5823,1050777,2026-01-12,Kearns City Council Meeting,1374795,pdf,12-08-2025 Kearns CC Meeting Minutes - DRAFT.pdf,MINUTES
Council,5823,1050779,2026-01-12,Kearns City Council Meet and Greet,1374393,pdf,01-12-2026 Kearns CC Meeting - Meet and Greet Flyer.pdf,OTHER
Council,5823,1050489,2026-01-01,2026 Kearns City Council Schedule,1373913,pdf,APPROVED 2026 Kearns Council Schedule - new location.pdf,OTHER
Council,5823,1044387,2025-12-08,Ordinance 2025-O-21,1363093,pdf,Kearns 2025-O-21 Questar Gas Franchise Agreement.pdf,OTHER
Council,5823,1044383,2025-12-08,Ordinance 2025-O-20,1363075,pdf,Kearns 2025-O-20 Data Privacy Program Adoption.pdf,OTHER
Council,5823,1044367,2025-12-08,Ordinance 2025-O-19,1363051,pdf,Kearns 2025-O-19 Adopting WUI (no map).pdf,OTHER
Council,5823,1043187,2025-12-08,Kearns City Council Meeting,1377837,pdf,12-08-2025 Kearns CC Meeting Minutes - APPROVED.pdf,MINUTES
Council,5823,1043187,2025-12-08,Kearns City Council Meeting,1377839,pdf,12-08-2025 Kearns CC Meeting Minutes - Attachment A - UPD Stats.pdf,MINUTES
Council,5823,1043187,2025-12-08,Kearns City Council Meeting,1361738,pdf,12-08-2025 Kearns CC Meeting Agenda - AMENDED.pdf,AGENDA
Council,5823,1043187,2025-12-08,Kearns City Council Meeting,1362003,pdf,12-08-2025 Kearns CC Meeting Agenda with Supporting Documents.pdf,PACKET
Council,5823,1037931,2025-11-18,Kearns Board of Canvassers Meeting,1363055,pdf,11-18-2025 Kearns BOC Meeting Minutes - APPROVED.pdf,MINUTES
Council,5823,1037931,2025-11-18,Kearns Board of Canvassers Meeting,1351855,pdf,11-18-2025 Kearns Board of Canvassers Meeting Agenda.pdf,AGENDA
