body_label,pmn_body_id,notice_id,event_date,notice_title,file_id,ext,filename,class,content_length,size_mb,relpath
Council,5823,1094827,2026-07-13,Kearns City Council Meeting,1460599,pdf,07-13-2026 Kearns CC Meeting - Supporting Documents.pdf,PACKET,23869571,23.87,2026-07-13/07-13-2026_Kearns_CC_Meeting_-_Supporting_Documents.pdf
Council,5823,1086959,2026-06-08,Kearns City Council Meeting,1445673,pdf,06-08-2026 Kearns CC Meeting Supporting Documents.pdf,PACKET,13038311,13.04,2026-06-08/06-08-2026_Kearns_CC_Meeting_Supporting_Documents.pdf
Council,5823,1079349,2026-05-11,Kearns City Council Meeting,1430799,pdf,05-11-2026 Kearns CC Meeting Agenda with Supporting Documents.pdf,PACKET,3391490,3.39,2026-05-11/05-11-2026_Kearns_CC_Meeting_Agenda_with_Supporting_Documents.pdf
Council,5823,1072195,2026-04-13,Kearns City Council Meeting,1417135,pdf,04-13-2026 Kearns CC Meeting Agenda with Supporting Documents.pdf,PACKET,8993112,8.99,2026-04-13/04-13-2026_Kearns_CC_Meeting_Agenda_with_Supporting_Documents.pdf
Council,5823,1064551,2026-03-09,Kearns City Council Meeting,1401727,pdf,03-09-2026 Kearns CC Meeting Supporting Documents.pdf,PACKET,7563893,7.56,2026-03-09/03-09-2026_Kearns_CC_Meeting_Supporting_Documents.pdf
Council,5823,1054655,2026-01-26,Kearns City Council Meeting,1382107,pdf,01-26-2026 Kearns CC Meeting Agenda with Supporting Documents.pdf,PACKET,500680,0.5,2026-01-26/01-26-2026_Kearns_CC_Meeting_Agenda_with_Supporting_Documents.pdf
Council,5823,1050777,2026-01-12,Kearns City Council Meeting,1374391,pdf,01-12-2025 Kearns CC Meeting Agenda with Supporting Documents.pdf,PACKET,1268496,1.27,2026-01-12/01-12-2025_Kearns_CC_Meeting_Agenda_with_Supporting_Documents.pdf
Council,5823,1043187,2025-12-08,Kearns City Council Meeting,1362003,pdf,12-08-2025 Kearns CC Meeting Agenda with Supporting Documents.pdf,PACKET,1899860,1.9,2025-12-08/12-08-2025_Kearns_CC_Meeting_Agenda_with_Supporting_Documents.pdf
Council,5823,1035837,2025-11-10,Kearns City Council Meeting,1347693,pdf,11-10-2025 Kearns CC Meeting AMENDED Agenda and Supporting Documents.pdf,PACKET,2742851,2.74,2025-11-10/11-10-2025_Kearns_CC_Meeting_AMENDED_Agenda_and_Supporting_Documents.pdf
Council,5823,1029823,2025-10-14,Kearns City Council Meeting,1335557,pdf,10-14-2025 Kearns CC Meeting Agenda with Supporting Documents.pdf,PACKET,2555354,2.56,2025-10-14/10-14-2025_Kearns_CC_Meeting_Agenda_with_Supporting_Documents.pdf
Council,5823,1020979,2025-09-08,Kearns City Council Meeting,1319479,pdf,09-08-2025 Kearns CC Meeting Agenda with Supporting Documents.pdf,PACKET,10160766,10.16,2025-09-08/09-08-2025_Kearns_CC_Meeting_Agenda_with_Supporting_Documents.pdf
Council,5823,1014429,2025-08-11,Kearns City Council Meeting,1306881,pdf,08-11-2025 Kearns CC Meeting Agenda with Supporting Documents.pdf,PACKET,14926032,14.93,2025-08-11/08-11-2025_Kearns_CC_Meeting_Agenda_with_Supporting_Documents.pdf
Council,5823,1009493,2025-07-14,Kearns Community Reinvestment Agency Meeting,1297909,pdf,07-14-2025 Kearns CRA Meeting Agenda with Supporting Documents.pdf,PACKET,404661,0.4,2025-07-14/07-14-2025_Kearns_CRA_Meeting_Agenda_with_Supporting_Documents.pdf
Council,5823,1009491,2025-07-14,Kearns City Council Meeting,1297907,pdf,07-14-2025 Kearns CC Meeting Agenda with Supporting Documents.pdf,PACKET,18349576,18.35,2025-07-14/07-14-2025_Kearns_CC_Meeting_Agenda_with_Supporting_Documents.pdf
Council,5823,1000989,2025-06-09,Kearns City Council Meeting,1282475,pdf,06-09-2025 Kearns CC Meeting Agenda with Supporting Documents.pdf,PACKET,1742965,1.74,2025-06-09/06-09-2025_Kearns_CC_Meeting_Agenda_with_Supporting_Documents.pdf
Council,5823,993975,2025-05-12,Kearns City Council Meeting,1269805,pdf,05-12-2025 Kearns CC Meeting Agenda with Supporting Documents.pdf,PACKET,4299792,4.3,2025-05-12/05-12-2025_Kearns_CC_Meeting_Agenda_with_Supporting_Documents.pdf
Council,5823,987241,2025-04-14,Kearns City Council Meeting,1258007,pdf,04-14-2025 Kearns CC Meeting Agenda with Supporting Documents.pdf,PACKET,2038766,2.04,2025-04-14/04-14-2025_Kearns_CC_Meeting_Agenda_with_Supporting_Documents.pdf
Council,5823,978283,2025-03-10,Kearns City Council Meeting,1241293,pdf,03-10-2025 Kearns CC Meeting Packet.pdf,PACKET,1308493,1.31,2025-03-10/03-10-2025_Kearns_CC_Meeting_Packet.pdf
Council,5823,972073,2025-02-10,Kearns City Council Meeting,1229209,pdf,02-10-2025 Kearns CC Meeting Packet.pdf,PACKET,886542,0.89,2025-02-10/02-10-2025_Kearns_CC_Meeting_Packet.pdf
Council,5823,966425,2025-01-13,Agenda,1218527,pdf,01-13-25 Agenda Packet.pdf,PACKET,4964447,4.96,2025-01-13/01-13-25_Agenda_Packet.pdf
Council,5823,958697,2024-12-09,Special Meeting Agenda,1204855,pdf,12-09-24 Agenda Packet.pdf,PACKET,5606105,5.61,2024-12-09/12-09-24_Agenda_Packet.pdf
Council,5823,952529,2024-11-12,Agenda,1193383,pdf,11-12-2024 Kearns Agenda Packet.pdf,PACKET,2779551,2.78,2024-11-12/11-12-2024_Kearns_Agenda_Packet.pdf
Council,5823,946567,2024-10-15,Agenda,1182247,pdf,10-15-24 Agenda Packet.pdf,PACKET,5027968,5.03,2024-10-15/10-15-24_Agenda_Packet.pdf
Council,5823,946567,2024-10-15,Agenda,1182683,pdf,10-15-24 Amended Agenda Packet.pdf,PACKET,2464794,2.46,2024-10-15/10-15-24_Amended_Agenda_Packet.pdf
Council,5823,938261,2024-09-09,Agenda,1166751,pdf,Agenda Packet 9-9-24.pdf,PACKET,2226297,2.23,2024-09-09/Agenda_Packet_9-9-24.pdf
Council,5823,932569,2024-08-12,Agenda,1155953,pdf,8-12-2024 Agenda Packet.pdf,PACKET,3904780,3.9,2024-08-12/8-12-2024_Agenda_Packet.pdf
Council,5823,925487,2024-07-08,Agenda,1146128,pdf,AgendaPacket07082024.pdf,PACKET,1655732,1.66,2024-07-08/AgendaPacket07082024.pdf
Council,5823,825968,2023-04-18,Agenda,966987,pdf,Kearns Council_Title18_19_StaffReport_wAttachments.pdf,STAFF_REPORT,8220739,8.22,2023-04-18/Kearns_Council_Title18_19_StaffReport_wAttachments.pdf
PC,1561,1089497,2026-07-06,Kearns Planning Commission,1456249,pdf,260706_KearnsPC_Packet.pdf,PACKET,1414271,1.41,2026-07-06/260706_KearnsPC_Packet.pdf
PC,1561,1089497,2026-07-06,Kearns Planning Commission,1457349,pdf,OAM2026-001636 Kearns PC Staff Report.pdf,STAFF_REPORT,2255484,2.26,2026-07-06/OAM2026-001636_Kearns_PC_Staff_Report.pdf
