date,title,body,meeting_type,packet_kind,source_url,retrieved_date,format,extraction_method,path,pmn_body_id,pmn_file_id,size_mb,stored_locally,doc_class,fetch_status,sha256,text_path,text_chars
2025-07-14,07-14-2025 Kearns CRA Meeting Agenda with Supporting Documents.pdf,CRA,regular,full_packet,https://www.utah.gov/pmn/files/1297909.pdf,2026-07-13,text,pdftotext -layout,raw/2025-07-14/07-14-2025_Kearns_CRA_Meeting_Agenda_with_Supporting_Documents.pdf,5823,1297909,0.4,yes,,,,,
2023-04-18,Kearns Council_Title18_19_StaffReport_wAttachments.pdf,Council,regular,staff_report,https://www.utah.gov/pmn/files/966987.pdf,2026-07-13,text,pdftotext -layout,raw/2023-04-18/Kearns_Council_Title18_19_StaffReport_wAttachments.pdf,5823,966987,8.22,yes,staff_report,ok,5ae7815566ee1ee562cb66597a4346ffc7701476e6f3df5aa44bc5f8e6c47cb2,text/Kearns_Council_Title18_19_StaffReport_wAttachments.txt,1123466
2024-07-08,AgendaPacket07082024.pdf,Council,regular,full_packet,https://www.utah.gov/pmn/files/1146128.pdf,2026-07-13,scanned,none (image-only PDF; vision/OCR required),raw/2024-07-08/AgendaPacket07082024.pdf,5823,1146128,1.66,yes,,,,,
2024-08-12,8-12-2024 Agenda Packet.pdf,Council,regular,full_packet,https://www.utah.gov/pmn/files/1155953.pdf,2026-07-13,text,pdftotext -layout,raw/2024-08-12/8-12-2024_Agenda_Packet.pdf,5823,1155953,3.9,yes,,,,,
2024-09-09,Agenda Packet 9-9-24.pdf,Council,regular,full_packet,https://www.utah.gov/pmn/files/1166751.pdf,2026-07-13,text,pdftotext -layout,raw/2024-09-09/Agenda_Packet_9-9-24.pdf,5823,1166751,2.23,yes,,,,,
2024-10-15,10-15-24 Agenda Packet.pdf,Council,regular,full_packet,https://www.utah.gov/pmn/files/1182247.pdf,2026-07-13,text,pdftotext -layout,raw/2024-10-15/10-15-24_Agenda_Packet.pdf,5823,1182247,5.03,yes,,,,,
2024-10-15,10-15-24 Amended Agenda Packet.pdf,Council,regular,full_packet,https://www.utah.gov/pmn/files/1182683.pdf,2026-07-13,text,pdftotext -layout,raw/2024-10-15/10-15-24_Amended_Agenda_Packet.pdf,5823,1182683,2.46,yes,,,,,
2024-11-12,11-12-2024 Kearns Agenda Packet.pdf,Council,regular,full_packet,https://www.utah.gov/pmn/files/1193383.pdf,2026-07-13,text,pdftotext -layout,raw/2024-11-12/11-12-2024_Kearns_Agenda_Packet.pdf,5823,1193383,2.78,yes,,,,,
2024-12-09,12-09-24 Agenda Packet.pdf,Council,regular,full_packet,https://www.utah.gov/pmn/files/1204855.pdf,2026-07-13,text,pdftotext -layout,raw/2024-12-09/12-09-24_Agenda_Packet.pdf,5823,1204855,5.61,yes,,,,,
2025-01-13,01-13-25 Agenda Packet.pdf,Council,regular,full_packet,https://www.utah.gov/pmn/files/1218527.pdf,2026-07-13,text,pdftotext -layout,raw/2025-01-13/01-13-25_Agenda_Packet.pdf,5823,1218527,4.96,yes,,,,,
