body_label,pmn_body_id,notice_id,event_date,notice_title,file_id,ext,filename,class
Council,5823,1094827,2026-07-13,Kearns City Council Meeting,1460599,pdf,07-13-2026 Kearns CC Meeting - Supporting Documents.pdf,PACKET
Council,5823,1086959,2026-06-08,Kearns City Council Meeting,1445673,pdf,06-08-2026 Kearns CC Meeting Supporting Documents.pdf,PACKET
Council,5823,1079349,2026-05-11,Kearns City Council Meeting,1430799,pdf,05-11-2026 Kearns CC Meeting Agenda with Supporting Documents.pdf,PACKET
Council,5823,1072195,2026-04-13,Kearns City Council Meeting,1417135,pdf,04-13-2026 Kearns CC Meeting Agenda with Supporting Documents.pdf,PACKET
Council,5823,1064551,2026-03-09,Kearns City Council Meeting,1401727,pdf,03-09-2026 Kearns CC Meeting Supporting Documents.pdf,PACKET
Council,5823,1054655,2026-01-26,Kearns City Council Meeting,1382107,pdf,01-26-2026 Kearns CC Meeting Agenda with Supporting Documents.pdf,PACKET
Council,5823,1050777,2026-01-12,Kearns City Council Meeting,1374391,pdf,01-12-2025 Kearns CC Meeting Agenda with Supporting Documents.pdf,PACKET
Council,5823,1043187,2025-12-08,Kearns City Council Meeting,1362003,pdf,12-08-2025 Kearns CC Meeting Agenda with Supporting Documents.pdf,PACKET
Council,5823,1035837,2025-11-10,Kearns City Council Meeting,1347693,pdf,11-10-2025 Kearns CC Meeting AMENDED Agenda and Supporting Documents.pdf,PACKET
Council,5823,1029823,2025-10-14,Kearns City Council Meeting,1335557,pdf,10-14-2025 Kearns CC Meeting Agenda with Supporting Documents.pdf,PACKET
Council,5823,1020979,2025-09-08,Kearns City Council Meeting,1319479,pdf,09-08-2025 Kearns CC Meeting Agenda with Supporting Documents.pdf,PACKET
Council,5823,1014429,2025-08-11,Kearns City Council Meeting,1306881,pdf,08-11-2025 Kearns CC Meeting Agenda with Supporting Documents.pdf,PACKET
Council,5823,1009493,2025-07-14,Kearns Community Reinvestment Agency Meeting,1297909,pdf,07-14-2025 Kearns CRA Meeting Agenda with Supporting Documents.pdf,PACKET
Council,5823,1009491,2025-07-14,Kearns City Council Meeting,1297907,pdf,07-14-2025 Kearns CC Meeting Agenda with Supporting Documents.pdf,PACKET
Council,5823,1000989,2025-06-09,Kearns City Council Meeting,1282475,pdf,06-09-2025 Kearns CC Meeting Agenda with Supporting Documents.pdf,PACKET
Council,5823,993975,2025-05-12,Kearns City Council Meeting,1269805,pdf,05-12-2025 Kearns CC Meeting Agenda with Supporting Documents.pdf,PACKET
Council,5823,987241,2025-04-14,Kearns City Council Meeting,1258007,pdf,04-14-2025 Kearns CC Meeting Agenda with Supporting Documents.pdf,PACKET
Council,5823,978283,2025-03-10,Kearns City Council Meeting,1241293,pdf,03-10-2025 Kearns CC Meeting Packet.pdf,PACKET
Council,5823,972073,2025-02-10,Kearns City Council Meeting,1229209,pdf,02-10-2025 Kearns CC Meeting Packet.pdf,PACKET
Council,5823,966425,2025-01-13,Agenda,1218527,pdf,01-13-25 Agenda Packet.pdf,PACKET
Council,5823,958697,2024-12-09,Special Meeting Agenda,1204855,pdf,12-09-24 Agenda Packet.pdf,PACKET
Council,5823,952529,2024-11-12,Agenda,1193383,pdf,11-12-2024 Kearns Agenda Packet.pdf,PACKET
Council,5823,946567,2024-10-15,Agenda,1182247,pdf,10-15-24 Agenda Packet.pdf,PACKET
Council,5823,946567,2024-10-15,Agenda,1182683,pdf,10-15-24 Amended Agenda Packet.pdf,PACKET
Council,5823,938261,2024-09-09,Agenda,1166751,pdf,Agenda Packet 9-9-24.pdf,PACKET
Council,5823,932569,2024-08-12,Agenda,1155953,pdf,8-12-2024 Agenda Packet.pdf,PACKET
Council,5823,925487,2024-07-08,Agenda,1146128,pdf,AgendaPacket07082024.pdf,PACKET
Council,5823,825968,2023-04-18,Agenda,966987,pdf,Kearns Council_Title18_19_StaffReport_wAttachments.pdf,STAFF_REPORT
PC,1561,1089497,2026-07-06,Kearns Planning Commission,1456249,pdf,260706_KearnsPC_Packet.pdf,PACKET
PC,1561,1089497,2026-07-06,Kearns Planning Commission,1457349,pdf,OAM2026-001636 Kearns PC Staff Report.pdf,STAFF_REPORT
PC,1561,1082791,2026-06-01,Kearns Planning Commission,1441081,pdf,260601_KearnsPC_Packet.pdf,PACKET
PC,1561,1067839,2026-04-06,Kearns Planning Commission,1414165,pdf,260406_KearnsPC_Packet.pdf,PACKET
PC,1561,1031519,2025-11-03,Kearns Planning Commission,1343659,pdf,251103_KearnsPC_Packet.pdf,PACKET
PC,1561,1025203,2025-10-06,Kearns Planning Commission,1327527,pdf,251006_KearnsPC_Packet.pdf,PACKET
PC,1561,1011385,2025-08-04,Kearns Planning Commission,1303815,pdf,250804_KearnsPC_Packet.pdf,PACKET
PC,1561,1006249,2025-07-07,Kearns Planning Commission,1294211,pdf,REZ2025-01400 Staff Report.pdf,STAFF_REPORT
PC,1561,1006249,2025-07-07,Kearns Planning Commission,1294213,pdf,CUP2025-001399_Staff_Report_Final.pdf,STAFF_REPORT
