file,url,site_pages,labels,bytes,sha256,filetype,pdf_pages,text_layer,body_first_lines,role,notes
7dc173_0357eebfbe23457f945e75debbd72387.pdf,https://www.weberelections.gov/_files/ugd/7dc173_0357eebfbe23457f945e75debbd72387.pdf,copy-of-historical-election-results;electionsresults,"2011 Primary Election - Sept. 13, 2011.pdf",16910,69fa4f1c1c8237c5eb4a37385f39d7853f4ccbeae6a67caa41f48c02dbcc1b6e,pdf,1,text,"Election Summary Report / Municipal / Primary Election / September 13, 2011 / Summary For Jurisdiction Wide, All Counters, All Races / Official Result",normalized,
7dc173_05b2df57deb54c439e8964cd6184e90c.pdf,https://www.weberelections.gov/_files/ugd/7dc173_05b2df57deb54c439e8964cd6184e90c.pdf,electionsresults,"2021 General Election Results Report - Nov. 2, 2021.pdf",113302,64c02f74014c4e26772631a939af818ff6764141b5534573adf5c496c2371164,pdf,11,text,"Summary Results Report / 2021 General / OFFICIAL RESULTS / November 2, 2021 / WEBER COUNTY / STATISTICS / TOTAL / Registered Voters - Total / 124,273 ",normalized,
7dc173_11697e46501945e78e6684824dd135ef.pdf,https://www.weberelections.gov/_files/ugd/7dc173_11697e46501945e78e6684824dd135ef.pdf,electionsresults,1996 General Election.pdf,121537,02b70991f6db49a2cf5d9531849b20ea785a816aeb9c56e2a12b4248dc546e6b,pdf,6,text,"4/14/2016 / 1996 ELECTION RESULTS / 1996 ELECTION RESULTS / U.S. President / Vice President / Bob Dole/Jack Kemp, Rep / Bill Clinton/Al Gore, Dem / Di",catalogued,
7dc173_12e1f107e8a34c6499478fb4f63949f1.pdf,https://www.weberelections.gov/_files/ugd/7dc173_12e1f107e8a34c6499478fb4f63949f1.pdf,electionsresults,"2016 Primary Election - Jun. 28, 2016.pdf",13269,58741789eb3a9261173bf8ab2fe238c6d838b73587987ea2331e2633e0293ea0,pdf,1,text,"Election Summary Report / Primary Election / June 28, 2016 / Summary For Jurisdiction Wide, All Counters, All Races / OFFICIAL PRIMARY RESULTS / Regis",normalized,
7dc173_1fc4cd52d440446db238c3062e33344c.pdf,https://www.weberelections.gov/_files/ugd/7dc173_1fc4cd52d440446db238c3062e33344c.pdf,copy-of-historical-election-results;electionsresults,2012 Primary Election - Statement of Votes Cast.pdf,2000229,2e31cb8e1aa007e6b3ec8c3dfb3577831cd635fcefaa267169e5c134d93b84f2,pdf,264,text,"Statement of Votes Cast / Primary Election / June 26, 2012 / SOVC For Jurisdiction Wide, All Counters, All Races / Official Election Results / TURN OU",catalogued,
7dc173_28650bc4d8ee4c0b9b232289bac454e1.pdf,https://www.weberelections.gov/_files/ugd/7dc173_28650bc4d8ee4c0b9b232289bac454e1.pdf,electionsresults,"2010 General Election - November 2, 2010.pdf",161620,a568467614aee3d56ad775060cf84a21fd54a6946d734a34ef3d1cccb5f0a757,pdf,10,text,"4/14/2016 / GEMS ELECTION RESULTS / Election Summary Report / General Election / November 2, 2010 / Summary For Jurisdiction Wide, All Counters, All R",normalized,
7dc173_2a98db8543bc49c69cd91da6722f6b90.pdf,https://www.weberelections.gov/_files/ugd/7dc173_2a98db8543bc49c69cd91da6722f6b90.pdf,copy-of-historical-election-results;electionsresults,"2013 Special Election - June 25, 2013.pdf",10176,2cd0c0c5d18ba57a4f73094cdceb75b7942706344f80381872460dde8df5d223,pdf,1,text,"Election Summary Report / Weber County, Utah / Special Election / June 25, 2013 / Summary For Jurisdiction Wide, All Counters, All Races / Official Ca",normalized,2013 special-election SUMMARY (Library bond + Ogden school Prop 2); its sibling label points to the 28-pp SOVC
7dc173_2b903ca901d840a09c2cce9fa9f49485.pdf,https://www.weberelections.gov/_files/ugd/7dc173_2b903ca901d840a09c2cce9fa9f49485.pdf,electionsresults,2002 General Election.pdf,114206,e2c2780a80bfc5199d482204306e68ca45039c8ada217b7139472cd771317e13,pdf,3,image-only,,catalogued,
7dc173_2e24495a1bee420886f3e9096e558e85.pdf,https://www.weberelections.gov/_files/ugd/7dc173_2e24495a1bee420886f3e9096e558e85.pdf,electionsresults,2004 Primary Election.pdf,26286,75b8f1be7ab7ed2402ae71d3308f2c3567e5729e55b23e177b5ea767dff66650,pdf,1,image-only,,catalogued,
7dc173_3149b34b82ff4727b18e13cd95dbe438.pdf,https://www.weberelections.gov/_files/ugd/7dc173_3149b34b82ff4727b18e13cd95dbe438.pdf,electionsresults,"2020 Primary Election Results Report- Aug. 20, 2020",46337,a541a9fddacedd07ff9c4f91a2abf389ad5f09064680d2656e34e066677818d5,pdf,3,text,"Summary Results / 2020 Primary / OFFICIAL RESULTS / June 30, 2020 / Weber County / STATISTICS / TOTAL / Registered Voters - Total / 70,504 / Registere",normalized,
