year,election_type,source_file,sheet,contest,vote_for,precinct,candidate,votes,suppressed,vote_method,times_cast,registered_voters
2006,general,7dc173_5547b20a2256488fbb2f30d2b1102e7a.pdf,Weber County,COUNTY ASSESSOR,,,CHERYL MADSON REP,33914,False,Total,,
2006,general,7dc173_5547b20a2256488fbb2f30d2b1102e7a.pdf,Weber County,COUNTY ASSESSOR,,,Write-in Votes,233,False,Total,,
2006,general,7dc173_5547b20a2256488fbb2f30d2b1102e7a.pdf,Weber County,COUNTY ATTORNEY,,,MARK R. DECARIA DEM,31278,False,Total,,
2006,general,7dc173_5547b20a2256488fbb2f30d2b1102e7a.pdf,Weber County,COUNTY ATTORNEY,,,Write-in Votes,301,False,Total,,
2006,general,7dc173_5547b20a2256488fbb2f30d2b1102e7a.pdf,Weber County,COUNTY CLERK/AUDITOR,,,ALAN D. MCEWAN REP,21029,False,Total,,
2006,general,7dc173_5547b20a2256488fbb2f30d2b1102e7a.pdf,Weber County,COUNTY CLERK/AUDITOR,,,TERESA YORGASON DEM,19531,False,Total,,
2006,general,7dc173_5547b20a2256488fbb2f30d2b1102e7a.pdf,Weber County,COUNTY CLERK/AUDITOR,,,Write-in Votes,17,False,Total,,
2006,general,7dc173_5547b20a2256488fbb2f30d2b1102e7a.pdf,Weber County,COUNTY COMM A,,,BILL HANSEN DEM,16895,False,Total,,
2006,general,7dc173_5547b20a2256488fbb2f30d2b1102e7a.pdf,Weber County,COUNTY COMM A,,,JAN M. ZOGMAISTER REP,23841,False,Total,,
2006,general,7dc173_5547b20a2256488fbb2f30d2b1102e7a.pdf,Weber County,COUNTY COMM A,,,Write-in Votes,38,False,Total,,
2006,general,7dc173_5547b20a2256488fbb2f30d2b1102e7a.pdf,Weber County,COUNTY COMM B,,,KENNETH A. BISCHOFF REP,23864,False,Total,,
2006,general,7dc173_5547b20a2256488fbb2f30d2b1102e7a.pdf,Weber County,COUNTY COMM B,,,SHELLY JENKINS DEM,17193,False,Total,,
2006,general,7dc173_5547b20a2256488fbb2f30d2b1102e7a.pdf,Weber County,COUNTY COMM B,,,Write-in Votes,29,False,Total,,
2006,general,7dc173_5547b20a2256488fbb2f30d2b1102e7a.pdf,Weber County,COUNTY RECORDER/SURVEYOR,,,DEBBIE A. HANSEN DEM,19277,False,Total,,
2006,general,7dc173_5547b20a2256488fbb2f30d2b1102e7a.pdf,Weber County,COUNTY RECORDER/SURVEYOR,,,ERNEST D. ROWLEY REP,21318,False,Total,,
2006,general,7dc173_5547b20a2256488fbb2f30d2b1102e7a.pdf,Weber County,COUNTY RECORDER/SURVEYOR,,,Write-in Votes,11,False,Total,,
