source_file,scope,contest,parsed_sum,printed_total,match
7dc173_42aefeefc8bf43f9a0e5ca43c77946a3.pdf,Ogden City,Ogden City Mayor,,7346,
7dc173_42aefeefc8bf43f9a0e5ca43c77946a3.pdf,Ogden City,Ogden Municipal Ward 4,,3189,
7dc173_42aefeefc8bf43f9a0e5ca43c77946a3.pdf,Ogden City,Ogden At Large Seat A,,7024,
7dc173_42aefeefc8bf43f9a0e5ca43c77946a3.pdf,Ogden City,Ogden At Large Seat C,,7112,
7dc173_75aecd5191be40c68763fc99e13a3b45.pdf,Weber County,State Referendum 1,,43234,
7dc173_75aecd5191be40c68763fc99e13a3b45.pdf,Weber County,Weber Sales Tax,,42253,
7dc173_75aecd5191be40c68763fc99e13a3b45.pdf,Weber County,Farr West City Council,,3188,
7dc173_75aecd5191be40c68763fc99e13a3b45.pdf,Weber County,Harrisville City Council,,2538,
7dc173_75aecd5191be40c68763fc99e13a3b45.pdf,Weber County,Hooper City Mayor,,1443,
7dc173_75aecd5191be40c68763fc99e13a3b45.pdf,Weber County,Hooper City District 1,,554,
7dc173_75aecd5191be40c68763fc99e13a3b45.pdf,Weber County,Hooper City District 2,,388,
7dc173_75aecd5191be40c68763fc99e13a3b45.pdf,Weber County,Hooper City District 3,,457,
7dc173_75aecd5191be40c68763fc99e13a3b45.pdf,Weber County,Huntsville Council 1,,291,
7dc173_75aecd5191be40c68763fc99e13a3b45.pdf,Weber County,Huntsville Council 2,,567,
7dc173_75aecd5191be40c68763fc99e13a3b45.pdf,Weber County,Marriott At-Large,,435,
7dc173_75aecd5191be40c68763fc99e13a3b45.pdf,Weber County,Marriott East District,,238,
7dc173_75aecd5191be40c68763fc99e13a3b45.pdf,Weber County,Marriott West District,,194,
7dc173_75aecd5191be40c68763fc99e13a3b45.pdf,Weber County,North Ogden Council,,11571,
7dc173_75aecd5191be40c68763fc99e13a3b45.pdf,Weber County,Ogden City Mayor,,14100,
7dc173_75aecd5191be40c68763fc99e13a3b45.pdf,Weber County,Ogden City Ward 2,,3222,
7dc173_75aecd5191be40c68763fc99e13a3b45.pdf,Weber County,Ogden City Ward 4,,5525,
7dc173_75aecd5191be40c68763fc99e13a3b45.pdf,Weber County,Ogden City Seat A,,13418,
7dc173_75aecd5191be40c68763fc99e13a3b45.pdf,Weber County,Ogden City Seat C,,13613,
7dc173_75aecd5191be40c68763fc99e13a3b45.pdf,Weber County,Plain City Council,,3423,
7dc173_75aecd5191be40c68763fc99e13a3b45.pdf,Weber County,Pleasant View Mayor,,1863,
7dc173_75aecd5191be40c68763fc99e13a3b45.pdf,Weber County,Pleasant View Council,,5184,
7dc173_75aecd5191be40c68763fc99e13a3b45.pdf,Weber County,Riverdale City Council,,4672,
7dc173_75aecd5191be40c68763fc99e13a3b45.pdf,Weber County,Roy City Council,,16998,
7dc173_75aecd5191be40c68763fc99e13a3b45.pdf,Weber County,South Ogden Council,,8837,
7dc173_75aecd5191be40c68763fc99e13a3b45.pdf,Weber County,Uintah Council,,568,
7dc173_75aecd5191be40c68763fc99e13a3b45.pdf,Weber County,Wash Terrace Council,,5147,
7dc173_75aecd5191be40c68763fc99e13a3b45.pdf,Weber County,West Haven Council,,3271,
7dc173_75aecd5191be40c68763fc99e13a3b45.pdf,Weber County,Weber Fire District,,5446,
7dc173_0357eebfbe23457f945e75debbd72387.pdf,Weber County,Farr West City Council,,1133,
7dc173_0357eebfbe23457f945e75debbd72387.pdf,Weber County,Harrisville City Council,,686,
7dc173_0357eebfbe23457f945e75debbd72387.pdf,Weber County,Hooper City Council At Large,,969,
7dc173_0357eebfbe23457f945e75debbd72387.pdf,Weber County,North Ogden City Council,,4634,
7dc173_0357eebfbe23457f945e75debbd72387.pdf,Weber County,Ogden City Mayor,,5877,
7dc173_0357eebfbe23457f945e75debbd72387.pdf,Weber County,Ogden City Council - Ward 2,,1219,
7dc173_0357eebfbe23457f945e75debbd72387.pdf,Weber County,Ogden City Council At Large,,5462,
7dc173_8c4e7363ecaf4e658047382f40cbe07c.pdf,Weber County,Farr West City Council,,2106,
7dc173_8c4e7363ecaf4e658047382f40cbe07c.pdf,Weber County,Harrisville City Council,,1030,
7dc173_8c4e7363ecaf4e658047382f40cbe07c.pdf,Weber County,Hooper City Mayor,,1438,
7dc173_8c4e7363ecaf4e658047382f40cbe07c.pdf,Weber County,Hooper City Council At Large,,2616,
7dc173_8c4e7363ecaf4e658047382f40cbe07c.pdf,Weber County,North Ogden City Council,,6533,
7dc173_8c4e7363ecaf4e658047382f40cbe07c.pdf,Weber County,Ogden City Mayor,,7227,
7dc173_8c4e7363ecaf4e658047382f40cbe07c.pdf,Weber County,Ogden City Council - Ward 2,,1710,
7dc173_8c4e7363ecaf4e658047382f40cbe07c.pdf,Weber County,Ogden City Council - Ward 4,,2928,
7dc173_8c4e7363ecaf4e658047382f40cbe07c.pdf,Weber County,Ogden City Council - At Large Seat C,,7064,
7dc173_8c4e7363ecaf4e658047382f40cbe07c.pdf,Weber County,Plain City - At Large City Council,,1651,
7dc173_8c4e7363ecaf4e658047382f40cbe07c.pdf,Weber County,Pleasant View City Council,,2804,
7dc173_8c4e7363ecaf4e658047382f40cbe07c.pdf,Weber County,Riverdale City Council,,2618,
7dc173_8c4e7363ecaf4e658047382f40cbe07c.pdf,Weber County,Roy City Council,,4318,
7dc173_8c4e7363ecaf4e658047382f40cbe07c.pdf,Weber County,South Ogden City Council,,3709,
7dc173_8c4e7363ecaf4e658047382f40cbe07c.pdf,Weber County,Washington Terr. City Council,,2808,
7dc173_8c4e7363ecaf4e658047382f40cbe07c.pdf,Weber County,West Haven City Council,,1756,
7dc173_8c4e7363ecaf4e658047382f40cbe07c.pdf,Weber County,North View Fire - Board 1,,347,
7dc173_8c4e7363ecaf4e658047382f40cbe07c.pdf,Weber County,North View Fire - Board 2,,2000,
7dc173_8c4e7363ecaf4e658047382f40cbe07c.pdf,Weber County,North View Fire - Board 3,,937,
7dc173_50598a3c3a854e2f9c5d1c5439bb8808.pdf,Weber County,FARR WEST CITY MAYOR,,909,
7dc173_50598a3c3a854e2f9c5d1c5439bb8808.pdf,Weber County,FARR WEST CITY COUNCIL,,1738,
7dc173_50598a3c3a854e2f9c5d1c5439bb8808.pdf,Weber County,HARRISVILLE CITY MAYOR,,749,
7dc173_50598a3c3a854e2f9c5d1c5439bb8808.pdf,Weber County,HARRISVILLE CITY COUNCIL,,1391,
7dc173_50598a3c3a854e2f9c5d1c5439bb8808.pdf,Weber County,HOOPER CITY COUNCIL - DISTRICTS 1 2,,198,
7dc173_50598a3c3a854e2f9c5d1c5439bb8808.pdf,Weber County,HOOPER CITY COUNCIL - DISTRICTS 4 5,,118,
7dc173_50598a3c3a854e2f9c5d1c5439bb8808.pdf,Weber County,MARRIOTT-SLATERVILLE CITY MAYOR,,374,
7dc173_50598a3c3a854e2f9c5d1c5439bb8808.pdf,Weber County,MARRIOTT-SLATERVILLE CITY COUNCIL - EAST,,175,
7dc173_50598a3c3a854e2f9c5d1c5439bb8808.pdf,Weber County,MARRIOTT-SLATERVILLE CITY COUNCIL - WEST,,194,
7dc173_50598a3c3a854e2f9c5d1c5439bb8808.pdf,Weber County,NORTH OGDEN CITY MAYOR,,4200,
7dc173_50598a3c3a854e2f9c5d1c5439bb8808.pdf,Weber County,NORTH OGDEN CITY COUNCIL,,8013,
7dc173_50598a3c3a854e2f9c5d1c5439bb8808.pdf,Weber County,OGDEN CITY COUNCIL - AT LARGE SEAT A,,3857,
7dc173_50598a3c3a854e2f9c5d1c5439bb8808.pdf,Weber County,OGDEN CITY COUNCIL - AT LARGE SEAT B,,2966,
7dc173_50598a3c3a854e2f9c5d1c5439bb8808.pdf,Weber County,OGDEN CITY COUNCIL - MUNICIPAL WARD 1,,307,
7dc173_50598a3c3a854e2f9c5d1c5439bb8808.pdf,Weber County,OGDEN CITY COUNCIL - MUNICIPAL WARD 3,,1096,
7dc173_50598a3c3a854e2f9c5d1c5439bb8808.pdf,Weber County,PLAIN CITY MAYOR,,1108,
7dc173_50598a3c3a854e2f9c5d1c5439bb8808.pdf,Weber County,PLAIN CITY AT LARGE CITY COUNCIL,,2056,
7dc173_50598a3c3a854e2f9c5d1c5439bb8808.pdf,Weber County,PLEASANT VIEW CITY MAYOR,,1426,
7dc173_50598a3c3a854e2f9c5d1c5439bb8808.pdf,Weber County,PLEASANT VIEW CITY COUNCIL,,2507,
7dc173_50598a3c3a854e2f9c5d1c5439bb8808.pdf,Weber County,RIVERDALE CITY MAYOR,,1691,
7dc173_50598a3c3a854e2f9c5d1c5439bb8808.pdf,Weber County,RIVERDALE CITY COUNCIL,,3092,
