precinct,district,source_year,source_contest,confidence,note
MAG002,2,2025,Magna City Council District 2,high,
MAG003,2,2025,Magna City Council District 2,high,
MAG004,2,2025,Magna City Council District 2,high,
MAG012,4,2025,Magna City Council District 4,high,moved D5->D4 in 2022 redistrict
MAG013,4,2025,Magna City Council District 4,high,moved D1->D4 in 2022 redistrict
MAG016,4,2025,Magna City Council District 4,high,
MAG010,1,2019,Magna City Council District 1,medium,pre-2022 lines
MAG011,1,2019,Magna City Council District 1,medium,pre-2022 lines
MAG901,1,2019,Magna City Council District 1,medium,pre-2022 lines; mail/special precinct
MAG005,3,2019,Magna City Council District 3,medium,pre-2022 lines
MAG006,3,2019,Magna City Council District 3,medium,pre-2022 lines
MAG007,3,2019,Magna City Council District 3,medium,pre-2022 lines
MAG014,5,2019,Magna City Council District 5,medium,pre-2022 lines
MAG015,5,2019,Magna City Council District 5,medium,pre-2022 lines
MAG001,,,,none,"D2 through 2021, dropped by 2025 -> current district unknown"
MAG009,,,,none,"D4 through 2021, dropped by 2025 -> current district unknown"
MAG008,,,,none,only ever in the citywide Mayor race -> district unknown
MAG017,,,,none,new precinct (eff 2025-12-17); postdates every election
