election_year,candidate,office,filing_type,source_url,report_period,reason,checked_date
2023,K. Casey Glade,Council,statement,https://www.lehi-ut.gov/wp-content/uploads/2023/08/Casey-Glade.pdf,Before Primary (Aug),Listed on the 2023 Lehi campaign-finance index page but the PDF was never captured by the Wayback Machine and 404s on the live lehi-ut.gov site (lost in the city CMS migration from /wp-content/uploads/ to /media/). Other report(s) for this candidate WERE recovered.,2026-07-02
2023,K. Casey Glade,Council,statement,https://www.lehi-ut.gov/casey-glad-campaign-finance-report-10242023-docx/,,Listed on the 2023 Lehi campaign-finance index page but the PDF was never captured by the Wayback Machine and 404s on the live lehi-ut.gov site (lost in the city CMS migration from /wp-content/uploads/ to /media/). Other report(s) for this candidate WERE recovered.,2026-07-02
2023,K. Casey Glade,Council,statement,https://www.lehi-ut.gov/wp-content/uploads/2023/11/Glade-Campaign-Finance-Report-11.14.pdf,Post-election (Nov),Listed on the 2023 Lehi campaign-finance index page but the PDF was never captured by the Wayback Machine and 404s on the live lehi-ut.gov site (lost in the city CMS migration from /wp-content/uploads/ to /media/). Other report(s) for this candidate WERE recovered.,2026-07-02
2023,Paige Albrecht,Council,statement,https://www.lehi-ut.gov/wp-content/uploads/2023/08/Paige-Albrecht.pdf,Before Primary (Aug),Listed on the 2023 Lehi campaign-finance index page but the PDF was never captured by the Wayback Machine and 404s on the live lehi-ut.gov site (lost in the city CMS migration from /wp-content/uploads/ to /media/). Other report(s) for this candidate WERE recovered.,2026-07-02
2023,Paige Albrecht,Council,statement,https://www.lehi-ut.gov/wp-content/uploads/2023/10/Paige-Campaign-Finance-Report-10.23.2023.pdf,Before General (Oct),Listed on the 2023 Lehi campaign-finance index page but the PDF was never captured by the Wayback Machine and 404s on the live lehi-ut.gov site (lost in the city CMS migration from /wp-content/uploads/ to /media/). Other report(s) for this candidate WERE recovered.,2026-07-02
2023,Paige Albrecht,Council,statement,https://www.lehi-ut.gov/wp-content/uploads/2023/11/Paige-Albrecht.pdf,Post-election (Nov),Listed on the 2023 Lehi campaign-finance index page but the PDF was never captured by the Wayback Machine and 404s on the live lehi-ut.gov site (lost in the city CMS migration from /wp-content/uploads/ to /media/). Other report(s) for this candidate WERE recovered.,2026-07-02
2023,Corey Astill,Council,statement,https://www.lehi-ut.gov/wp-content/uploads/2023/08/Corey-Astill.pdf,Before Primary (Aug),Listed on the 2023 Lehi campaign-finance index page but the PDF was never captured by the Wayback Machine and 404s on the live lehi-ut.gov site (lost in the city CMS migration from /wp-content/uploads/ to /media/). Other report(s) for this candidate WERE recovered.,2026-07-02
2023,Michelle Stallings,Council,statement,https://www.lehi-ut.gov/wp-content/uploads/2023/08/Michelle-Stallings-amended.pdf,Before Primary (Aug),Listed on the 2023 Lehi campaign-finance index page but the PDF was never captured by the Wayback Machine and 404s on the live lehi-ut.gov site (lost in the city CMS migration from /wp-content/uploads/ to /media/). Other report(s) for this candidate WERE recovered.,2026-07-02
2023,Michelle Stallings,Council,statement,https://www.lehi-ut.gov/wp-content/uploads/2023/08/Michelle-Stallings-1.pdf,Before Primary (Aug),Listed on the 2023 Lehi campaign-finance index page but the PDF was never captured by the Wayback Machine and 404s on the live lehi-ut.gov site (lost in the city CMS migration from /wp-content/uploads/ to /media/). Other report(s) for this candidate WERE recovered.,2026-07-02
2023,Michelle Stallings,Council,statement,https://www.lehi-ut.gov/wp-content/uploads/2023/10/Michelle-Stallings-Oct-24-2023-Campaign-Finance-Report.pdf,Before General (Oct),Listed on the 2023 Lehi campaign-finance index page but the PDF was never captured by the Wayback Machine and 404s on the live lehi-ut.gov site (lost in the city CMS migration from /wp-content/uploads/ to /media/). Other report(s) for this candidate WERE recovered.,2026-07-02
2023,Haley Sousa,Council,statement,https://www.lehi-ut.gov/wp-content/uploads/2023/08/Haley-Sousa.pdf,Before Primary (Aug),Listed on the 2023 Lehi campaign-finance index page but the PDF was never captured by the Wayback Machine and 404s on the live lehi-ut.gov site (lost in the city CMS migration from /wp-content/uploads/ to /media/). Other report(s) for this candidate WERE recovered.,2026-07-02
2023,Haley Sousa,Council,statement,https://www.lehi-ut.gov/wp-content/uploads/2023/10/Haley-Sousa.pdf,Before General (Oct),Listed on the 2023 Lehi campaign-finance index page but the PDF was never captured by the Wayback Machine and 404s on the live lehi-ut.gov site (lost in the city CMS migration from /wp-content/uploads/ to /media/). Other report(s) for this candidate WERE recovered.,2026-07-02
