date,candidate,office,election_year,filing_type,reporting_period,title,source_url,retrieved_date,format,extraction_method,path,matched_election_candidate,join_confidence,amended
2019-08-01,Ammon Crossette,Council,2019,statement,Before Primary (Aug),Ammon Crossette — 2019 municipal campaign financial statement (Before Primary (Aug)),https://www.lehi-ut.gov/wp-content/uploads/2019/08/Ammon-Crossette.pdf,2026-07-02,scanned,tesseract OCR (pdftoppm 300dpi),raw/2019/201908_Ammon-Crossette.pdf,,none,no
2019-08-01,Cody Black,Council,2019,statement,Before Primary (Aug),Cody Black — 2019 municipal campaign financial statement (Before Primary (Aug)),https://www.lehi-ut.gov/wp-content/uploads/2019/08/Cody-Black.pdf,2026-07-02,text,pdftotext -layout,raw/2019/201908_Cody-Black.pdf,CODY BLACK,exact,no
2019-10-01,Cody Black,Council,2019,statement,Before General (Oct),Cody Black — 2019 municipal campaign financial statement (Before General (Oct)) [amended/revised],https://www.lehi-ut.gov/wp-content/uploads/2019/10/Cody-Black-Amended.pdf,2026-07-02,text,pdftotext -layout,raw/2019/201910_Cody-Black-Amended.pdf,CODY BLACK,exact,yes
2020-04-01,Cody Black,Council,2019,statement,Filed 2020-04,Cody Black — 2019 municipal campaign financial statement (Filed 2020-04),https://www.lehi-ut.gov/wp-content/uploads/2020/04/Cody-Black-6.pdf,2026-07-02,scanned,tesseract OCR (pdftoppm 300dpi),raw/2019/202004_Cody-Black-6.pdf,CODY BLACK,exact,no
2019-08-01,Henry Rudolph Kneitz III,Council,2019,statement,Before Primary (Aug),Henry Rudolph Kneitz III — 2019 municipal campaign financial statement (Before Primary (Aug)),https://www.lehi-ut.gov/wp-content/uploads/2019/08/Henry-Rudolph-Kneitz-III.pdf,2026-07-02,scanned,tesseract OCR (pdftoppm 300dpi),raw/2019/201908_Henry-Rudolph-Kneitz-III.pdf,,none,no
2019-08-01,Jason Oviatt,Council,2019,statement,Before Primary (Aug),Jason Oviatt — 2019 municipal campaign financial statement (Before Primary (Aug)),https://www.lehi-ut.gov/wp-content/uploads/2019/08/Jason-Oviatt.pdf,2026-07-02,scanned,tesseract OCR (pdftoppm 300dpi),raw/2019/201908_Jason-Oviatt.pdf,,none,no
2019-08-01,Johnny Revill,Council,2019,statement,Before Primary (Aug),Johnny Revill — 2019 municipal campaign financial statement (Before Primary (Aug)),https://www.lehi-ut.gov/wp-content/uploads/2019/08/Johnny-Revill.pdf,2026-07-02,scanned,tesseract OCR (pdftoppm 300dpi),raw/2019/201908_Johnny-Revill.pdf,JOHNNY REVILL,exact,no
2019-10-01,Johnny Revill,Council,2019,statement,Before General (Oct),Johnny Revill — 2019 municipal campaign financial statement (Before General (Oct)),https://www.lehi-ut.gov/wp-content/uploads/2019/10/Johnny-Revill.pdf,2026-07-02,text,pdftotext -layout,raw/2019/201910_Johnny-Revill.pdf,JOHNNY REVILL,exact,no
2019-08-01,Jonathan Willis,Council,2019,statement,Before Primary (Aug),Jonathan Willis — 2019 municipal campaign financial statement (Before Primary (Aug)),https://www.lehi-ut.gov/wp-content/uploads/2019/08/Jonathan-Willis.pdf,2026-07-02,text,pdftotext -layout,raw/2019/201908_Jonathan-Willis.pdf,,none,no
2019-08-01,Katie Koivisto,Council,2019,statement,Before Primary (Aug),Katie Koivisto — 2019 municipal campaign financial statement (Before Primary (Aug)),https://www.lehi-ut.gov/wp-content/uploads/2019/08/Katie-Koivisto.pdf,2026-07-02,scanned,tesseract OCR (pdftoppm 300dpi),raw/2019/201908_Katie-Koivisto.pdf,KATIE KOIVISTO,exact,no
2019-10-01,Katie Koivisto,Council,2019,statement,Before General (Oct),Katie Koivisto — 2019 municipal campaign financial statement (Before General (Oct)),https://www.lehi-ut.gov/wp-content/uploads/2019/10/Katie-Koivisto.pdf,2026-07-02,text,pdftotext -layout,raw/2019/201910_Katie-Koivisto.pdf,KATIE KOIVISTO,exact,no
2020-05-01,Katie Koivisto,Council,2019,statement,Filed 2020-05,Katie Koivisto — 2019 municipal campaign financial statement (Filed 2020-05),https://www.lehi-ut.gov/wp-content/uploads/2020/05/Katie-Koivisto.pdf,2026-07-02,text,pdftotext -layout,raw/2019/202005_Katie-Koivisto.pdf,KATIE KOIVISTO,exact,no
2019-08-01,Matthew Wynn Hemmert,Council,2019,statement,Before Primary (Aug),Matthew Wynn Hemmert — 2019 municipal campaign financial statement (Before Primary (Aug)),https://www.lehi-ut.gov/wp-content/uploads/2019/08/Matthew-Wynn-Hemmert.pdf,2026-07-02,scanned,tesseract OCR (pdftoppm 300dpi),raw/2019/201908_Matthew-Wynn-Hemmert.pdf,MATTHEW WYNN HEMMERT,exact,no
2019-10-01,Matthew Wynn Hemmert,Council,2019,statement,Before General (Oct),Matthew Wynn Hemmert — 2019 municipal campaign financial statement (Before General (Oct)),https://www.lehi-ut.gov/wp-content/uploads/2019/10/Matt-Hemmert.pdf,2026-07-02,text,pdftotext -layout,raw/2019/201910_Matt-Hemmert.pdf,MATTHEW WYNN HEMMERT,exact,no
2020-04-01,Matthew Wynn Hemmert,Council,2019,statement,Filed 2020-04,Matthew Wynn Hemmert — 2019 municipal campaign financial statement (Filed 2020-04),https://www.lehi-ut.gov/wp-content/uploads/2020/04/Matt-Hemmert-3.pdf,2026-07-02,scanned,tesseract OCR (pdftoppm 300dpi),raw/2019/202004_Matt-Hemmert-3.pdf,MATTHEW WYNN HEMMERT,exact,no
2019-08-01,Michelle Miles,Council,2019,statement,Before Primary (Aug),Michelle Miles — 2019 municipal campaign financial statement (Before Primary (Aug)),https://www.lehi-ut.gov/wp-content/uploads/2019/08/Michelle-Miles-1.pdf,2026-07-02,scanned,tesseract OCR (pdftoppm 300dpi),raw/2019/201908_Michelle-Miles-1.pdf,,none,no
2019-08-01,Mike V. Southwick,Council,2019,statement,Before Primary (Aug),Mike V. Southwick — 2019 municipal campaign financial statement (Before Primary (Aug)),https://www.lehi-ut.gov/wp-content/uploads/2019/08/Mike-V.-Southwick.pdf,2026-07-02,scanned,tesseract OCR (pdftoppm 300dpi),raw/2019/201908_Mike-V.-Southwick.pdf,MIKE V SOUTHWICK,exact,no
2019-10-01,Mike V. Southwick,Council,2019,statement,Before General (Oct),Mike V. Southwick — 2019 municipal campaign financial statement (Before General (Oct)),https://www.lehi-ut.gov/wp-content/uploads/2019/10/Mike-Southwick.pdf,2026-07-02,scanned,tesseract OCR (pdftoppm 300dpi),raw/2019/201910_Mike-Southwick.pdf,MIKE V SOUTHWICK,exact,no
2020-04-01,Mike V. Southwick,Council,2019,statement,Filed 2020-04,Mike V. Southwick — 2019 municipal campaign financial statement (Filed 2020-04),https://www.lehi-ut.gov/wp-content/uploads/2020/04/Mike-Southwick-4.pdf,2026-07-02,scanned,tesseract OCR (pdftoppm 300dpi),raw/2019/202004_Mike-Southwick-4.pdf,MIKE V SOUTHWICK,exact,no
2019-08-01,Montane Hamilton,Council,2019,statement,Before Primary (Aug),Montane Hamilton — 2019 municipal campaign financial statement (Before Primary (Aug)),https://www.lehi-ut.gov/wp-content/uploads/2019/08/Montane-Hamilton.pdf,2026-07-02,scanned,tesseract OCR (pdftoppm 300dpi),raw/2019/201908_Montane-Hamilton.pdf,,none,no
2019-09-01,Montane Hamilton,Council,2019,statement,Before Primary/interim (Sep),Montane Hamilton — 2019 municipal campaign financial statement (Before Primary/interim (Sep)),https://www.lehi-ut.gov/wp-content/uploads/2019/09/Montane-Hamilton-2.pdf,2026-07-02,text,pdftotext -layout,raw/2019/201909_Montane-Hamilton-2.pdf,,none,no
2019-08-01,Paige Albrecht,Council,2019,statement,Before Primary (Aug),Paige Albrecht — 2019 municipal campaign financial statement (Before Primary (Aug)),https://www.lehi-ut.gov/wp-content/uploads/2019/08/Paige-Albrecht.pdf,2026-07-02,scanned,tesseract OCR (pdftoppm 300dpi),raw/2019/201908_Paige-Albrecht.pdf,PAIGE ALBRECHT,exact,no
2019-10-01,Paige Albrecht,Council,2019,statement,Before General (Oct),Paige Albrecht — 2019 municipal campaign financial statement (Before General (Oct)),https://www.lehi-ut.gov/wp-content/uploads/2019/10/Paige-Albrecht.pdf,2026-07-02,scanned,tesseract OCR (pdftoppm 300dpi),raw/2019/201910_Paige-Albrecht.pdf,PAIGE ALBRECHT,exact,no
2020-04-01,Paige Albrecht,Council,2019,statement,Filed 2020-04,Paige Albrecht — 2019 municipal campaign financial statement (Filed 2020-04),https://www.lehi-ut.gov/wp-content/uploads/2020/04/Paige-Albrecht-5.pdf,2026-07-02,scanned,tesseract OCR (pdftoppm 300dpi),raw/2019/202004_Paige-Albrecht-5.pdf,PAIGE ALBRECHT,exact,no
2019-08-01,Steven Werner,Council,2019,statement,Before Primary (Aug),Steven Werner — 2019 municipal campaign financial statement (Before Primary (Aug)),https://www.lehi-ut.gov/wp-content/uploads/2019/08/Steven-Werner.pdf,2026-07-02,scanned,tesseract OCR (pdftoppm 300dpi),raw/2019/201908_Steven-Werner.pdf,,none,no
2019-08-01,Tahnee Hamilton,Council,2019,statement,Before Primary (Aug),Tahnee Hamilton — 2019 municipal campaign financial statement (Before Primary (Aug)),https://www.lehi-ut.gov/wp-content/uploads/2019/08/Tahnee-Hamilton.pdf,2026-07-02,scanned,tesseract OCR (pdftoppm 300dpi),raw/2019/201908_Tahnee-Hamilton.pdf,,none,no
2019-09-01,Tahnee Hamilton,Council,2019,statement,Before Primary/interim (Sep),Tahnee Hamilton — 2019 municipal campaign financial statement (Before Primary/interim (Sep)),https://www.lehi-ut.gov/wp-content/uploads/2019/09/Tahnee-Hamilton-2.pdf,2026-07-02,scanned,tesseract OCR (pdftoppm 300dpi),raw/2019/201909_Tahnee-Hamilton-2.pdf,,none,no
2021-10-01,Aaron Bullen,Council,2021,statement,Before General (Oct),Aaron Bullen — 2021 municipal campaign financial statement (Before General (Oct)) [amended/revised],https://www.lehi-ut.gov/wp-content/uploads/2021/10/Aaron-Bullen-Revised.pdf,2026-07-02,text,pdftotext -layout,raw/2021/202110_Aaron-Bullen-Revised.pdf,AARON BULLEN,exact,yes
2021-12-01,Aaron Bullen,Council,2021,statement,Final/Post-election (Dec),Aaron Bullen — 2021 municipal campaign financial statement (Final/Post-election (Dec)),https://www.lehi-ut.gov/wp-content/uploads/2021/12/Aaron-Bullen-Final.pdf,2026-07-02,text,pdftotext -layout,raw/2021/202112_Aaron-Bullen-Final.pdf,AARON BULLEN,exact,no
