candidate,office,seat,election_year,filing_date,reporting_period,date,vendor_raw,vendor_normalized,purpose,amount,in_kind,is_incremental,source_filing,document_id,line_no,extraction_confidence,extract_method,needs_review
Cody Black,Council,,2019,2019-08-01,,2019-06-08,Lehi City,Lehi City,Registration,35.00,False,False,raw/2019/201908_Cody-Black.pdf,201908_Cody-Black,53,high,lehi_formab/text,0
Cody Black,Council,,2019,2019-08-01,,2019-06-12,Signsonthecheap.com,Signsonthecheap.com,Campaign signs,1001.73,False,False,raw/2019/201908_Cody-Black.pdf,201908_Cody-Black,55,high,lehi_formab/text,0
Cody Black,Council,,2019,2019-08-01,,2019-07-07,Homedepot,Homedepot,Wood stakes,46.62,False,False,raw/2019/201908_Cody-Black.pdf,201908_Cody-Black,57,high,lehi_formab/text,0
Cody Black,Council,,2019,2019-08-01,,2019-07-31,Facebook,Facebook,Ad,40.32,False,False,raw/2019/201908_Cody-Black.pdf,201908_Cody-Black,59,high,lehi_formab/text,0
Cody Black,Council,,2019,2019-10-01,,2019-06-08,Lehi City,Lehi City,Registration,35.00,False,False,raw/2019/201910_Cody-Black-Amended.pdf,201910_Cody-Black-Amended,52,high,lehi_formab/text,0
Cody Black,Council,,2019,2019-10-01,,2019-06-12,Signsonthecheap.com,Signsonthecheap.com,Campaign signs,1001.73,False,False,raw/2019/201910_Cody-Black-Amended.pdf,201910_Cody-Black-Amended,54,high,lehi_formab/text,0
Cody Black,Council,,2019,2019-10-01,,2019-07-07,Homedepot,Homedepot,Wood stakes,46.62,False,False,raw/2019/201910_Cody-Black-Amended.pdf,201910_Cody-Black-Amended,56,high,lehi_formab/text,0
Cody Black,Council,,2019,2019-10-01,,2019-07-31,Facebook,Facebook,Ad,40.32,False,False,raw/2019/201910_Cody-Black-Amended.pdf,201910_Cody-Black-Amended,58,high,lehi_formab/text,0
Cody Black,Council,,2019,2019-10-01,,2019-08-06,Swig,Swig,Cookies for meet and greet,77.11,False,False,raw/2019/201910_Cody-Black-Amended.pdf,201910_Cody-Black-Amended,60,high,lehi_formab/text,0
Cody Black,Council,,2019,2019-10-01,,2019-09-25,Signsonthecheap.com,Signsonthecheap.com,Campaign signs,528.82,False,False,raw/2019/201910_Cody-Black-Amended.pdf,201910_Cody-Black-Amended,62,high,lehi_formab/text,0
Cody Black,Council,,2019,2019-10-01,,2019-09-27,Alphagraphics,Alphagraphics,Campaign sign file,17.14,False,False,raw/2019/201910_Cody-Black-Amended.pdf,201910_Cody-Black-Amended,64,high,lehi_formab/text,0
Cody Black,Council,,2019,2019-10-01,,2019-09-29,Signsonthecheap.com,Signsonthecheap.com,Campaign signs,322.73,False,False,raw/2019/201910_Cody-Black-Amended.pdf,201910_Cody-Black-Amended,66,high,lehi_formab/text,0
Cody Black,Council,,2019,2019-10-01,,2019-10-17,Shutterstock,Shutterstock,Social media image,9.99,False,False,raw/2019/201910_Cody-Black-Amended.pdf,201910_Cody-Black-Amended,68,high,lehi_formab/text,0
Cody Black,Council,,2019,2019-10-01,,2019-10-29,Facebook,Facebook,Ads,145.39,False,False,raw/2019/201910_Cody-Black-Amended.pdf,201910_Cody-Black-Amended,70,high,lehi_formab/text,0
Johnny Revill,Council,,2019,2019-10-01,,2019-06-05,Lehi City,Lehi City,Candidate Application Fee,35.00,False,False,raw/2019/201910_Johnny-Revill.pdf,201910_Johnny-Revill,103,high,lehi_formab/text,0
Johnny Revill,Council,,2019,2019-10-01,,2019-07-05,Nimble Creative,Nimble Creative,Design and creative,287.50,False,False,raw/2019/201910_Johnny-Revill.pdf,201910_Johnny-Revill,105,high,lehi_formab/text,0
Johnny Revill,Council,,2019,2019-10-01,,2019-07-02,Vista Print,Vista Print,Campaign Magnets,528.02,False,False,raw/2019/201910_Johnny-Revill.pdf,201910_Johnny-Revill,107,high,lehi_formab/text,0
Johnny Revill,Council,,2019,2019-10-01,,2019-07-31,Alexander’s,Alexander’s,Campaign shirts,270.15,False,False,raw/2019/201910_Johnny-Revill.pdf,201910_Johnny-Revill,109,high,lehi_formab/text,0
Johnny Revill,Council,,2019,2019-10-01,,2019-07-10,Lowe’s,Lowe’s,Yard sign materials,56.44,False,False,raw/2019/201910_Johnny-Revill.pdf,201910_Johnny-Revill,111,high,lehi_formab/text,0
Johnny Revill,Council,,2019,2019-10-01,,2019-07-17,Exceed,Exceed,Banners,384.30,False,False,raw/2019/201910_Johnny-Revill.pdf,201910_Johnny-Revill,113,high,lehi_formab/text,0
Johnny Revill,Council,,2019,2019-10-01,,2019-07-05,Lehi Free Press,Lehi Free Press,Ad in newspaper,138.00,False,False,raw/2019/201910_Johnny-Revill.pdf,201910_Johnny-Revill,115,high,lehi_formab/text,0
Johnny Revill,Council,,2019,2019-10-01,,2019-08-06,Lowe’s,Lowe’s,Sign stakes and screws,95.13,False,False,raw/2019/201910_Johnny-Revill.pdf,201910_Johnny-Revill,117,high,lehi_formab/text,0
Johnny Revill,Council,,2019,2019-10-01,,2019-08-06,Pioneer Party,Pioneer Party,Banners,92.80,False,False,raw/2019/201910_Johnny-Revill.pdf,201910_Johnny-Revill,119,high,lehi_formab/text,0
Johnny Revill,Council,,2019,2019-10-01,,2019-10-03,Sign on the cheap,Sign on the cheap,Yard signs,558.38,False,False,raw/2019/201910_Johnny-Revill.pdf,201910_Johnny-Revill,121,high,lehi_formab/text,0
Johnny Revill,Council,,2019,2019-10-01,,2019-10-15,Xceed,Xceed,Banners and Fliers,671.54,False,False,raw/2019/201910_Johnny-Revill.pdf,201910_Johnny-Revill,123,high,lehi_formab/text,0
Johnny Revill,Council,,2019,2019-10-01,,2019-10-15,Nimble Creative,Nimble Creative,Design on fliers and ad,287.00,False,False,raw/2019/201910_Johnny-Revill.pdf,201910_Johnny-Revill,125,high,lehi_formab/text,0
Johnny Revill,Council,,2019,2019-10-01,,2019-10-25,Campaign Partner,Campaign Partner,Website Hosting,145.00,False,False,raw/2019/201910_Johnny-Revill.pdf,201910_Johnny-Revill,127,high,lehi_formab/text,0
Johnny Revill,Council,,2019,2019-10-01,,2019-10-25,Point Publishing llc,Point Publishing llc,Lehi Free Press Ad,537.00,False,False,raw/2019/201910_Johnny-Revill.pdf,201910_Johnny-Revill,129,high,lehi_formab/text,0
Johnny Revill,Council,,2019,2019-10-01,,2019-10-24,Pioneer Party & Copy,Pioneer Party & Copy,Meet the Candidates treats,11.24,False,False,raw/2019/201910_Johnny-Revill.pdf,201910_Johnny-Revill,131,high,lehi_formab/text,0
Katie Koivisto,Council,,2019,2019-10-01,,2019-09-05,Adobe Software,Adobe Software,Graphic Design,52.99,False,False,raw/2019/201910_Katie-Koivisto.pdf,201910_Katie-Koivisto,70,low,lehi_formab/text,1
Katie Koivisto,Council,,2019,2019-10-01,,2019-09-30,Signsonthecheap.com,Signsonthecheap.com,Yard Signs,395.91,False,False,raw/2019/201910_Katie-Koivisto.pdf,201910_Katie-Koivisto,72,low,lehi_formab/text,1
Katie Koivisto,Council,,2019,2019-10-01,,2019-09-30,Costco,Costco,Flyers & Ink,19.27,False,False,raw/2019/201910_Katie-Koivisto.pdf,201910_Katie-Koivisto,74,low,lehi_formab/text,1
Katie Koivisto,Council,,2019,2019-10-01,,2019-10-02,Facebook,Facebook,Social Media Marketing,20.00,False,False,raw/2019/201910_Katie-Koivisto.pdf,201910_Katie-Koivisto,76,low,lehi_formab/text,1
Katie Koivisto,Council,,2019,2019-10-01,,2019-10-07,Artistic Graphix,Artistic Graphix,Banners,250.00,False,False,raw/2019/201910_Katie-Koivisto.pdf,201910_Katie-Koivisto,78,low,lehi_formab/text,1
Katie Koivisto,Council,,2019,2019-10-01,,2019-10-09,Lowes,Lowes,Banner Sticks,24.13,False,False,raw/2019/201910_Katie-Koivisto.pdf,201910_Katie-Koivisto,80,low,lehi_formab/text,1
Katie Koivisto,Council,,2019,2019-10-01,,2019-10-14,Artistic Graphix,Artistic Graphix,Banner,65.00,False,False,raw/2019/201910_Katie-Koivisto.pdf,201910_Katie-Koivisto,82,low,lehi_formab/text,1
Katie Koivisto,Council,,2019,2019-10-01,,2019-10-15,Lehi Free Press,Lehi Free Press,,214.00,False,False,raw/2019/201910_Katie-Koivisto.pdf,201910_Katie-Koivisto,84,low,lehi_formab/text,1
Matthew Wynn Hemmert,Council,,2019,2019-10-01,,2019-06-06,Lehi City,Lehi City,Filing fee,35.00,False,False,raw/2019/201910_Matt-Hemmert.pdf,201910_Matt-Hemmert,182,low,lehi_formab/text,1
Matthew Wynn Hemmert,Council,,2019,2019-10-01,,2019-06-19,"Blankshirt, Inc.",Inc Blankshirt,Campaign hats,108.28,False,False,raw/2019/201910_Matt-Hemmert.pdf,201910_Matt-Hemmert,184,low,lehi_formab/text,1
Matthew Wynn Hemmert,Council,,2019,2019-10-01,,2019-06-24,Lowes,Lowes,Materials for signs,51.10,False,False,raw/2019/201910_Matt-Hemmert.pdf,201910_Matt-Hemmert,186,low,lehi_formab/text,1
Matthew Wynn Hemmert,Council,,2019,2019-10-01,,2019-06-25,Amazon.com,Amazon.com,Campaign materials,110.90,False,False,raw/2019/201910_Matt-Hemmert.pdf,201910_Matt-Hemmert,188,low,lehi_formab/text,1
Matthew Wynn Hemmert,Council,,2019,2019-10-01,,2019-06-25,Facebook,Facebook,Social media marketing,8.00,False,False,raw/2019/201910_Matt-Hemmert.pdf,201910_Matt-Hemmert,190,low,lehi_formab/text,1
Matthew Wynn Hemmert,Council,,2019,2019-10-01,,2019-06-25,Stickeryou.com,Stickeryou.com,Campaign stickers,62.00,False,False,raw/2019/201910_Matt-Hemmert.pdf,201910_Matt-Hemmert,192,low,lehi_formab/text,1
Matthew Wynn Hemmert,Council,,2019,2019-10-01,,2019-06-26,Facebook,Facebook,Social media marketing,17.00,False,False,raw/2019/201910_Matt-Hemmert.pdf,201910_Matt-Hemmert,194,low,lehi_formab/text,1
Matthew Wynn Hemmert,Council,,2019,2019-10-01,,2019-06-27,Facebook,Facebook,Social media marketing,10.00,False,False,raw/2019/201910_Matt-Hemmert.pdf,201910_Matt-Hemmert,196,low,lehi_formab/text,1
Matthew Wynn Hemmert,Council,,2019,2019-10-01,,2019-06-28,Facebook,Facebook,Social media marketing,15.00,False,False,raw/2019/201910_Matt-Hemmert.pdf,201910_Matt-Hemmert,198,low,lehi_formab/text,1
Matthew Wynn Hemmert,Council,,2019,2019-10-01,,2019-06-28,Megan Long,Megan Long,Campaign buttons,50.00,False,False,raw/2019/201910_Matt-Hemmert.pdf,201910_Matt-Hemmert,200,low,lehi_formab/text,1
