date,year,title,slug,body,path,source,source_url,notice_url,pmn_body_id,pmn_file_id,retrieved_date,format,extraction_method,doc_type
2022-03-03,2022,City Council Regular Meeting,2022-03-03-city-council-regular-meeting,council,raw/council_2022-03-03_829285.pdf,pmn,https://www.utah.gov/pmn/files/829285.pdf,https://www.utah.gov/pmn/sitemap/notice/739113.html,241,829285,2026-07-02,text,pdftotext -layout,minutes
2022-03-31,2022,City Council Work Meeting (Neighborhood Open House),2022-03-31-city-council-work-meeting-neighborhood-open-house,council,raw/council_2022-03-31_833471.pdf,pmn,https://www.utah.gov/pmn/files/833471.pdf,https://www.utah.gov/pmn/sitemap/notice/745157.html,241,833471,2026-07-02,text,pdftotext -layout,minutes
2022-04-28,2022,City Council Work Meeting (Neighborhood Open House),2022-04-28-city-council-work-meeting-neighborhood-open-house,council,raw/council_2022-04-28_851357.pdf,pmn,https://www.utah.gov/pmn/files/851357.pdf,https://www.utah.gov/pmn/sitemap/notice/751103.html,241,851357,2026-07-02,text,pdftotext -layout,minutes
2022-09-22,2022,Joint City Council & Planning Commission Meeting,2022-09-22-joint-city-council-planning-commission-meeting,council,raw/council_2022-09-22_ccpc_908779.pdf,pmn,https://www.utah.gov/pmn/files/908779.pdf,https://www.utah.gov/pmn/sitemap/notice/781983.html,241,908779,2026-07-02,text,pdftotext -layout,minutes
2022-09-22,2022,City Council Work Meeting,2022-09-22-city-council-work-meeting,council,raw/council_2022-09-22_work_908791.pdf,pmn,https://www.utah.gov/pmn/files/908791.pdf,https://www.utah.gov/pmn/sitemap/notice/782395.html,241,908791,2026-07-02,text,pdftotext -layout,minutes
2022-09-22,2022,City Council Regular Meeting,2022-09-22-city-council-regular-meeting,council,raw/council_2022-09-22_regular_908793.pdf,pmn,https://www.utah.gov/pmn/files/908793.pdf,https://www.utah.gov/pmn/sitemap/notice/782395.html,241,908793,2026-07-02,text,pdftotext -layout,minutes
2023-06-08,2023,City Council Work Meeting,2023-06-08-city-council-work-meeting,council,raw/council_2023-06-08_991485.pdf,pmn,https://www.utah.gov/pmn/files/991485.pdf,https://www.utah.gov/pmn/sitemap/notice/837075.html,241,991485,2026-07-02,text,pdftotext -layout,minutes
2023-06-08,2023,Joint City Council & Neighborhood Redevelopment Agency Work Meeting,2023-06-08-joint-city-council-neighborhood-redevelopment-agency-work-meeting,council,raw/council_2023-06-08_ccrda_991487.pdf,pmn,https://www.utah.gov/pmn/files/991487.pdf,https://www.utah.gov/pmn/sitemap/notice/837075.html,241,991487,2026-07-02,text,pdftotext -layout,minutes
2023-11-09,2023,City Council Regular Meeting,2023-11-09-city-council-regular-meeting,council,raw/council_2023-11-09_1057177.pdf,pmn,https://www.utah.gov/pmn/files/1057177.pdf,https://www.utah.gov/pmn/sitemap/notice/870611.html,241,1057177,2026-07-02,text,pdftotext -layout,minutes
2024-01-18,2024,City Council Work Meeting,2024-01-18-city-council-work-meeting,council,raw/council_2024-01-18_1080305.pdf,pmn,https://www.utah.gov/pmn/files/1080305.pdf,https://www.utah.gov/pmn/sitemap/notice/885821.html,241,1080305,2026-07-02,text,pdftotext -layout,minutes
2024-04-11,2024,City Council Work Meeting,2024-04-11-city-council-work-meeting,council,raw/council_2024-04-11_1117647.pdf,pmn,https://www.utah.gov/pmn/files/1117647.pdf,https://www.utah.gov/pmn/sitemap/notice/904593.html,241,1117647,2026-07-02,text,pdftotext -layout,minutes
2020-06-23,2020,Planning Commission,2020-06-23-planning-commission,planning_commission,raw/pc_2020-06-23_620135.docx,pmn,https://www.utah.gov/pmn/files/620135.docx,https://www.utah.gov/pmn/sitemap/notice/611025.html,242,620135,2026-07-02,text,textutil docx->txt,minutes
2021-02-09,2021,Planning Commission,2021-02-09-planning-commission,planning_commission,raw/pc_2021-02-09_700371.pdf,pmn,https://www.utah.gov/pmn/files/700371.pdf,https://www.utah.gov/pmn/sitemap/notice/656359.html,242,700371,2026-07-02,text,pdftotext -layout,minutes
