candidate,office,election_year,filing_date,reporting_period,filing_type,stated_total_contributions,stated_total_expenditures,stated_beginning_balance,stated_ending_balance,itemized_contrib_sum,itemized_expend_sum,reconciles_contrib,reconciles_expend,recon_delta_contrib,recon_delta_expend,self_funded_amount,n_contrib_rows,n_expend_rows,source_filing,document_id,extraction_confidence,notes,filing_regime
Ernest Burgess,Council,,2017-02-23,annual-2017-10669,summary,,0.00,,,,0.00,,True,,0.00,0.00,0,0,raw/2017_annual_Ernest-Burgess_Annual-Financial-Statement_doc10669.pdf,10669,low,vision-transcribed(read-tool),annual
Kristie Overson,Mayor,,2017-02-15,annual-2017-10671,summary,0.00,0.00,,,0.00,0.00,True,True,0.00,0.00,0.00,0,0,raw/2017_annual_Kristie-Overson_Annual-Financial-Statement_doc10671.pdf,10671,medium,vision-transcribed(read-tool),annual
Curt Cochran,Council,,2018-02-28,annual-2018-10663,summary,0.00,0.00,,,0.00,0.00,True,True,0.00,0.00,0.00,0,0,raw/2018_annual_Curt-Cochran_Annual-Financial-Statement_doc10663.pdf,10663,medium,vision-transcribed(read-tool),annual
Ernest Burgess,Council,,2018-02-20,annual-2018-10661,summary,0.00,0.00,,,0.00,0.00,True,True,0.00,0.00,0.00,0,0,raw/2018_annual_Ernest-Burgess_Annual-Financial-Statement_doc10661.pdf,10661,medium,vision-transcribed(read-tool),annual
Kristie Overson,Mayor,,2018-02-26,annual-2018-10667,summary,0.00,75.00,,,0.00,75.00,True,True,0.00,0.00,0.00,0,1,raw/2018_annual_Kristie-Overson_Annual-Financial-Statement_doc10667.pdf,10667,medium,vision-transcribed(read-tool),annual
Meredith Harker,Council,,2018-02-28,annual-2018-10665,summary,50.00,0.00,,,50.00,0.00,True,True,0.00,0.00,0.00,1,0,raw/2018_annual_Meredith-Harker_Annual-Financial-Statement_doc10665.pdf,10665,medium,vision-transcribed(read-tool),annual
Curt Cochran,Council,,2019-02-20,annual-2019-10655,summary,0.00,0.00,,,0.00,0.00,True,True,0.00,0.00,0.00,0,0,raw/2019_annual_Curt-Cochran_Annual-Financial-Statement_doc10655.pdf,10655,medium,vision-transcribed(read-tool),annual
Ernest Burgess,Council,,2019-02-27,annual-2019-10653,summary,0.00,0.00,,,0.00,0.00,True,True,0.00,0.00,0.00,0,0,raw/2019_annual_Ernest-Burgess_Annual-Financial-Statement_doc10653.pdf,10653,medium,vision-transcribed(read-tool),annual
Kristie Overson,Mayor,,2019-03-01,annual-2019-10659,summary,6000.00,0.00,,,6000.00,0.00,True,True,0.00,0.00,0.00,2,0,raw/2019_annual_Kristie-Overson_Annual-Financial-Statement_doc10659.pdf,10659,medium,vision-transcribed(read-tool),annual
Meredith Harker,Council,,2019-02-20,annual-2019-10657,summary,0.00,0.00,,,0.00,0.00,True,True,0.00,0.00,0.00,0,0,raw/2019_annual_Meredith-Harker_Annual-Financial-Statement_doc10657.pdf,10657,medium,vision-transcribed(read-tool),annual
Curt Cochran,Council,,2020-02-28,annual-2020-10647,summary,0.00,0.00,,,0.00,0.00,True,True,0.00,0.00,0.00,0,0,raw/2020_annual_Curt-Cochran_Annual-Financial-Statement_doc10647.pdf,10647,medium,vision-transcribed(read-tool),annual
Ernest Burgess,Council,,2020-03-01,annual-2020-10645,summary,500.00,500.00,,,500.00,500.00,True,True,0.00,0.00,0.00,1,1,raw/2020_annual_Ernest-Burgess_Annual-Financial-Statement_doc10645.pdf,10645,medium,vision-transcribed(read-tool),annual
Kristie Overson,Mayor,,2020-02-25,annual-2020-10651,summary,1500.00,0.00,,,1500.00,0.00,True,True,0.00,0.00,0.00,2,0,raw/2020_annual_Kristie-Overson_Annual-Financial-Statement_doc10651.pdf,10651,medium,vision-transcribed(read-tool),annual
Meredith Harker,Council,,2020-02-27,annual-2020-10649,summary,0.00,0.00,,,0.00,0.00,True,True,0.00,0.00,0.00,0,0,raw/2020_annual_Meredith-Harker_Annual-Financial-Statement_doc10649.pdf,10649,medium,vision-transcribed(read-tool),annual
Anna Barbieri,Council,,2021-02-11,annual-2021-6212,summary,0.00,0.00,,,0.00,0.00,True,True,0.00,0.00,0.00,0,0,raw/2021_annual_Anna-Barbieri_Annual-Financial-Statement_doc6212.pdf,6212,medium,vision-transcribed(read-tool),annual
Anna Barbieri,Council,2021,2021-10-26,pre_general,interim,2115.65,2115.65,0.00,0.00,2115.65,2115.65,True,True,0.00,0.00,2115.65,1,4,raw/2021_campaign_Anna-Barbieri_Pre-General-Election-Disclosure_doc6920.pdf,6920,medium,vision-transcribed(read-tool),election_cycle
Anna Barbieri,Council,2021,2021-12-02,final,summary,2115.65,2115.65,0.00,0.00,2115.65,2115.65,True,True,0.00,0.00,2115.65,1,4,raw/2021_campaign_Anna-Barbieri_Final-Financial-Disclosure_doc7001.pdf,7001,high,vision-transcribed(read-tool),election_cycle
Curt Cochran,Council,,2021-02-17,annual-2021-6216,summary,0.00,0.00,,,0.00,0.00,True,True,0.00,0.00,0.00,0,0,raw/2021_annual_Curt-Cochran_Annual-Financial-Statement_doc6216.pdf,6216,medium,vision-transcribed(read-tool),annual
Ernest Burgess,Council,,2021-02-03,annual-2021-6214,summary,0.00,0.00,,,0.00,0.00,True,True,0.00,0.00,0.00,0,0,raw/2021_annual_Ernest-Burgess_Annual-Financial-Statement_doc6214.pdf,6214,medium,vision-transcribed(read-tool),annual
Kristie Overson,Mayor,,2021-03-01,annual-2021-6220,summary,0.00,88.80,,,0.00,88.80,True,True,0.00,0.00,0.00,0,1,raw/2021_annual_Kristie-Overson_Annual-Financial-Statement_doc6220.pdf,6220,medium,vision-transcribed(read-tool),annual
Kristie Overson,Mayor,2021,2021-10-26,pre_general,interim,1000.00,1068.45,9747.58,9679.13,1000.00,1068.45,True,True,0.00,0.00,0.00,1,7,raw/2021_campaign_Kristie-Overson_Pre-General-Election-Disclosure_doc6918.pdf,6918,high,vision-transcribed(read-tool),election_cycle
Kristie Overson,Mayor,2021,2021-12-02,final,summary,0.00,0.00,9679.13,9679.13,0.00,0.00,True,True,0.00,0.00,0.00,0,0,raw/2021_campaign_Kristie-Overson_Final-Financial-Disclosure_doc7005.pdf,7005,medium,vision-transcribed(read-tool),election_cycle
Larry Johnson,Council,2021,2021-08-02,primary_initial,interim,2925.84,2098.36,,827.48,2925.84,2098.36,True,True,0.00,0.00,655.84,14,18,raw/2021_campaign_Larry-Johnson_Primary-Election-Initial-Disclosure_doc6712.pdf,6712,medium,vision-transcribed(read-tool),election_cycle
Larry Johnson,Council,2021,2021-10-26,pre_general,interim,5434.21,4250.39,827.48,2011.30,5434.21,4250.39,True,True,0.00,0.00,3454.21,25,20,raw/2021_campaign_Larry-Johnson_Pre-General-Election-Disclosure_doc6912.pdf,6912,medium,vision-transcribed(read-tool),election_cycle
Larry Johnson,Council,2021,2021-12-02,final,summary,385.00,2396.37,2396.30,0.00,385.00,2396.37,True,True,0.00,0.00,0.00,6,2,raw/2021_campaign_Larry-Johnson_Final-Financial-Disclosure_doc7013.pdf,7013,high,vision-transcribed(read-tool); amendment (no original recovered),election_cycle
Meredith Harker,Council,,2021-02-02,annual-2021-6218,summary,0.00,0.00,,,0.00,0.00,True,True,0.00,0.00,0.00,0,0,raw/2021_annual_Meredith-Harker_Annual-Financial-Statement_doc6218.pdf,6218,medium,vision-transcribed(read-tool),annual
Meredith Harker,Council,2021,2021-10-26,pre_general,interim,1475.00,150.00,,1325.00,1475.00,150.00,True,True,0.00,0.00,50.00,6,2,raw/2021_campaign_Meredith-Harker_Pre-General-Election-Disclosure_doc6916.pdf,6916,high,vision-transcribed(read-tool),election_cycle
Meredith Harker,Council,2021,2021-12-02,final,summary,0.00,0.00,1325.00,1325.00,0.00,0.00,True,True,0.00,0.00,0.00,0,0,raw/2021_campaign_Meredith-Harker_Final-Financial-Disclosure_doc7003.pdf,7003,medium,vision-transcribed(read-tool),election_cycle
Robert Knudsen,Council,2021,2021-08-02,primary_initial,interim,1644.02,1644.02,0.00,,1644.02,1644.02,True,True,0.00,0.00,414.02,11,5,raw/2021_campaign_Robert-Knudsen_Primary-Election-Initial-Disclosure_doc6720.pdf,6720,medium,vision-transcribed(read-tool),election_cycle
