All Expeditures for                                                        SEAT
                      ALAN GARDNER                     COUNTY COMMISSION SEAT C
Recipient                     Received      Amount     In Kind Description

Postmaster                     01/19/2012     $48.00           Po Box Rental

Postmaster                     01/24/2012    $117.00           Stamps

Staples                        01/24/2012     $76.74           Mailing Supplies

Wash Co Rep Party              01/30/2012     $50.00           Booth at Breakfast

Wal-Mart                       01/31/2012     $15.91           Thank You Notes

Wash Co Rep Party              02/04/2012     $50.00           Balance Booth

Pro Mailing Systems            02/07/2012    $287.50           Brochure - Print

Home Depot                     02/11/2012      $5.54           Sign Material

Pro Mailing Systems            02/16/2012    $192.00           Post Card Print

Heart Scent                    02/17/2012     $12.24           Ballons

Pro Mailing Systems            03/06/2012    $183.29           Brochure - Mail

Washington County              03/09/2012    $225.00           Filing Fee

Wash Co Rep Party              03/12/2012     $75.00           Table at Convention

Pro Mailing Systems            03/20/2012    $424.19           Postcard Mailing Tri Fold

Staples                        03/23/2012     $27.08           Iron on Transfers

Target                         03/23/2012     $46.18           T-Shirt and candy

