case_key,case_type,mentions,first_seen,last_seen,bodies,enacting_ordinance,enacting_motion,vote_linkage
CUP 2017-02,Conditional Use Permit,3,2022-09-22,2022-09-22,Board of Adjustment,,,deferred
CUP 2020-04,Conditional Use Permit,1,2020-04-28,2020-04-28,Ogden Valley Planning Commission,,,deferred
CUP 2020-05,Conditional Use Permit,2,2020-05-05,2020-05-05,Ogden Valley Planning Commission,,,deferred
CUP 2020-07,Conditional Use Permit,2,2020-06-02,2020-06-02,Ogden Valley Planning Commission,,,deferred
CUP 2020-09,Conditional Use Permit,2,2020-07-28,2020-07-28,Ogden Valley Planning Commission,,,deferred
CUP 2020-10,Conditional Use Permit,2,2020-07-28,2020-07-28,Ogden Valley Planning Commission,,,deferred
CUP 2020-12,Conditional Use Permit,2,2020-09-22,2020-09-22,Ogden Valley Planning Commission,,,deferred
CUP 2020-13,Conditional Use Permit,1,2020-10-27,2020-10-27,Ogden Valley Planning Commission,,,deferred
CUP 2020-14,Conditional Use Permit,1,2020-10-27,2020-10-27,Ogden Valley Planning Commission,,,deferred
CUP 2020-15,Conditional Use Permit,2,2021-02-23,2021-02-23,Ogden Valley Planning Commission,,,deferred
CUP 2020-16,Conditional Use Permit,2,2020-12-22,2020-12-22,Ogden Valley Planning Commission,,,deferred
CUP 2021-01,Conditional Use Permit,4,2021-03-23,2021-04-13,Ogden Valley Planning Commission; Western Weber Planning Commission,,,deferred
CUP 2021-03,Conditional Use Permit,4,2021-03-23,2021-03-23,Ogden Valley Planning Commission,,,deferred
CUP 2021-04,Conditional Use Permit,1,2021-04-06,2021-04-06,Ogden Valley Planning Commission,,,deferred
CUP 2021-06,Conditional Use Permit,5,2021-03-23,2021-03-23,Ogden Valley Planning Commission,,,deferred
CUP 2021-10,Conditional Use Permit,2,2021-07-27,2021-07-27,Ogden Valley Planning Commission,,,deferred
CUP 2021-11,Conditional Use Permit,2,2021-07-27,2021-07-27,Ogden Valley Planning Commission,,,deferred
CUP 2021-12,Conditional Use Permit,3,2021-08-24,2021-08-24,Ogden Valley Planning Commission,,,deferred
CUP 2021-15,Conditional Use Permit,2,2021-09-28,2021-09-28,Ogden Valley Planning Commission,,,deferred
CUP 2022-01,Conditional Use Permit,1,2022-02-08,2022-02-08,Western Weber Planning Commission,,,deferred
CUP 2022-03,Conditional Use Permit,2,2022-05-24,2022-05-24,Ogden Valley Planning Commission,,,deferred
CUP 2022-05,Conditional Use Permit,2,2022-05-24,2022-05-24,Ogden Valley Planning Commission,,,deferred
CUP 2022-06,Conditional Use Permit,3,2022-05-24,2022-05-24,Ogden Valley Planning Commission,,,deferred
CUP 2022-07,Conditional Use Permit,2,2022-05-24,2022-05-24,Ogden Valley Planning Commission,,,deferred
CUP 2022-09,Conditional Use Permit,1,2022-08-09,2022-08-09,Western Weber Planning Commission,,,deferred
CUP 2022-10,Conditional Use Permit,2,2022-09-13,2022-09-13,Western Weber Planning Commission,,,deferred
CUP 2022-11,Conditional Use Permit,3,2022-09-27,2022-09-27,Ogden Valley Planning Commission,,,deferred
CUP 2022-12,Conditional Use Permit,2,2022-09-13,2022-09-13,Western Weber Planning Commission,,,deferred
CUP 2022-13,Conditional Use Permit,2,2022-09-27,2022-09-27,Ogden Valley Planning Commission,,,deferred
CUP 2022-14,Conditional Use Permit,2,2024-02-27,2024-02-27,Ogden Valley Planning Commission,,,deferred
CUP 2022-16,Conditional Use Permit,2,2023-01-10,2023-01-10,Western Weber Planning Commission,,,deferred
CUP 2022-17,Conditional Use Permit,1,2022-12-13,2022-12-13,Western Weber Planning Commission,,,deferred
CUP 2023-01,Conditional Use Permit,2,2023-01-24,2023-01-24,Ogden Valley Planning Commission,,,deferred
CUP 2023-02,Conditional Use Permit,1,2024-11-19,2024-11-19,Ogden Valley Planning Commission,,,deferred
CUP 2023-06,Conditional Use Permit,6,2023-09-12,2023-10-24,Ogden Valley Planning Commission; Western Weber Planning Commission,,,deferred
CUP 2023-07,Conditional Use Permit,5,2024-09-24,2024-11-19,Ogden Valley Planning Commission,,,deferred
CUP 2023-10,Conditional Use Permit,3,2024-10-22,2024-10-22,Ogden Valley Planning Commission,,,deferred
CUP 2023-11,Conditional Use Permit,2,2023-09-26,2023-09-26,Ogden Valley Planning Commission,,,deferred
CUP 2023-12,Conditional Use Permit,2,2023-09-26,2023-09-26,Ogden Valley Planning Commission,,,deferred
CUP 2023-14,Conditional Use Permit,2,2023-12-19,2023-12-19,Ogden Valley Planning Commission,,,deferred
CUP 2023-15,Conditional Use Permit,2,2024-05-21,2024-05-21,Ogden Valley Planning Commission,,,deferred
CUP 2023-16,Conditional Use Permit,2,2024-02-27,2024-02-27,Ogden Valley Planning Commission,,,deferred
CUP 2024-01,Conditional Use Permit,2,2024-04-23,2024-04-23,Ogden Valley Planning Commission,,,deferred
CUP 2024-02,Conditional Use Permit,4,2024-04-23,2024-11-19,Ogden Valley Planning Commission,,,deferred
CUP 2024-03,Conditional Use Permit,2,2024-05-21,2024-05-21,Ogden Valley Planning Commission,,,deferred
