ordinance_no,adoption_date,title,land_use_type,result,source_url,format,path,text_path,motion_id,match_confidence,reading_stage,prior_readings,source_file
2015-1,2015-01-20,"Commissioner Bell moved to adopt Ordinance 2015-1, Amendment to the Local Sales and Use Tax (“RAMP Tax, Title 34”) to fund recreational facilities and cultural organizations including art, museums, and parks providing for an additional ten year enactment period as authorized by Weber County voters; ",,adopted,https://www.webercountyutah.gov/commission/documents/minutes/min_01202015.pdf,pdf,,,31,high,,,legislative/minutes/2015/2015-01-20_commission.md
2015-2,2015-02-17,Commissioner Bell moved to adopt Ordinance 2015-2 vacating Lot 1 of David L. Hansen Estates Subdivision; Commissioner Ebert seconded.,,adopted,https://www.webercountyutah.gov/commission/documents/minutes/min_02172015.pdf,pdf,,,61,high,,,legislative/minutes/2015/2015-02-17_commission.md
2015-3,2015-02-17,"Commissioner Ebert moved to adopt Ordinance 2015-3 amending the County Land Use Code Title 110 (Signs) Chapter 1 (Western Weber Signs) and Title 104 Chapter 25 (M-3 Zone), by increasing the size of Identification Signs in the M-3 Zone from 8 to 20 square feet; Commissioner Bell seconded.",,adopted,https://www.webercountyutah.gov/commission/documents/minutes/min_02172015.pdf,pdf,,,64,high,,,legislative/minutes/2015/2015-02-17_commission.md
2015-4,2015-04-28,Commissioner Bell moved to approve the first reading of the updated Conflict of Interest Ordinance 2.9.1h.; Commissioner Ebert seconded.,,adopted,https://www.webercountyutah.gov/commission/documents/minutes/min_04282015.pdf,pdf,,,125,high,First Reading,2015-04-28#2,legislative/minutes/2015/2015-04-28_commission.md
2015-5,2015-04-28,Commissioner Ebert moved to approve the first reading of an ordinance making certain changes to the Weber County Fee Ordinance relating to County Parks; Commissioner Bell seconded.,,adopted,https://www.webercountyutah.gov/commission/documents/minutes/min_04282015.pdf,pdf,,,127,high,First Reading,2015-04-28#4,legislative/minutes/2015/2015-04-28_commission.md
2015-6,2015-05-05,Commissioner Ebert moved to approve Contract C2015-152 with Westlake Development to provide general contract work; Commissioner Bell seconded.,,adopted,https://www.webercountyutah.gov/commission/documents/minutes/min_05052015.pdf,pdf,,,,ambiguous,Second Reading,2015-05-05#2(Second Reading),legislative/minutes/2015/2015-05-05_commission.md
2015-7,2015-05-05,"Commissioner Bell moved to adopt Ordinance 2015-7 amending the Weber County Land Use Code to provide clarifications in the regulations and permissions of main buildings, and main uses and accessory uses; Commissioner Ebert seconded.",,adopted,https://www.webercountyutah.gov/commission/documents/minutes/min_05052015.pdf,pdf,,,140,high,,,legislative/minutes/2015/2015-05-05_commission.md
2015-8,2015-05-05,"Commissioner Ebert moved to adopt Ordinance 2015-8 amending the Weber County Land Use Title 108, Chapter 12, to add provisions for lots and buildings made nonconforming or non-complying due to public right-of-way expansions, and to provide related administrative clarifications; Commissioner Bell sec",,adopted,https://www.webercountyutah.gov/commission/documents/minutes/min_05052015.pdf,pdf,,,141,high,,,legislative/minutes/2015/2015-05-05_commission.md
2015-11,2015-06-02,Commissioner Ebert moved to approve the consent items; Commissioner Bell seconded.,,adopted,https://www.webercountyutah.gov/commission/documents/minutes/min_06022015.pdf,pdf,,,153,high,Final Reading,,legislative/minutes/2015/2015-06-02_commission.md
2015-12,2015-06-30,Commissioner Bell moved to adopt Ordinance 2015-12 repealing Ordinance No. 2010-2 that adopted the maximum operating capacity and inmate retention guidelines for Weber County Correctional Facilities; Commissioner Ebert seconded.,,adopted,https://www.webercountyutah.gov/commission/documents/minutes/min_06302015.pdf,pdf,,,189,high,,,legislative/minutes/2015/2015-06-30_commission.md
2015-13,2015-08-25,Commissioner Ebert moved to adopt Ordinance 2015-13 amending the Weber County Land Use Code to update and clarify provisions related to conditional use permitting and procedures; Chair Gibson seconded.,,adopted,https://www.webercountyutah.gov/commission/documents/minutes/min_08252015.pdf,pdf,,,240,high,,,legislative/minutes/2015/2015-08-25_commission.md
