person_id,full_name,name_key
1,Amber Pope,amberpope
2,Barry Roberts,barryroberts
3,Brent Sumner,brentsumner
4,Britton Runolfson,brittonrunolfson
5,Camille Jensen,camillejensen
6,Carl Cook,carlcook
7,Chris Killpack,chriskillpack
8,City Recorder,cityrecorder
9,Crystal Muhlestein,crystalmuhlestein
10,Currently And,currentlyand
11,Darren Hawkins,darrenhawkins
12,David Spencer,davidspencer
13,David Young,davidyoung
14,Debby Lauret,debbylauret
15,Gerald Crismon,geraldcrismon
16,Haysam Sakaar,haysamsakaar
17,Haysam Sakar,haysamsakar
18,Helena Kleinlein,helenakleinlein
19,James Hawkes,jameshawkes
20,Jeff Lambson,jefflambson
21,Jeff Reeves,jeffreeves
22,Jenn Gale,jenngale
23,Jim Condie,jimcondie
24,Jim Hakwes,jimhakwes
25,Karen McCandless,karenmccandless
26,Karl Radmall,karlradmall
27,LaNae Millett,lanaemillett
28,Lamboson,lamboson
29,Lamsbon,lamsbon
30,Lamson,lamson
31,Laret,laret
32,Lauet,lauet
33,Madeline Komen,madelinekomen
34,Marisa Bentley,marisabentley
35,Marisa Bently,marisabently
36,Micah Ladle,micahladle
37,Mickey Cochran,mickeycochran
38,Mike Carpenter,mikecarpenter
39,Mike Staker,mikestaker
40,Muhlstein,muhlstein
41,Murray Low,murraylow
42,Murray Lowe,murraylowe
43,Orem,orem
44,Quinn Mecham,quinnmecham
45,Richard Brunst,richardbrunst
46,Rod Erickson,roderickson
47,Ross Spencer,rossspencer
48,Shauna Mecham,shaunamecham
49,Susan Madsen,susanmadsen
50,Terry Peterson,terrypeterson
51,Those Voting,thosevoting
52,Tina Okolowitz,tinaokolowitz
53,Tom Macdonald,tommacdonald
