role_id,person_id,body_id,first_seen,last_seen,n_votes
1,1,3,2022-02-02,2022-07-20,38
2,2,3,2020-01-15,2022-05-04,218
3,3,1,2020-01-14,2021-12-14,137
4,3,4,2020-05-12,2021-06-15,9
5,4,3,2024-07-17,2026-05-06,51
6,5,3,2020-01-15,2021-04-21,136
7,6,3,2020-01-15,2021-07-21,157
8,7,1,2024-01-09,2026-06-23,188
9,7,2,2024-06-18,2025-06-10,3
10,7,4,2024-03-12,2026-06-23,23
11,7,5,2024-05-14,2026-06-23,17
12,9,1,2026-01-13,2026-06-23,56
13,9,4,2026-05-12,2026-06-23,6
14,9,5,2026-05-12,2026-06-23,8
15,11,3,2026-03-18,2026-05-06,17
16,12,1,2020-01-14,2025-12-09,502
17,12,2,2022-06-14,2025-06-10,9
18,12,4,2020-05-12,2025-12-09,36
19,12,5,2024-05-14,2025-06-10,9
20,13,1,2022-01-04,2025-12-09,364
21,13,2,2023-05-09,2024-06-18,6
22,13,4,2022-05-10,2025-12-09,24
23,13,5,2024-05-14,2025-05-13,6
24,14,1,2020-01-14,2023-12-29,335
25,14,2,2022-06-14,2023-06-13,6
26,14,4,2020-05-12,2023-06-13,12
27,15,3,2022-05-18,2026-01-21,232
28,17,3,2020-01-15,2025-12-03,326
29,18,3,2023-01-18,2024-06-05,122
30,19,3,2022-07-20,2025-08-06,201
31,20,1,2020-01-14,2026-06-23,550
32,20,2,2022-06-14,2025-06-10,9
33,20,4,2020-05-12,2026-06-23,42
34,20,5,2024-05-14,2026-06-23,17
35,21,3,2026-03-18,2026-05-06,19
36,22,1,2024-01-09,2026-06-23,178
37,22,2,2024-06-18,2025-06-10,3
38,22,4,2024-03-12,2026-06-23,21
39,22,5,2024-05-14,2026-06-23,14
40,23,3,2021-12-08,2022-07-06,49
41,25,1,2026-01-13,2026-06-23,56
42,25,4,2026-05-12,2026-06-23,6
43,25,5,2026-05-12,2026-06-23,8
44,26,3,2026-03-18,2026-05-06,19
45,27,1,2022-01-04,2026-06-23,415
46,27,2,2022-06-14,2025-06-10,9
47,27,4,2022-05-10,2026-06-23,33
48,27,5,2024-05-14,2026-06-23,17
49,33,3,2022-02-02,2026-05-06,282
50,34,3,2021-01-13,2022-01-19,96
51,36,3,2026-03-18,2026-05-06,19
52,37,3,2020-01-15,2022-01-19,202
53,38,3,2023-01-18,2026-01-21,176
54,39,3,2020-01-15,2020-12-02,91
55,41,3,2022-02-02,2024-06-05,184
56,44,1,2026-01-13,2026-06-23,56
57,44,4,2026-05-12,2026-06-23,6
58,44,5,2026-05-12,2026-06-23,8
59,45,1,2020-01-14,2021-12-14,139
60,45,4,2020-05-12,2021-06-15,9
61,46,3,2024-08-07,2026-01-21,53
62,47,3,2020-01-15,2022-01-19,177
63,48,3,2021-06-02,2022-01-19,62
64,49,3,2026-03-18,2026-05-06,19
65,50,1,2020-01-14,2023-12-29,340
66,50,2,2022-06-14,2023-06-13,4
67,50,4,2020-12-08,2023-06-13,12
68,52,3,2022-03-02,2022-10-05,51
69,53,1,2020-01-14,2025-12-09,476
70,53,2,2022-06-14,2024-06-18,6
71,53,4,2020-05-12,2025-12-09,25
72,53,5,2025-05-13,2025-05-13,3
