precinct,district,district_area_frac,method,split
HER001,1,0.9966,centroid_in_district,no
HER002,1,0.9994,centroid_in_district,no
HER003,1,1.0,centroid_in_district,no
HER004,1,1.0,centroid_in_district,no
HER005,1,1.0,centroid_in_district,no
HER006,1,0.9989,centroid_in_district,no
HER007,1,1.0,centroid_in_district,no
HER008,3,0.998,centroid_in_district,no
HER009,3,0.9964,centroid_in_district,no
HER010,2,0.9983,centroid_in_district,no
HER011,1,0.9993,centroid_in_district,no
HER012,3,0.9983,centroid_in_district,no
HER013,3,0.9985,centroid_in_district,no
HER014,2,0.9987,centroid_in_district,no
HER015,2,0.9975,centroid_in_district,no
HER016,2,0.9897,centroid_in_district,no
HER017,3,0.9991,centroid_in_district,no
HER018,2,0.9986,centroid_in_district,no
HER019,3,0.9993,centroid_in_district,no
HER020,2,0.9986,centroid_in_district,no
HER021,2,0.9965,centroid_in_district,no
HER022,3,1.0,centroid_in_district,no
HER023,2,0.99,centroid_in_district,no
HER024,3,0.9981,centroid_in_district,no
HER025,4,0.9992,centroid_in_district,no
HER026,4,0.9996,centroid_in_district,no
HER027,2,0.9951,centroid_in_district,no
HER028,4,0.998,centroid_in_district,no
HER029,4,1.0,centroid_in_district,no
HER030,3,0.9955,centroid_in_district,no
HER031,3,0.9976,centroid_in_district,no
HER032,4,0.9982,centroid_in_district,no
HER033,4,0.9999,centroid_in_district,no
HER034,4,0.9997,centroid_in_district,no
HER035,3,0.9993,centroid_in_district,no
HER036,1,0.9935,centroid_in_district,no
HER037,4,1.0,centroid_in_district,no
HER038,1,0.9946,centroid_in_district,no
HER039,3,1.0,centroid_in_district,no
HER040,3,1.0,centroid_in_district,no
HER901,1,1.0,centroid_in_district,no
HER902,3,1.0,centroid_in_district,no
HER903,3,0.9934,centroid_in_district,no
HER904,1,0.0,electoral_only_outside_polygon,na
