local_path,url,election,format,role,status,bytes,sha256,retrieved,notes
raw/2018/06/201806-primary-certified-election-results.pdf,https://outpost.washco.utah.gov/apps/clerk/elections/2018/06/201806-primary-certified-election-results.pdf,2018-06-26 regular primary,pdf-scan,certified results,mirrored,1212873,1811aec810fa62980ea9a24facc257cb68c5daa4e4410378f53f1587b828a8ed,2026-07-20,"56-page SCANNED image PDF, no text layer (OCR queued). ONLY publication for this election — machine-readable gap."
raw/2018/11/201811-election-results-by-precinct.xlsx,https://outpost.washco.utah.gov/apps/clerk/elections/2018/11/201811-election-results-by-precinct.xlsx,2018-11-06 general,xlsx-crosstab,precinct results,mirrored,53668,eddb6234d332b316917783f392cff9eeae7698f94f1ff5dd4072e9320e742b64,2026-07-20,E1 crosstab in a worksheet; loaded into washco_results_long.csv (111 precincts x 71 cols).
raw/2018/11/201811-general-certified-election-results.pdf,https://outpost.washco.utah.gov/apps/clerk/elections/2018/11/201811-general-certified-election-results.pdf,2018-11-06 general,pdf-text,certified results,mirrored,64112,5a4e4b0858ea128d781d5dfd748e8608f973160a992ff377c0968a7f18552a3a,2026-07-20,Cross-checked vs XLSX (US Senate totals exact).
raw/2019/11/2019-general-municipal-export.csv,https://outpost.washco.utah.gov/apps/clerk/elections/2019/11/2019-general-municipal-export.csv,2019-11-05 municipal general,csv-crosstab,precinct export,mirrored,15587,30153d0aabfc6e83a376783aa3300affc18e41c1c1a0c8e7027cda3824a70fd5,2026-07-20,Loaded (91 precincts x 54 cols). Byte-identical to st_george audited raw mirror. Dammeron Valley Fire SSD source-internal totals discrepancy ledgered in VERIFICATION.md.
raw/2020/11/washco-election-20201103-results-export.csv,https://outpost.washco.utah.gov/apps/clerk/elections/2020/11/washco-election-20201103-results-export.csv,2020-11-03 general,csv-crosstab,precinct export,mirrored,63960,24fd9db78b0e0c753a65a0fa9c7483dec302feaed3b8cd8a86f7c305f72f7b73,2026-07-20,Loaded (114 precincts x 158 cols).
raw/2020/11/washco-election-20201103-results-precinct.pdf,https://outpost.washco.utah.gov/apps/clerk/elections/2020/11/washco-election-20201103-results-precinct.pdf,2020-11-03 general,pdf-text,precinct report,mirrored,1099655,a7026ebe959fe42218abe0ab8f5c83365c9bd3bee02713fce8aac073c14a423a,2026-07-20,
raw/2020/11/washco-election-20201103-results-sovc.pdf,https://outpost.washco.utah.gov/apps/clerk/elections/2020/11/washco-election-20201103-results-sovc.pdf,2020-11-03 general,pdf-text,SOVC (by vote method),mirrored,1005423,ab78d2fbb001f1f12c67e2c3088a8e38760b37a51b875c1bf9c16eaf3dfeefa7,2026-07-20,Cross-checked vs export CSV (President county totals exact). Carries vote-method breakdown the CSV lacks.
raw/2020/11/washco-election-20201103-results-summary.pdf,https://outpost.washco.utah.gov/apps/clerk/elections/2020/11/washco-election-20201103-results-summary.pdf,2020-11-03 general,pdf-text,summary,mirrored,89497,1cf58dcc9e4770eb88213e0d1aba2bae08f712fa62905ee00b77e8e8146582bc,2026-07-20,
raw/2020/reports/Official-Presidential-Primary-Election-2020-EXPORT.pdf,https://outpost.washco.utah.gov/apps/clerk/elections/2020/reports/Official-Presidential-Primary-Election-2020-EXPORT.pdf,2020-03-03 presidential primary,pdf,official export (print),mirrored,79217,e11f67b0f4d6022730301e0aaee661aaec45d1471f8be265fbd2754f6a19ec64,2026-07-20,PDF print of the export; the CSV sibling is the loaded artifact.
raw/2020/reports/washco-election-sovc-202003.CSV,https://outpost.washco.utah.gov/apps/clerk/elections/2020/reports/washco-election-sovc-202003.CSV,2020-03-03 presidential primary,csv-crosstab,SOVC,mirrored,11695,1f454323afeb8289a6644df381a8fc9cd85151273d3012dc427e648ee4bdcddd,2026-07-20,Loaded (114 precincts x 23 cols; partisan P variant).
raw/2020/reports/washco-election-sovc-202006.CSV,https://outpost.washco.utah.gov/apps/clerk/elections/2020/reports/washco-election-sovc-202006.CSV,2020-06-30 regular primary,csv-crosstab,SOVC,mirrored,9040,67f350e31cd3b5bbaacf44362e1089f7629aea84d2ffe0b73bea1931df260535,2026-07-20,Loaded (114 precincts x 10 cols; partisan P variant).
