year,election_type,source_file,sheet,contest,vote_for,precinct,candidate,votes,suppressed,vote_method,times_cast,registered_voters
2018,general,201811-election-results-by-precinct.xlsx,UT Washington General 181106_2_,Straight Party,,AV51,Constitution,4,False,Total,321,428
2018,general,201811-election-results-by-precinct.xlsx,UT Washington General 181106_2_,Straight Party,,AV51,Libertarian,2,False,Total,321,428
2018,general,201811-election-results-by-precinct.xlsx,UT Washington General 181106_2_,Straight Party,,AV51,Republican,96,False,Total,321,428
2018,general,201811-election-results-by-precinct.xlsx,UT Washington General 181106_2_,Straight Party,,AV51,Democrat,24,False,Total,321,428
2018,general,201811-election-results-by-precinct.xlsx,UT Washington General 181106_2_,Straight Party,,AV51,Independent American,9,False,Total,321,428
2018,general,201811-election-results-by-precinct.xlsx,UT Washington General 181106_2_,United States Senate,,AV51,Con TIM AALDERS,37,False,Total,321,428
2018,general,201811-election-results-by-precinct.xlsx,UT Washington General 181106_2_,United States Senate,,AV51,Lib CRAIG R. BOWDEN,12,False,Total,321,428
2018,general,201811-election-results-by-precinct.xlsx,UT Washington General 181106_2_,United States Senate,,AV51,Ind REED C. MCCANDLESS,20,False,Total,321,428
2018,general,201811-election-results-by-precinct.xlsx,UT Washington General 181106_2_,United States Senate,,AV51,Dem JENNY WILSON,66,False,Total,321,428
2018,general,201811-election-results-by-precinct.xlsx,UT Washington General 181106_2_,United States Senate,,AV51,Rep MITT ROMNEY,175,False,Total,321,428
2018,general,201811-election-results-by-precinct.xlsx,UT Washington General 181106_2_,United States House of Representatives District 2,,AV51,Rep CHRIS STEWART,216,False,Total,321,428
2018,general,201811-election-results-by-precinct.xlsx,UT Washington General 181106_2_,United States House of Representatives District 2,,AV51,Lib JEFFREY WHIPPLE,23,False,Total,321,428
2018,general,201811-election-results-by-precinct.xlsx,UT Washington General 181106_2_,United States House of Representatives District 2,,AV51,Dem SHIREEN GHORBANI,74,False,Total,321,428
2018,general,201811-election-results-by-precinct.xlsx,UT Washington General 181106_2_,State Senate District 28,,AV51,Dem MARK CHAMBERS,84,False,Total,321,428
2018,general,201811-election-results-by-precinct.xlsx,UT Washington General 181106_2_,State Senate District 28,,AV51,Rep EVAN J VICKERS,225,False,Total,321,428
2018,general,201811-election-results-by-precinct.xlsx,UT Washington General 181106_2_,State House District 62,,AV51,Rep TRAVIS M. SEEGMILLER,0,False,Total,321,428
2018,general,201811-election-results-by-precinct.xlsx,UT Washington General 181106_2_,State House District 71,,AV51,Rep BRAD LAST,227,False,Total,321,428
2018,general,201811-election-results-by-precinct.xlsx,UT Washington General 181106_2_,State House District 71,,AV51,Dem CHUCK GOODE,75,False,Total,321,428
