BodyId,BodyName,BodyTypeName,BodyActiveFlag
138,County Council,Primary Legislative Body,1
180,Committee of the Whole,Committee of the Whole,0
251,Council Executive Committee,Council Executive Committee,1
252,TRCC - Tourism Recreation Cultural and Convention,Boards or Commission,1
256,Constable Nominating Commission,Boards or Commission,1
257,Redevelopment Agency,Boards or Commission,1
258,Salt Lake County Municipal Building Authority,Boards or Commission,1
259,Test Committee,Training,1
260,Board of Canvassers,Boards or Commission,1
263,Debt Review Committee,Boards or Commission,1
264,Salt Lake County Redistricting Commission,Boards or Commission,1
265,Council Work Session,Committee of the Whole,1
269,BOE,Boards or Commission,1
276,Board of Equalization,Board of Equalization ,1
279,Salt Lake County Council Subcommittee,Salt Lake County Council Subcommittee,1
