EventItemId,_event_id,_body_id,VotePersonId,VotePersonName,VoteValueId,VoteValueName
30335,2927,138,345,Shireen Ghorbani,16,Aye
30335,2927,138,202,Richard Snelgrove,16,Aye
30335,2927,138,203,Jim Bradley,16,Aye
30335,2927,138,189,Arlyn Bradshaw,16,Aye
30335,2927,138,191,Michael Jensen,16,Aye
30335,2927,138,195,Ann Granato,16,Aye
30335,2927,138,197,Steve DeBry,16,Aye
30335,2927,138,199,Max Burdick,16,Aye
30335,2927,138,193,Aimee Winder Newton,16,Aye
30341,2927,138,345,Shireen Ghorbani,16,Aye
30341,2927,138,202,Richard Snelgrove,16,Aye
30341,2927,138,203,Jim Bradley,16,Aye
30341,2927,138,189,Arlyn Bradshaw,16,Aye
30341,2927,138,191,Michael Jensen,16,Aye
30341,2927,138,195,Ann Granato,16,Aye
30341,2927,138,197,Steve DeBry,16,Aye
30341,2927,138,199,Max Burdick,16,Aye
30341,2927,138,193,Aimee Winder Newton,16,Aye
30345,2927,138,345,Shireen Ghorbani,16,Aye
30345,2927,138,202,Richard Snelgrove,16,Aye
30345,2927,138,203,Jim Bradley,16,Aye
30345,2927,138,189,Arlyn Bradshaw,16,Aye
30345,2927,138,191,Michael Jensen,16,Aye
30345,2927,138,195,Ann Granato,16,Aye
30345,2927,138,197,Steve DeBry,16,Aye
30345,2927,138,199,Max Burdick,16,Aye
30345,2927,138,193,Aimee Winder Newton,16,Aye
30354,2927,138,345,Shireen Ghorbani,16,Aye
30354,2927,138,202,Richard Snelgrove,16,Aye
30354,2927,138,203,Jim Bradley,16,Aye
30354,2927,138,189,Arlyn Bradshaw,16,Aye
30354,2927,138,191,Michael Jensen,16,Aye
30354,2927,138,195,Ann Granato,16,Aye
30354,2927,138,197,Steve DeBry,16,Aye
30354,2927,138,199,Max Burdick,16,Aye
30354,2927,138,193,Aimee Winder Newton,16,Aye
30355,2927,138,345,Shireen Ghorbani,16,Aye
30355,2927,138,202,Richard Snelgrove,16,Aye
30355,2927,138,203,Jim Bradley,16,Aye
30355,2927,138,189,Arlyn Bradshaw,16,Aye
30355,2927,138,191,Michael Jensen,16,Aye
30355,2927,138,195,Ann Granato,16,Aye
30355,2927,138,197,Steve DeBry,16,Aye
30355,2927,138,199,Max Burdick,16,Aye
30355,2927,138,193,Aimee Winder Newton,16,Aye
30359,2927,138,345,Shireen Ghorbani,16,Aye
30359,2927,138,202,Richard Snelgrove,16,Aye
30359,2927,138,203,Jim Bradley,16,Aye
30359,2927,138,189,Arlyn Bradshaw,16,Aye
30359,2927,138,191,Michael Jensen,16,Aye
30359,2927,138,195,Ann Granato,16,Aye
30359,2927,138,197,Steve DeBry,16,Aye
30359,2927,138,199,Max Burdick,16,Aye
30359,2927,138,193,Aimee Winder Newton,16,Aye
29420,2928,138,345,Shireen Ghorbani,17,Nay
29420,2928,138,202,Richard Snelgrove,16,Aye
29420,2928,138,203,Jim Bradley,17,Nay
29420,2928,138,189,Arlyn Bradshaw,17,Nay
29420,2928,138,191,Michael Jensen,17,Nay
29420,2928,138,195,Ann Granato,17,Nay
29420,2928,138,197,Steve DeBry,16,Aye
29420,2928,138,199,Max Burdick,17,Nay
29420,2928,138,193,Aimee Winder Newton,16,Aye
29835,2928,138,345,Shireen Ghorbani,16,Aye
29835,2928,138,202,Richard Snelgrove,17,Nay
29835,2928,138,203,Jim Bradley,16,Aye
29835,2928,138,189,Arlyn Bradshaw,16,Aye
29835,2928,138,191,Michael Jensen,16,Aye
29835,2928,138,195,Ann Granato,16,Aye
29835,2928,138,197,Steve DeBry,17,Nay
29835,2928,138,199,Max Burdick,16,Aye
29835,2928,138,193,Aimee Winder Newton,17,Nay
30437,2947,138,345,Shireen Ghorbani,16,Aye
30437,2947,138,202,Richard Snelgrove,16,Aye
30437,2947,138,203,Jim Bradley,16,Aye
30437,2947,138,189,Arlyn Bradshaw,16,Aye
30437,2947,138,191,Michael Jensen,16,Aye
30437,2947,138,195,Ann Granato,16,Aye
30437,2947,138,197,Steve DeBry,16,Aye
30437,2947,138,199,Max Burdick,16,Aye
30437,2947,138,193,Aimee Winder Newton,16,Aye
30445,2947,138,345,Shireen Ghorbani,16,Aye
30445,2947,138,202,Richard Snelgrove,16,Aye
30445,2947,138,203,Jim Bradley,16,Aye
30445,2947,138,189,Arlyn Bradshaw,16,Aye
30445,2947,138,191,Michael Jensen,16,Aye
