PersonId,PersonFullName,PersonLastName,PersonActiveFlag
120,Daystar,Daystar,1
145,View Only,Only,1
169,Legistar System,System,1
170,Granicus User,User,1
171,System Administrator,Administrator,1
181,Granicus Training,Training,1
183,Granicus BA,BA,1
184,Brad Kendrick,Kendrick,1
185,Amber Liechty,Liechty,0
186,Jason Rose,Rose,1
187,Michelle Hicks,Hicks,1
188,Gayelene Gudmundson,Gudmundson,1
189,Arlyn Bradshaw,Bradshaw,1
190,Isaac Higham,Higham,1
191,Michael Jensen,Jensen,0
192,Lisa Hartman,Hartman,1
193,Aimee Winder Newton,Winder Newton,1
194,Nic Dunn,Dunn,1
195,Ann Granato,Granato,1
196,Leslie Reberg,Reberg,0
197,Steve DeBry,DeBry,0
198,Richard Jaussi,Jaussi,1
199,Max Burdick,Burdick,0
200,Sally Jacobsen,Jacobsen,1
201,Jenny Wilson,Wilson,1
202,Richard Snelgrove,Snelgrove,0
203,Jim Bradley,Bradley,1
204,Sam Klemm,Klemm,0
205,Ben McAdams,McAdams,0
206,Marti Grobecker,Grobecker,0
207,Rick Graham,Graham,1
208,Erin Litvack,Litvack,1
209,Darrin Casper,Casper,1
210,Karen Hale,Hale,1
211,Kimberly Barnett,Barnett,1
212,Bobby Sampson,Sampson,1
213,Reid Demman,Demman,1
214,Scott Tingley,Tingley,0
215,Sherrie Swensen,Swenson,0
216,Sim Gill,Gill,1
217,Wayne Cushing,Cushing,1
218,Kevin Jacobs,Jacobs,0
219,Pamela Lofgreen,Lofgreen,0
220,Bobby Samson,Samson,0
221,Carlton Christensen,Christensen,0
222,Holly Yocom,Yocom,1
223,Kele Griffone,Griffone,1
224,Martin Jensen,Jensen,0
225,Michael Ongkiko,Ongkiko,1
226,Roswell Rogers,Rogers,1
227,Scott Baird,Baird,1
228,Seth Jarvis,Jarvis,1
229,Karen Crompton,Crompton,1
230,Weston Clark,Clark,1
231,Maryann Martindale,Martindale,1
232,Kendra Kahlow,Kahlow,0
233,Adam Gardiner,Gardiner,0
234,Alison Weyher,Weyher,0
235,Kim Stanger,Stanger,1
236,Linda Duffy,Duffy,0
237,Nichole Watt,Watt,1
238,Emma Houston,Houston,1
239,Ze Xiao,Xiao,0
240,Tiffany Clason,Clason,1
241,Angela Cortese,Cortese,1
242,Anna Vukin-Chow,Vukin-Chow,1
243,Jared Steffey,Steffey,1
244,Nilsa Carter,Carter,1
245,Ryan Perry,Perry,0
246,Corie Soderman,Soderman,1
247,Chris Stavros,Stavros,1
248,Cherylann Johnson,Johnson,1
249,Sherry Anderson,Anderson,1
250,Rosie Rivera,Rivera,1
251,Scott Carver,Carver,0
252,Dina Blaes,Blaes,1
253,Megan Hillyard,Hillyard,1
254,Ina Landry,Landry,1
255,Phil Lanouette,Lanouette,0
256,Jessica Montgomery,Montgomery,1
257,Paul Leggett,Leggett,1
258,Jeannie Edens,Edens,1
259,Allycen Farnsworth,Farnsworth,1
260,Tim Whalen,Whalen,1
261,Jessica Thayer,Thayer,1
262,Ralph Chamness,Chamness,1
263,Chris Otto,Otto,1
264,Heather Edwards,Edwards,1
265,Gary Edwards,Edwards,0
266,Andree Walker Bravo,Walker Bravo,1
267,Lisa Ashman,Ashman,1
268,Cara Stephens,Stephens,1
269,Carolyn Hansen,Hansen,1
270,Rashelle Hobbs,Hobbs,1
271,Teresa Curtis,Curtis,1
272,Maren Slaugh,Slaugh,1
273,Jason Yocom,Yocom,1
274,Earlene Pitt,Pitt,1
275,Cherie Root,Root,1
276,Derrick Sorensen,Sorensen,1
277,Lisa Daniels,Daniels,1
278,David Delquadro,Delquadro,1
279,Kara Trevino,Trevino,1
280,Randy Wightman,Wightman,0
281,Shauna Graves-Robertson,Graves-Robertson,1
282,Steve Calbert,Calbert,0
283,Shane Leidig,Leidig,1
284,Heather Whatcott,Whatcott,1
285,Mari Vellido,Vellido,1
286,Greg Folta,Folta,1
287,Isabelle Roehrig,Roehrig,1
288,Jim Cooper,Cooper,0
289,Kirsten Darrington,Darrington,0
290,Phil Jordan,Jordan,1
291,Robin Chalhoub,Chalhoub,1
292,Cory Curtis,Curtis,1
293,Granicus Drafter,Drafter,1
294,Stuart Clason,Clason,1
295,Andrea Valverde,Valverde,0
296,Bartley Fraser,Fraser,1
297,Brittany Clough,Clough,1
298,Erika Fihaki,Fihaki,0
299,Jana Ostler,Ostler,1
300,Javaid Lal,Lal,1
301,Michael Gallegos,Gallegos,0
302,Rory Payne,Payne,0
303,Sherrie Trujillo,Trujillo,1
304,Wendy Gurr,Gurr,1
305,Wilf Sommerkorn,Sommerkorn,0
306,Sarah Pearce,Pearce,1
307,Keith Mortimer,Mortimer,0
308,Tad Hall,Hall,1
309,TEST USER,USER,1
310,Brad Neff,Neff,1
311,Stephanie Hansen,Hansen,1
312,Granicus Approver,Approver,1
313,Shelley Francis,Francis,0
314,Sean McGirk,McGirk,0
315,Ryan Shelton,Shelton,0
316,Liz Bayler,Bayler,1
317,Wendy Glackin,Glackin,0
318,Teresa Lovelady,Lovelady,1
319,Rhonda Hypio,Hypio,1
320,Tracy Byington,Byington,1
321,Desiree Hogan,Hogan,1
322,Amaitsa Livoyochi,Livoyochi,1
323,Chad Hughes,Hughes,1
324,Kim Hansen,Hansen,0
325,Pauline Wilson,Wilson,1
326,Karen Helfrich,Helfrich,1
327,Anna Borres,Borres,1
328,Terrie Sherbon,Sherbon,1
329,Angie Vise,Vise,1
330,Stuart Tsai,Tsai,1
331,Eloy Leal,Leal,1
332,Lowell Hurst,Hurst,0
333,Jared Sorensen,Sorensen,1
334,Sean Murphy,Murphy,1
335,Yaa Mills-Davies,Mills-Davies,1
336,Destiny Garcia,Garcia,0
337,Noella Sudbury,Sudbury,1
338,Becky Timothy,Timothy,1
339,Shykell Ledford,Ledford,1
340,Ina Oviatt,Oviatt,0
341,Blake Thomas,Thomas,1
342,Samantha Sedivec,Sedivec,1
343,Council Test,Test,1
344,Test Council,Council,0
345,Shireen Ghorbani,Ghorbani,0
346,Marla Kennedy,Kennedy,1
347,Pam Tueller,Tueller,0
348,Will Kocher,Kocher,1
349,Jackie Biskupski,Biskupski,1
350,Ron Bigelow,Bigelow,0
351,D. Blair Camp,Camp,1
352,Mike Peterson,Peterson,0
353,Kristie S. Overson,Overson,1
354,Miranda Barnard,Barnard,1
355,Tawnee McCay,McCay,1
356,Eric Hutchings,Hutchings,1
357,Joe Hatch,Hatch,0
358,Catherine Kanter,Kanter,1
359,Valerie Walton,Walton,0
360,Mike Reberg,Reberg,1
361,Lannie Chapman,Chapman,1
362,Vanessa Nelson,Nelson,1
363,Jake Petersen,Petersen,1
364,Jeffrey Hall,Hall,1
365,Brian Maxwell ,Maxwell ,1
366,Stephanie Ross,Ross,1
367,Galina Urry,Urry,0
368,Heather Bailey,Bailey,1
369,Nico Soliz,Soliz,1
370,Colby Hill,Hill,0
371,Kimberly Poulton,Poulton,0
372,Michael Shea,Shea,0
373,Mitchell Park,Park,1
374,Patrick Craig,Craig,1
375,Javaid Majid,Majid,0
376,Jennifer Durham,Durham,0
377,Melissa Kelly,Kelly,1
378,Jen Robison,Robison,1
379,Jon Bronson,Bronson,0
380,Emily Burch,Burch,0
381,Rhonda Hall,Hall,1
382,Gabriel Anguiano,Anguiano,1
383,Clifford Ross,Ross,1
384,Valera Coyle,Coyle,0
385,Lisa Van Buskirk,Van Buskirk,1
386,Todd Andersen,Andersen,0
387,Kyle Palmer,Palmer,1
388,Jevon M. Gibb,Gibb,1
389,Laurie Stringham,Stringham,1
390,Abigail Evans,Evans,1
391,Dave Alvord,Alvord,1
392,Anthony Loubet,Loubet,1
393,Dea Theodore,Theodore,1
394,Alene Bentley,Bentley,1
395,Jeffrey Enquist,Enquist,1
396,Landon Clark,Clark,1
397,Scott Riding,Riding,1
398,Sylvia S. Andersen,Andersen,1
399,Yándary Chatwin,Chatwin,1
