EventItemId,EventItemEventId,_body_id,EventItemTitle,EventItemMatterId,EventItemMatterName,EventItemMatterType,EventItemMover,EventItemSeconder,EventItemPassedFlagName,EventItemActionName,EventItemAgendaSequence,EventItemMinutesSequence
27353,2901,138,"Upon request and with three working days’ notice, Salt Lake County will provide free auxiliary aids and services to qualified individuals (including sign language interpreters, alternative formats, etc.). For assistance, please call (385) 468-7500 – TTY 711. ",,,,,,,,1,
27354,2901,138,Members of the Council May Participate Electronically. The Public May Attend. Meetings May Be Closed For Reasons Allowed By Statute. ,,,,,,,,2,
27355,2901,138,CALL TO ORDER ,,,,,,,,3,1
27356,2901,138,"Invocation - Reading - Thought 

",,,,,,,,4,2
27357,2901,138,Pledge of Allegiance,,,,,,,,5,3
27358,2901,138,CITIZEN PUBLIC INPUT ,,,,,,,,6,4
27359,2901,138,REPORT OF ELECTED OFFICIALS: ,,,,,,,,7,5
27360,2901,138,Council Members,,,,,,,,8,6
27361,2901,138,Other Elected Officials,,,,,,,,9,7
27362,2901,138,Mayor,,,,,,,,10,8
27363,2901,138,"PROCLAMATIONS, DECLARATIONS, AND OTHER CEREMONIAL OR COMMEMORATIVE MATTERS",,,,,,,,11,9
27364,2901,138,PUBLIC HEARINGS AND NOTICES ,,,,,,,,12,10
27365,2901,138,RATIFICATION OF DISCUSSION ITEM ACTIONS IN COMMITTEE OF THE WHOLE ,,,,,,,,15,15
27366,2901,138,Updates to Countywide Policy 1155: County Participation in Tax Increment Financing Project Areas (2019),4607,,Discussion Items,Arlyn Bradshaw,Michael Jensen,Pass,ratified,21,21
27368,2901,138,Closed Session regarding litigation,4652,,Discussion Items,,,,,23,23
27369,2901,138,"Advice and consent of Jill Miller, Associate Deputy Mayor of Finance and Administration ",4655,,Discussion Items,Arlyn Bradshaw,Michael Jensen,Pass,ratified,22,22
27370,2901,138,RATIFICATION OF CONSENT ITEM ACTIONS IN COMMITTEE OF THE WHOLE ,,,,Arlyn Bradshaw,Michael Jensen,Pass,ratified,24,24
27404,2901,138,Central Utah Water Conservancy Board Appointments,4639,,Discussion Items,Aimee Winder Newton,Michael Jensen,Pass,ratified,20,20
27405,2901,138,"Reappointment of Mr. David Salazar to the Salt Lake County Sheriff’s Office Peace Officer Merit Commission. This is Mr. Salazar’s third term, which will begin February 1, 2020 and end January 31, 2026.",4649,,Consent Item,,,,,26,26
27406,2901,138,A Resolution of the Salt Lake County Council approving Amendment 1 to the 2004 interlocal cooperation agreement between Murray City Corporation (“City”) and Salt Lake County (“County”) regarding the sharing of costs for lifeguards at the Murray High School swimming pool.,4653,,Consent Item,,,,,29,29
27407,2901,138,"Declaration of Gift over $1,000",4654,,Consent Item,,,,,27,27
27408,2901,138,Updated CW Policy 1020: County Meals,4656,,Consent Item,,,,,28,28
27409,2901,138,TAX LETTERS,,,,,,,,31,31
27411,2901,138,LETTERS FROM OTHER OFFICES,,,,,,,,39,39
27412,2901,138,PRIVATE BUSINESS DISCLOSURES,,,,,,,,40,40
27413,2901,138,APPROVAL OF MINUTES,,,,,,,,42,42
27414,2901,138,ADJOURN,,,,,,,,44,44
27590,2901,138,Election of New Leadership,4667,,Discussion Items,Arlyn Bradshaw,Michael Jensen,Pass,ratified,17,17
