year,election_type,office,district,contest,candidate,votes,pct,rank,is_winner
2019,municipal general,Mayor,,Ogden City Mayor,MIKE CALDWELL,6229,57.47,1,True
2019,municipal general,Mayor,,Ogden City Mayor,ANGEL CASTILLO,4609,42.53,2,False
2019,municipal general,Council,2,Ogden City Council District 2,RICHARD HYER,1833,100.0,1,True
2019,municipal general,Council,4,Ogden City Council District 4,BEN NADOLSKI,3421,100.0,1,True
2019,municipal general,Council,At-Large C,Ogden City Council At-Large Seat C,LUIS LOPEZ,8342,100.0,1,True
2021,municipal general,Council,1,Ogden City Council District 1,ANGELA CHOBERKA,750,64.1,1,True
2021,municipal general,Council,1,Ogden City Council District 1,THOMAS H. GOOCH,420,35.9,2,False
2021,municipal general,Council,3,Ogden City Council District 3,KEN RICHEY,1252,51.61,1,True
2021,municipal general,Council,3,Ogden City Council District 3,PRISCILLA MARTINEZ,1174,48.39,2,False
2021,municipal general,Council,At-Large A,Ogden City Council At-Large Seat A,MARCIA L. WHITE,5273,60.47,1,True
2021,municipal general,Council,At-Large A,Ogden City Council At-Large Seat A,DANIEL J. GLADWELL,3447,39.53,2,False
2021,municipal general,Council,At-Large B,Ogden City Council At-Large Seat B,BART BLAIR,4679,54.27,1,True
2021,municipal general,Council,At-Large B,Ogden City Council At-Large Seat B,SEBASTIAN BENITEZ,3943,45.73,2,False
2023,municipal general,Mayor,,Ogden City Mayor,BEN NADOLSKI,6418,54.36,1,True
2023,municipal general,Mayor,,Ogden City Mayor,TAYLOR KNUTH,5388,45.64,2,False
2023,municipal general,Council,2,Ogden City Council District 2,RICHARD HYER,1501,100.0,1,True
2023,municipal general,Council,4,Ogden City Council District 4,DAVE GRAF,2465,52.68,1,True
2023,municipal general,Council,4,Ogden City Council District 4,STEVEN VAN WAGONER,2214,47.32,2,False
2023,municipal general,Council,At-Large C,Ogden City Council At-Large Seat C,SHAUN MYERS,6855,59.3,1,True
2023,municipal general,Council,At-Large C,Ogden City Council At-Large Seat C,J. LEVI ANDERSEN,4705,40.7,2,False
2025,municipal general,Council,1,Ogden City Council District 1,FLOR LOPEZ,1108,60.12,1,True
2025,municipal general,Council,1,Ogden City Council District 1,JASE REYNEVELD,735,39.88,2,False
2025,municipal general,Council,3,Ogden City Council District 3,KEN R. RICHEY,1795,52.15,1,True
2025,municipal general,Council,3,Ogden City Council District 3,HEATH SATOW,1647,47.85,2,False
2025,municipal general,Council,At-Large A,Ogden City Council At-Large Seat A,ALICIA WASHINGTON,6439,56.63,1,True
2025,municipal general,Council,At-Large A,Ogden City Council At-Large Seat A,MARCIA WHITE,4932,43.37,2,False
2025,municipal general,Council,At-Large B,Ogden City Council At-Large Seat B,KEVIN LUNDELL,6879,60.24,1,True
2025,municipal general,Council,At-Large B,Ogden City Council At-Large Seat B,BART E. BLAIR,4541,39.76,2,False
