year,election_type,office,district,contest,contest_verbatim,n_seats,n_candidates,voting_method,total_votes,total_first_choice_votes,winner,winner_votes,winner_pct,runner_up,runner_up_votes,margin_votes,margin_pct,registered_voters,ballots_cast,turnout_pct,uncontested,suppressed_precincts,note,source_file
2019,municipal general,Mayor,,Ogden City Mayor,,1,2,,10838,,MIKE CALDWELL,6229,57.47,ANGEL CASTILLO,4609,1620,14.94,,,,,,,
2019,municipal general,Council,2,Ogden City Council District 2,,1,1,,1833,,RICHARD HYER,1833,100.0,,,1833,100.0,,,,,,,
2019,municipal general,Council,4,Ogden City Council District 4,,1,1,,3421,,BEN NADOLSKI,3421,100.0,,,3421,100.0,,,,,,,
2019,municipal general,Council,At-Large C,Ogden City Council At-Large Seat C,,1,1,,8342,,LUIS LOPEZ,8342,100.0,,,8342,100.0,,,,,,,
2021,municipal general,Council,1,Ogden City Council District 1,,1,2,,1170,,ANGELA CHOBERKA,750,64.1,THOMAS H. GOOCH,420,330,28.2,,,,,,,
2021,municipal general,Council,3,Ogden City Council District 3,,1,2,,2426,,KEN RICHEY,1252,51.61,PRISCILLA MARTINEZ,1174,78,3.22,,,,,,,
2021,municipal general,Council,At-Large A,Ogden City Council At-Large Seat A,,1,2,,8720,,MARCIA L. WHITE,5273,60.47,DANIEL J. GLADWELL,3447,1826,20.94,,,,,,,
2021,municipal general,Council,At-Large B,Ogden City Council At-Large Seat B,,1,2,,8622,,BART BLAIR,4679,54.27,SEBASTIAN BENITEZ,3943,736,8.54,,,,,,,
2021,municipal primary,Council,3,Ogden City Council District 3,OGDEN CITY COUNCIL - DISTRICT 3 Ogden Council 3,1,3,plurality,1774,,PRISCILLA MARTINEZ,804,45.32,KEN RICHEY,802,2,0.11,,,,False,False,"File name says 'general'; the PDF is the Aug 10 2021 Weber County PRIMARY. Its STATISTICS block is county-wide, not Ogden-scoped, so registered_voters/ballots_cast/turnout_pct are left blank.",raw/2021_general_results.pdf
2021,municipal primary,Council,At-Large A,Ogden City Council At-Large Seat A,OGDEN CITY COUNCIL - AT LARGE A Ogden Council At Large A,1,6,plurality,6354,,MARCIA L. WHITE,3741,58.88,DANIEL J. GLADWELL,871,2870,45.17,,,,False,False,"File name says 'general'; the PDF is the Aug 10 2021 Weber County PRIMARY. Its STATISTICS block is county-wide, not Ogden-scoped, so registered_voters/ballots_cast/turnout_pct are left blank.",raw/2021_general_results.pdf
2023,municipal general,Mayor,,Ogden City Mayor,,1,2,,11806,,BEN NADOLSKI,6418,54.36,TAYLOR KNUTH,5388,1030,8.72,,,,,,,
2023,municipal general,Council,2,Ogden City Council District 2,,1,1,,1501,,RICHARD HYER,1501,100.0,,,1501,100.0,,,,,,,
2023,municipal general,Council,4,Ogden City Council District 4,,1,2,,4679,,DAVE GRAF,2465,52.68,STEVEN VAN WAGONER,2214,251,5.36,,,,,,,
2023,municipal general,Council,At-Large C,Ogden City Council At-Large Seat C,,1,2,,11560,,SHAUN MYERS,6855,59.3,J. LEVI ANDERSEN,4705,2150,18.6,,,,,,,
2023,municipal primary,Mayor,,Ogden City Mayor,OGDEN CITY MAYOR,1,7,plurality,10347,,TAYLOR KNUTH,2073,20.03,BEN NADOLSKI,1887,186,1.79,32083,10391,32.39,False,False,,raw/2023_primary_ogden_results.pdf
2023,municipal primary,Council,4,Ogden City Council District 4,OGDEN CITY COUNCIL DISTRICT 4,1,5,plurality,4126,,STEVEN VAN WAGONER,1461,35.41,DAVE GRAF,1384,77,1.87,9867,4250,43.07,False,False,,raw/2023_primary_ogden_results.pdf
2023,municipal primary,Council,At-Large C,Ogden City Council At-Large Seat C,OGDEN CITY COUNCIL AT-LARGE SEAT C,1,4,plurality,9729,,SHAUN MYERS,4426,45.49,LARA GALE,2556,1870,19.22,32083,10391,32.39,False,False,"Primary top two (LARA GALE, SHAUN MYERS) are NOT the general's field (J. LEVI ANDERSEN, SHAUN MYERS): LARA GALE did not appear on the November ballot. Both rows are as canvassed; no held source states the reason and none is inferred here.",raw/2023_primary_ogden_results.pdf
2025,municipal general,Council,1,Ogden City Council District 1,,1,2,,1843,,FLOR LOPEZ,1108,60.12,JASE REYNEVELD,735,373,20.24,,,,,,,
2025,municipal general,Council,3,Ogden City Council District 3,,1,2,,3442,,KEN R. RICHEY,1795,52.15,HEATH SATOW,1647,148,4.3,,,,,,,
2025,municipal general,Council,At-Large A,Ogden City Council At-Large Seat A,,1,2,,11371,,ALICIA WASHINGTON,6439,56.63,MARCIA WHITE,4932,1507,13.26,,,,,,,
2025,municipal general,Council,At-Large B,Ogden City Council At-Large Seat B,,1,2,,11420,,KEVIN LUNDELL,6879,60.24,BART E. BLAIR,4541,2338,20.48,,,,,,,
2025,municipal primary,Council,At-Large A,Ogden City Council At-Large Seat A,OGDEN CITY COUNCIL AT-LARGE SEAT A,1,4,plurality,7284,,ALICIA WASHINGTON,2795,38.37,MARCIA WHITE,2771,24,0.33,,,,False,True,,raw/state_api/items/primary08122025__OGDEN_CITY_*.json
2025,municipal primary,Council,At-Large B,Ogden City Council At-Large Seat B,OGDEN CITY COUNCIL AT-LARGE SEAT B,1,3,plurality,7312,,KEVIN LUNDELL,3578,48.93,BART E. BLAIR,2702,876,11.98,,,,False,True,,raw/state_api/items/primary08122025__OGDEN_CITY_*.json
