date,year,title,slug,path,source,source_url,format,body,meeting_kind,pmn_file
2022-01-20,2022,PlanningCommission PC Meeting 2022-01-20,2022-01-20_pc_PC,minutes/2022/2022-01-17/2022-01-20_pc_PC.md,agendacenter,https://sslc.gov/AgendaCenter/ViewFile/Minutes/_01202022-86,pdf-text,PlanningCommission,PC,
2022-02-03,2022,PlanningCommission PC Meeting 2022-02-03,2022-02-03_pc_PC,minutes/2022/2022-01-31/2022-02-03_pc_PC.md,agendacenter,https://sslc.gov/AgendaCenter/ViewFile/Minutes/_02032022-87,pdf-text,PlanningCommission,PC,
2022-02-17,2022,PlanningCommission WM Meeting 2022-02-17,2022-02-17_pc_WM,minutes/2022/2022-02-14/2022-02-17_pc_WM.md,agendacenter,https://sslc.gov/AgendaCenter/ViewFile/Minutes/_02172022-88,pdf-text,PlanningCommission,WM,
2022-04-07,2022,PlanningCommission PC Meeting 2022-04-07,2022-04-07_pc_PC,minutes/2022/2022-04-04/2022-04-07_pc_PC.md,agendacenter,https://sslc.gov/AgendaCenter/ViewFile/Minutes/_04072022-91,pdf-text,PlanningCommission,PC,
2022-05-19,2022,PlanningCommission WM Meeting 2022-05-19,2022-05-19_pc_WM,minutes/2022/2022-05-16/2022-05-19_pc_WM.md,agendacenter,https://sslc.gov/AgendaCenter/ViewFile/Minutes/_05192022-94,pdf-text,PlanningCommission,WM,
2022-08-18,2022,PlanningCommission WM Meeting 2022-08-18,2022-08-18_pc_WM,minutes/2022/2022-08-15/2022-08-18_pc_WM.md,agendacenter,https://sslc.gov/AgendaCenter/ViewFile/Minutes/_08182022-11,pdf-text,PlanningCommission,WM,
2022-09-01,2022,PlanningCommission WM Meeting 2022-09-01,2022-09-01_pc_WM,minutes/2022/2022-08-29/2022-09-01_pc_WM.md,agendacenter,https://sslc.gov/AgendaCenter/ViewFile/Minutes/_09012022-20,pdf-text,PlanningCommission,WM,
2022-09-15,2022,PlanningCommission WM Meeting 2022-09-15,2022-09-15_pc_WM,minutes/2022/2022-09-12/2022-09-15_pc_WM.md,agendacenter,https://sslc.gov/AgendaCenter/ViewFile/ArchivedMinutes/_09152022-267,pdf-text,PlanningCommission,WM,
2022-11-17,2022,PlanningCommission PC Meeting 2022-11-17,2022-11-17_pc_PC,minutes/2022/2022-11-14/2022-11-17_pc_PC.md,agendacenter,https://sslc.gov/AgendaCenter/ViewFile/Minutes/_11172022-47,pdf-text,PlanningCommission,PC,
2023-01-19,2023,PlanningCommission PC Meeting 2023-01-19,2023-01-19_pc_PC,minutes/2023/2023-01-16/2023-01-19_pc_PC.md,pmn,https://www.utah.gov/pmn/files/1045979.pdf,pdf-text,PlanningCommission,PC,1045979
2023-02-16,2023,PlanningCommission PC Meeting 2023-02-16,2023-02-16_pc_PC,minutes/2023/2023-02-13/2023-02-16_pc_PC.md,pmn,https://www.utah.gov/pmn/files/1045981.pdf,pdf-text,PlanningCommission,PC,1045981
2023-03-16,2023,PlanningCommission PC Meeting 2023-03-16,2023-03-16_pc_PC,minutes/2023/2023-03-13/2023-03-16_pc_PC.md,pmn,https://www.utah.gov/pmn/files/1045983.pdf,pdf-text,PlanningCommission,PC,1045983
2023-04-20,2023,PlanningCommission PC Meeting 2023-04-20,2023-04-20_pc_PC,minutes/2023/2023-04-17/2023-04-20_pc_PC.md,pmn,https://www.utah.gov/pmn/files/1045987.pdf,pdf-text,PlanningCommission,PC,1045987
2023-06-01,2023,PlanningCommission PC Meeting 2023-06-01,2023-06-01_pc_PC,minutes/2023/2023-05-29/2023-06-01_pc_PC.md,pmn,https://www.utah.gov/pmn/files/1045991.pdf,pdf-text,PlanningCommission,PC,1045991
2023-06-15,2023,PlanningCommission PC Meeting 2023-06-15,2023-06-15_pc_PC,minutes/2023/2023-06-12/2023-06-15_pc_PC.md,pmn,https://www.utah.gov/pmn/files/1045993.pdf,pdf-text,PlanningCommission,PC,1045993
2023-07-13,2023,PlanningCommission PC Meeting 2023-07-13,2023-07-13_pc_PC,minutes/2023/2023-07-10/2023-07-13_pc_PC.md,pmn,https://www.utah.gov/pmn/files/1045995.pdf,pdf-text,PlanningCommission,PC,1045995
2023-07-20,2023,PlanningCommission PC Meeting 2023-07-20,2023-07-20_pc_PC,minutes/2023/2023-07-17/2023-07-20_pc_PC.md,pmn,https://www.utah.gov/pmn/files/1045997.pdf,pdf-text,PlanningCommission,PC,1045997
2023-08-03,2023,PlanningCommission PC Meeting 2023-08-03,2023-08-03_pc_PC,minutes/2023/2023-07-31/2023-08-03_pc_PC.md,pmn,https://www.utah.gov/pmn/files/1045999.pdf,pdf-text,PlanningCommission,PC,1045999
2023-08-17,2023,PlanningCommission PC Meeting 2023-08-17,2023-08-17_pc_PC,minutes/2023/2023-08-14/2023-08-17_pc_PC.md,agendacenter,https://sslc.gov/AgendaCenter/ViewFile/ArchivedMinutes/_08172023-167,pdf-text,PlanningCommission,PC,
2023-08-31,2023,PlanningCommission PC Meeting 2023-08-31,2023-08-31_pc_PC,minutes/2023/2023-08-28/2023-08-31_pc_PC.md,agendacenter,https://sslc.gov/AgendaCenter/ViewFile/ArchivedMinutes/_08312023-171,pdf-text,PlanningCommission,PC,
2023-09-21,2023,PlanningCommission PC Meeting 2023-09-21,2023-09-21_pc_PC,minutes/2023/2023-09-18/2023-09-21_pc_PC.md,pmn,https://www.utah.gov/pmn/files/1046005.pdf,pdf-text,PlanningCommission,PC,1046005
2023-10-05,2023,PlanningCommission PC Meeting 2023-10-05,2023-10-05_pc_PC,minutes/2023/2023-10-02/2023-10-05_pc_PC.md,pmn,https://www.utah.gov/pmn/files/1046009.pdf,pdf-text,PlanningCommission,PC,1046009
2023-11-02,2023,PlanningCommission PC Meeting 2023-11-02,2023-11-02_pc_PC,minutes/2023/2023-10-30/2023-11-02_pc_PC.md,pmn,https://www.utah.gov/pmn/files/1049393.pdf,pdf-text,PlanningCommission,PC,1049393
2023-11-16,2023,PlanningCommission PC Meeting 2023-11-16,2023-11-16_pc_PC,minutes/2023/2023-11-13/2023-11-16_pc_PC.md,pmn,https://www.utah.gov/pmn/files/1057283.pdf,pdf-text,PlanningCommission,PC,1057283
2023-12-07,2023,PlanningCommission PC Meeting 2023-12-07,2023-12-07_pc_PC,minutes/2023/2023-12-04/2023-12-07_pc_PC.md,pmn,https://www.utah.gov/pmn/files/1074417.pdf,pdf-text,PlanningCommission,PC,1074417
2024-01-18,2024,PlanningCommission PC Meeting 2024-01-18,2024-01-18_pc_PC,minutes/2024/2024-01-15/2024-01-18_pc_PC.md,pmn,https://www.utah.gov/pmn/files/1086869.pdf,pdf-text,PlanningCommission,PC,1086869
2024-02-01,2024,PlanningCommission PC Meeting 2024-02-01,2024-02-01_pc_PC,minutes/2024/2024-01-29/2024-02-01_pc_PC.md,pmn,https://www.utah.gov/pmn/files/1086873.pdf,pdf-text,PlanningCommission,PC,1086873
2024-02-15,2024,PlanningCommission PC Meeting 2024-02-15,2024-02-15_pc_PC,minutes/2024/2024-02-12/2024-02-15_pc_PC.md,pmn,https://www.utah.gov/pmn/files/1101109.pdf,pdf-text,PlanningCommission,PC,1101109
2024-03-21,2024,PlanningCommission PC Meeting 2024-03-21,2024-03-21_pc_PC,minutes/2024/2024-03-18/2024-03-21_pc_PC.md,pmn,https://www.utah.gov/pmn/files/1112397.pdf,pdf-text,PlanningCommission,PC,1112397
