date,body,meeting_kind,reason
2022-03-03,PlanningCommission,PC,agenda-only 2022 PC regular (AgendaCenter packet + PMN agenda notice; no minutes on any channel)
2022-03-17,PlanningCommission,PC,agenda-only 2022 PC regular (AgendaCenter packet + PMN agenda notice; no minutes on any channel)
2022-04-21,PlanningCommission,PC,agenda-only 2022 PC regular (AgendaCenter packet + PMN agenda notice; no minutes on any channel)
2022-05-05,PlanningCommission,PC,agenda-only 2022 PC regular (AgendaCenter packet + PMN agenda notice; no minutes on any channel)
2022-06-16,PlanningCommission,PC,agenda-only 2022 PC regular (AgendaCenter packet + PMN agenda notice; no minutes on any channel)
2022-07-21,PlanningCommission,PC,agenda-only 2022 PC regular (AgendaCenter packet + PMN agenda notice; no minutes on any channel)
2022-10-20,PlanningCommission,PC,agenda-only 2022 PC regular (AgendaCenter packet + PMN agenda notice; no minutes on any channel)
2022-12-01,PlanningCommission,PC,agenda-only 2022 PC regular (AgendaCenter packet + PMN agenda notice; no minutes on any channel)
2023-03-16,PlanningCommission,WM,1 agenda-only cand
2023-06-01,PlanningCommission,WM,1 agenda-only cand
2023-09-21,PlanningCommission,WM,1 agenda-only cand
2023-10-05,PlanningCommission,WM,1 agenda-only cand
2023-11-02,PlanningCommission,WM,1 agenda-only cand
2023-11-16,PlanningCommission,WM,1 agenda-only cand
2023-12-07,PlanningCommission,WM,1 agenda-only cand
2024-01-18,PlanningCommission,WM,1 agenda-only cand
2024-02-01,PlanningCommission,WM,1 agenda-only cand
2024-02-15,PlanningCommission,WM,1 agenda-only cand
2024-07-11,PlanningCommission,WM,1 agenda-only cand
2024-08-21,PlanningCommission,PC,1 agenda-only cand
2024-09-05,PlanningCommission,WM,1 agenda-only cand
2025-07-10,PlanningCommission,WM,1 agenda-only cand
2025-12-04,PlanningCommission,PC,1 agenda-only cand
2026-05-07,PlanningCommission,WM,1 agenda-only cand
2026-07-09,PlanningCommission,PC,agenda-only/minutes-not-posted
2026-07-16,PlanningCommission,PC,agenda-only/minutes-not-posted
