date,candidate,office,election_year,filing_type,reporting_period,title,source_url,retrieved_date,format,extraction_method,path,seat,source,original_url,tyler_node,tyler_attachment_id,date_precision,duplicate_of,matched_election_candidate,join_confidence
2011-11-08,Alan Summerhays,Council,2011,,undated published financial report (class unknown; classify at extraction),2011 Alan Summerhays (Council) — financials - Summerhays.pdf,https://drapercityut.contentmanager.tylerapp.com/tylercm/eagleweb/downloads/financials___Summerhays.pdf.pdf?id=DOC265S5157.A1&parent=DOC265S5157,2026-07-13,scanned,none (raw acquisition; OCR/vision deferred),raw/tyler_DOC265S5157_A1_financials_Summerhays.pdf,,tyler_cm_grama_portal,,DOC265S5157,DOC265S5157.A1,cycle_anchor (undated scan; date = that year general election day; actual filing date unknown),,ALAN SUMMERHAYS,high
2011-11-08,Bill Colbert,Council,2011,,undated published financial report (class unknown; classify at extraction),2011 Bill Colbert (Council) — financials - Colbert.pdf,https://drapercityut.contentmanager.tylerapp.com/tylercm/eagleweb/downloads/financials___Colbert.pdf.pdf?id=DOC265S5156.A1&parent=DOC265S5156,2026-07-13,scanned,none (raw acquisition; OCR/vision deferred),raw/tyler_DOC265S5156_A1_financials_Colbert.pdf,,tyler_cm_grama_portal,,DOC265S5156,DOC265S5156.A1,cycle_anchor (undated scan; date = that year general election day; actual filing date unknown),,BILL COLBERT,high
2011-11-08,Claudia Anderson,Council,2011,,undated published financial report (class unknown; classify at extraction),2011 Claudia Anderson (Council) — financials - Anderson.pdf,https://drapercityut.contentmanager.tylerapp.com/tylercm/eagleweb/downloads/financials___Anderson.pdf.pdf?id=DOC265S5153.A1&parent=DOC265S5153,2026-07-13,scanned,none (raw acquisition; OCR/vision deferred),raw/tyler_DOC265S5153_A1_financials_Anderson.pdf,,tyler_cm_grama_portal,,DOC265S5153,DOC265S5153.A1,cycle_anchor (undated scan; date = that year general election day; actual filing date unknown),,CLAUDIA ANDERSON,high
2011-11-08,Rod Besaw,Council,2011,,undated published financial report (class unknown; classify at extraction),2011 Rod Besaw (Council) — financials - Besaw.pdf,https://drapercityut.contentmanager.tylerapp.com/tylercm/eagleweb/downloads/financials___Besaw.pdf.pdf?id=DOC265S5155.A1&parent=DOC265S5155,2026-07-13,scanned,none (raw acquisition; OCR/vision deferred),raw/tyler_DOC265S5155_A1_financials_Besaw.pdf,,tyler_cm_grama_portal,,DOC265S5155,DOC265S5155.A1,cycle_anchor (undated scan; date = that year general election day; actual filing date unknown),,ROD BESAW,high
2011-11-08,Shawn K. Benjamin,Council,2011,,undated published financial report (class unknown; classify at extraction),2011 Shawn K. Benjamin (Council) — financials - Benjamin.pdf,https://drapercityut.contentmanager.tylerapp.com/tylercm/eagleweb/downloads/financials___Benjamin.pdf.pdf?id=DOC265S5154.A1&parent=DOC265S5154,2026-07-13,scanned,none (raw acquisition; OCR/vision deferred),raw/tyler_DOC265S5154_A1_financials_Benjamin.pdf,,tyler_cm_grama_portal,,DOC265S5154,DOC265S5154.A1,cycle_anchor (undated scan; date = that year general election day; actual filing date unknown),,SHAWN K. BENJAMIN,high
2011-11-08,Troy Walker,Council,2011,,undated published financial report (class unknown; classify at extraction),2011 Troy Walker (Council) — financials - Walker.pdf,https://drapercityut.contentmanager.tylerapp.com/tylercm/eagleweb/downloads/financials___Walker.pdf.pdf?id=DOC265S5158.A1&parent=DOC265S5158,2026-07-13,scanned,none (raw acquisition; OCR/vision deferred),raw/tyler_DOC265S5158_A1_financials_Walker.pdf,,tyler_cm_grama_portal,,DOC265S5158,DOC265S5158.A1,cycle_anchor (undated scan; date = that year general election day; actual filing date unknown),,TROY WALKER,high
2013-11-05,Carolyn Hunsaker,Council,2013,,undated published financial report (class unknown; classify at extraction),2013 Carolyn Hunsaker (Council) — Hunsaker.pdf,https://drapercityut.contentmanager.tylerapp.com/tylercm/eagleweb/downloads/Hunsaker.pdf.pdf?id=DOC265S4300.A1&parent=DOC265S4300,2026-07-13,scanned,none (raw acquisition; OCR/vision deferred),raw/tyler_DOC265S4300_A1_Hunsaker.pdf,,tyler_cm_grama_portal,,DOC265S4300,DOC265S4300.A1,cycle_anchor (undated scan; date = that year general election day; actual filing date unknown),,CAROLYN HUNSAKER,high
2013-11-05,J. Michael Burrows,Council,2013,,undated published financial report (class unknown; classify at extraction),2013 J. Michael Burrows (Council) — Burrows  - financials.pdf,https://drapercityut.contentmanager.tylerapp.com/tylercm/eagleweb/downloads/Burrows____financials.pdf.pdf?id=DOC265S4294.A0&parent=DOC265S4294,2026-07-13,scanned,none (raw acquisition; OCR/vision deferred),raw/tyler_DOC265S4294_A0_Burrows_financials.pdf,,tyler_cm_grama_portal,,DOC265S4294,DOC265S4294.A0,cycle_anchor (undated scan; date = that year general election day; actual filing date unknown),,J. MICHAEL BURROWS,high
2013-11-05,J. Michael Burrows,Council,2013,,undated published financial report (class unknown; classify at extraction),2013 J. Michael Burrows (Council) — J. Michael Burrows,https://drapercityut.contentmanager.tylerapp.com/tylercm/eagleweb/downloads/J._Michael_Burrows.pdf?id=DOC265S4294.A2&parent=DOC265S4294,2026-07-13,scanned,none (raw acquisition; OCR/vision deferred),raw/tyler_DOC265S4294_A2_J._Michael_Burrows.pdf,,tyler_cm_grama_portal,,DOC265S4294,DOC265S4294.A2,cycle_anchor (undated scan; date = that year general election day; actual filing date unknown),,J. MICHAEL BURROWS,high
2013-11-05,Jeffrey D. Stenquist,Council,2013,,undated published financial report (class unknown; classify at extraction),2013 Jeffrey D. Stenquist (Council) — Stenquist.pdf,https://drapercityut.contentmanager.tylerapp.com/tylercm/eagleweb/downloads/Stenquist.pdf.pdf?id=DOC265S4303.A1&parent=DOC265S4303,2026-07-13,scanned,none (raw acquisition; OCR/vision deferred),raw/tyler_DOC265S4303_A1_Stenquist.pdf,,tyler_cm_grama_portal,,DOC265S4303,DOC265S4303.A1,cycle_anchor (undated scan; date = that year general election day; actual filing date unknown),,JEFFREY D. STENQUIST,high
