stem,format,extraction_method,chars
notice_1007201,html,html-strip,689
notice_482883,html,html-strip,1847
notice_544845,html,html-strip,410
notice_572137,html,html-strip,530
notice_681417,html,html-strip,445
notice_681429,html,html-strip,446
notice_681433,html,html-strip,466
notice_723369,html,html-strip,491
notice_739667,html,html-strip,508
notice_749981,html,html-strip,570
notice_761317,html,html-strip,517
notice_761321,html,html-strip,460
notice_785825,html,html-strip,539
notice_794787,html,html-strip,585
notice_886845,html,html-strip,710
notice_899219,html,html-strip,649
notice_899221,html,html-strip,607
notice_914317,html,html-strip,611
notice_922685,html,html-strip,579
notice_941341,html,html-strip,591
ord1392_n544847_f509363,text,pdftotext -layout,416
ord1395_n544849_f509365,text,pdftotext -layout,455
ord1484_n674769_f714703,scanned,tesseract 5 OCR @300dpi,3191
ord1488_n674767_f714701,scanned,tesseract 5 OCR @300dpi,31692
ord1489_n674765_f714699,scanned,tesseract 5 OCR @300dpi,4133
ord1493_n685079_f730865,scanned,tesseract 5 OCR @300dpi,78073
ord1494_n691937_f741837,text,pdftotext -layout,472
ord1495_n686663_f733809,text,pdftotext -layout,484
ord1496_n691943_f741841,text,pdftotext -layout,472
ord1497_n691947_f741845,text,pdftotext -layout,483
ord1498_n694209_f745531,text,pdftotext -layout,487
ord1499_n704769_f762941,text,pdftotext -layout,493
ord1500_n707289_f766971,text,pdftotext -layout,464
ord1501_n707291_f766973,text,pdftotext -layout,480
ord1502_n707295_f766975,text,pdftotext -layout,503
ord1503_n710643_f772789,text,pdftotext -layout,541
ord1504_n710645_f772795,text,pdftotext -layout,501
ord1512_n730085_f803627,text,pdftotext -layout,558
ord1513_n730087_f803639,text,pdftotext -layout,494
ord1515_n730089_f803635,text,pdftotext -layout,481
ord1519_n723371_f793727,text,pdftotext -layout,472
ord1520_n723375_f793737,text,pdftotext -layout,550
ord1523_n728271_f800561,scanned,tesseract 5 OCR @300dpi,36129
ord1524_n733081_f809109,scanned,tesseract 5 OCR @300dpi,4893
ord1525_n733083_f809113,scanned,tesseract 5 OCR @300dpi,9096
ord1527_n739669_f820217,text,pdftotext -layout,18838
ord1528_n739671_f820219,text,pdftotext -layout,6727
ord1529_n739673_f820221,text,pdftotext -layout,4632
ord1530_n748411_f835323,text,pdftotext -layout,499
ord1534_n748445_f835347,text,pdftotext -layout,521
ord1535_n753297_f844021,text,pdftotext -layout,529
ord1536_n749979_f837931,text,pdftotext -layout,473
ord1538_n749985_f837935,text,pdftotext -layout,495
ord1539_n753299_f844023,text,pdftotext -layout,514
ord1540_n753303_f844025,text,pdftotext -layout,508
ord1541_n753305_f844027,text,pdftotext -layout,507
ord1544_n765627_f864823,text,pdftotext -layout,448
ord1545_n765629_f864825,text,pdftotext -layout,457
ord1545_n765631_f864827,text,pdftotext -layout,457
ord1546_n770269_f871683,text,pdftotext -layout,514
ord1548_n765633_f864829,text,pdftotext -layout,465
ord1549_n770271_f871685,text,pdftotext -layout,465
ord1549_n770273_f871691,text,pdftotext -layout,515
ord1551_n770275_f871697,text,pdftotext -layout,579
ord1552_n770277_f871703,text,pdftotext -layout,504
ord1553_n772737_f876165,text,pdftotext -layout,486
ord1554_n772739_f876169,text,pdftotext -layout,503
ord1555_n785857_f897841,text,pdftotext -layout,517
ord1556_n785825_f897793,text,pdftotext -layout,517
ord1557_n775835_f881163,text,pdftotext -layout,469
ord1559_n779529_f887465,text,pdftotext -layout,471
ord1560_n779531_f887473,text,pdftotext -layout,504
ord1561_n783199_f893781,text,pdftotext -layout,522
ord1563_n785829_f897795,text,pdftotext -layout,533
ord1564_n785831_f897797,text,pdftotext -layout,530
ord1564_n785835_f897801,text,pdftotext -layout,530
ord1565_n785837_f897803,text,pdftotext -layout,521
ord1566_n788793_f903001,text,pdftotext -layout,480
ord1567_n788799_f903009,text,pdftotext -layout,510
ord1569_n798759_f919671,text,pdftotext -layout,563
ord1572_n800483_f922605,text,pdftotext -layout,563
ord1575_n805663_f930329,text,pdftotext -layout,490
ord1576_n814877_f946829,text,pdftotext -layout,522
ord1577_n817911_f952271,text,pdftotext -layout,490
ord1578_n833937_f979741,text,pdftotext -layout,688
ord1579_n830175_f973369,text,pdftotext -layout,605
ord1579_n833939_f979745,text,pdftotext -layout,580
ord1581_n833943_f979751,text,pdftotext -layout,675
ord1582_n838171_f986549,text,pdftotext -layout,615
ord1583_n841923_f992681,text,pdftotext -layout,940
ord1584_n858233_f1021275,text,pdftotext -layout,625
ord1585_n841927_f992683,text,pdftotext -layout,639
ord1586_n870929_f1044461,text,pdftotext -layout,645
ord1587_n866139_f1035603,text,pdftotext -layout,642
ord1588_n867221_f1037489,text,pdftotext -layout,602
ord1589_n863395_f1030557,text,pdftotext -layout,647
ord1590_n866141_f1035605,text,pdftotext -layout,648
ord1591_n866143_f1035607,text,pdftotext -layout,646
ord1592_n870937_f1044471,text,pdftotext -layout,686
ord1593_n870935_f1044469,text,pdftotext -layout,685
ord1594_n870939_f1044477,text,pdftotext -layout,671
ord1595_n884961_f1068637,text,pdftotext -layout,651
ord1596_n899213_f1096467,text,pdftotext -layout,635
ord1597_n877845_f1056761,text,pdftotext -layout,584
ord1598_n884965_f1068627,text,pdftotext -layout,623
ord1599_n884969_f1068631,text,pdftotext -layout,563
ord1600_n884971_f1068635,text,pdftotext -layout,565
ord1602_n894713_f1088047,text,pdftotext -layout,646
ord1603_n894719_f1088051,text,pdftotext -layout,662
ord1604_n894725_f1088053,text,pdftotext -layout,663
ord1605_n899217_f1096465,text,pdftotext -layout,656
ord1608_n934921_f1160043,text,pdftotext -layout,625
ord1609_n908863_f1114209,text,pdftotext -layout,632
ord1610_n908867_f1114219,text,pdftotext -layout,613
ord1611_n913973_f1122725,text,pdftotext -layout,616
ord1612_n913975_f1122727,text,pdftotext -layout,697
ord1613_n920959_f1135057,text,pdftotext -layout,559
ord1614_n920963_f1135059,text,pdftotext -layout,658
ord1615_n922683_f1138149,text,pdftotext -layout,569
ord1617_n931779_f1154219,text,pdftotext -layout,720
ord1620_n938601_f1167269,text,pdftotext -layout,668
ord1621_n941347_f1172425,text,pdftotext -layout,571
ord1622_n941343_f1172421,text,pdftotext -layout,569
ord1624_n941337_f1172415,text,pdftotext -layout,619
ord1625_n947383_f1183797,text,pdftotext -layout,604
ord1627_n958623_f1204649,text,pdftotext -layout,619
ord1628_n958625_f1204659,text,pdftotext -layout,572
ord1629_n958627_f1204661,text,pdftotext -layout,588
ord1631_n965977_f1217675,text,pdftotext -layout,625
ord1632_n971743_f1228635,text,pdftotext -layout,693
ord1633_n971747_f1228639,text,pdftotext -layout,625
ord1634_n975275_f1235127,text,pdftotext -layout,709
ord1635_n978665_f1242119,text,pdftotext -layout,613
ord1636_n978671_f1242121,text,pdftotext -layout,881
ord1637_n978675_f1242125,text,pdftotext -layout,881
ord1638_n978697_f1242187,text,pdftotext -layout,721
ord1639_n981767_f1248039,text,pdftotext -layout,665
ord1640_n1007179_f1293877,text,pdftotext -layout,693
ord1641_n1007183_f1293879,text,pdftotext -layout,764
ord1642_n984761_f1253623,text,pdftotext -layout,627
ord1643_n984767_f1253625,text,pdftotext -layout,809
ord1644_n984769_f1253627,text,pdftotext -layout,813
ord1645_n984765_f1253637,text,pdftotext -layout,679
ord1648_n993111_f1268221,text,pdftotext -layout,642
ord1649_n993115_f1268229,text,pdftotext -layout,795
ord1650_n993121_f1268235,text,pdftotext -layout,907
ord1651_n996815_f1275149,text,pdftotext -layout,738
ord1652_n996819_f1275151,text,pdftotext -layout,798
ord1653_n996823_f1275155,text,pdftotext -layout,675
ord1654_n1004331_f1288065,text,pdftotext -layout,652
ord1655_n1004343_f1288079,text,pdftotext -layout,836
ord1656_n1004355_f1288089,text,pdftotext -layout,941
ord1657_n1004361_f1288099,text,pdftotext -layout,629
ord1658_n1004363_f1288105,text,pdftotext -layout,641
ord1659_n1004367_f1288111,text,pdftotext -layout,745
ord1660_n1007199_f1293915,text,pdftotext -layout,678
ord1661_n1007201_f1293917,text,pdftotext -layout,760
ord1662_n1007203_f1293919,text,pdftotext -layout,760
ord1663_n1007205_f1293921,text,pdftotext -layout,809
ord1664_n1007207_f1293927,text,pdftotext -layout,749
ord1667_n1017277_f1312269,text,pdftotext -layout,835
ord1669_n1017279_f1312271,text,pdftotext -layout,694
ord1670_n1020395_f1318471,text,pdftotext -layout,700
ord1672_n1020401_f1318483,text,pdftotext -layout,696
ord1673_n1020403_f1318529,text,pdftotext -layout,745
ord1674_n1020405_f1318485,text,pdftotext -layout,852
