name,role,bodies,first_date,last_date,n_motions
Debbie Cragun,Commissioner,PlanningCommission,2020-01-08,2026-06-03,248
Kori Luker,Commissioner,PlanningCommission,2020-01-08,2026-06-03,239
Ulises Flynn,Commissioner,PlanningCommission,2020-02-05,2026-05-20,213
Erik Swanson,Commissioner,PlanningCommission,2022-01-05,2026-06-03,140
Tina Griffis,Commissioner,PlanningCommission,2022-04-20,2026-06-03,113
Johnny Loomis Jr,Commissioner,PlanningCommission,2020-01-08,2023-01-18,110
Stephen Walston,Commissioner,PlanningCommission,2020-01-08,2021-12-01,97
Michael Kraupp,Commissioner,PlanningCommission,2023-03-15,2025-07-02,52
Holly Brown,Commissioner,PlanningCommission,2020-01-08,2021-04-07,32
Joel Woodruff,Commissioner,PlanningCommission,2025-10-15,2026-06-03,11
