ordinance_no,adoption_date,date,title,source_url,retrieved_date,format,extraction_method,path,land_use,result,matched_motion_date,matched_motion_no,match_confidence,code_section,adoption_date_raw,codified,linkage_note,minutes_source
2020-01,2020-01-08,2020-01-08,Urban livability department functions,https://library.municode.com/ut/south_salt_lake/codes/code_of_ordinances?nodeId=COCOTADILI,2026-07-13,json,"parsed Municode COCOTADILI comparative table (api.municode.com, born-digital)",raw/municode_cocotadili_comparative_table.json,no,,,,none,"2.42.010 , 2.42.020",1- 8-2020,yes,no recorded ordinance-adopting motion on this date (coverage cliff: council minutes largely unpublished 2021-mid..2025),
2020-02,2020-01-08,2020-01-08,Land use regulations,https://library.municode.com/ut/south_salt_lake/codes/code_of_ordinances?nodeId=COCOTADILI,2026-07-13,json,"parsed Municode COCOTADILI comparative table (api.municode.com, born-digital)",raw/municode_cocotadili_comparative_table.json,yes,,,,none,9.24.010 — 9.24.030,1- 8-2020,yes,no recorded ordinance-adopting motion on this date (coverage cliff: council minutes largely unpublished 2021-mid..2025),
2020-03,2020-02-12,2020-02-12,Sewer rates,https://library.municode.com/ut/south_salt_lake/codes/code_of_ordinances?nodeId=COCOTADILI,2026-07-13,json,"parsed Municode COCOTADILI comparative table (api.municode.com, born-digital)",raw/municode_cocotadili_comparative_table.json,no,,,,none,3.11.100 B.,2-12-2020,yes,no recorded ordinance-adopting motion on this date (coverage cliff: council minutes largely unpublished 2021-mid..2025),
2020-05,2020-04-08,2020-04-08,"Civil enforcement of State or local declarations of emergency or subsequent orders, directives, rules, or regulations related to the emergency",https://library.municode.com/ut/south_salt_lake/codes/code_of_ordinances?nodeId=COCOTADILI,2026-07-13,json,"parsed Municode COCOTADILI comparative table (api.municode.com, born-digital)",raw/municode_cocotadili_comparative_table.json,no,,,,none,2.04.040,4- 8-2020,yes,no recorded ordinance-adopting motion on this date (coverage cliff: council minutes largely unpublished 2021-mid..2025),
2020-06,2020-06-03,2020-06-03,Land use provisions,https://library.municode.com/ut/south_salt_lake/codes/code_of_ordinances?nodeId=COCOTADILI,2026-07-13,json,"parsed Municode COCOTADILI comparative table (api.municode.com, born-digital)",raw/municode_cocotadili_comparative_table.json,yes,,,,none,"3.11.040 , 3.11.050",6- 3-2020,yes,no recorded ordinance-adopting motion on this date (coverage cliff: council minutes largely unpublished 2021-mid..2025),
2020-08,2020-06-17,2020-06-17,Communicable diseases,https://library.municode.com/ut/south_salt_lake/codes/code_of_ordinances?nodeId=COCOTADILI,2026-07-13,json,"parsed Municode COCOTADILI comparative table (api.municode.com, born-digital)",raw/municode_cocotadili_comparative_table.json,no,,,,none,8.28.010,6-17-2020,yes,no recorded ordinance-adopting motion on this date (coverage cliff: council minutes largely unpublished 2021-mid..2025),
2020-07,2020-06-22,2020-06-22,Budget,https://library.municode.com/ut/south_salt_lake/codes/code_of_ordinances?nodeId=COCOTADILI,2026-07-13,json,"parsed Municode COCOTADILI comparative table (api.municode.com, born-digital)",raw/municode_cocotadili_comparative_table.json,no,,,,none,Not included,6-22-2020,no,no recorded ordinance-adopting motion on this date (coverage cliff: council minutes largely unpublished 2021-mid..2025),
2020-09,2020-08-12,2020-08-12,Temporary Transitional Beneficial Use (TTBU),https://library.municode.com/ut/south_salt_lake/codes/code_of_ordinances?nodeId=COCOTADILI,2026-07-13,json,"parsed Municode COCOTADILI comparative table (api.municode.com, born-digital)",raw/municode_cocotadili_comparative_table.json,yes,,2020-08-12,3,low,17.03.010,8-12-2020,yes,recorded ordinance-adopting motion on this date; specific ordinance unconfirmed (motion text truncated at item title),meeting_minutes/all_votes.csv (SSL recorded PMN minutes)
2020-11,2020-12-02,2020-12-02,Meetings of council,https://library.municode.com/ut/south_salt_lake/codes/code_of_ordinances?nodeId=COCOTADILI,2026-07-13,json,"parsed Municode COCOTADILI comparative table (api.municode.com, born-digital)",raw/municode_cocotadili_comparative_table.json,no,,2020-12-02,3,low,2.08.050,12- 2-2020,yes,recorded ordinance-adopting motion on this date; specific ordinance unconfirmed (motion text truncated at item title),meeting_minutes/all_votes.csv (SSL recorded PMN minutes)
2021-01,2021-01-13,2021-01-13,Zoning,https://library.municode.com/ut/south_salt_lake/codes/code_of_ordinances?nodeId=COCOTADILI,2026-07-13,json,"parsed Municode COCOTADILI comparative table (api.municode.com, born-digital)",raw/municode_cocotadili_comparative_table.json,yes,,,,none,17.03.010,1-13-2021,yes,no recorded ordinance-adopting motion on this date (coverage cliff: council minutes largely unpublished 2021-mid..2025),
2021-02,2021-03-10,2021-03-10,Modernizing various provisions,https://library.municode.com/ut/south_salt_lake/codes/code_of_ordinances?nodeId=COCOTADILI,2026-07-13,json,"parsed Municode COCOTADILI comparative table (api.municode.com, born-digital)",raw/municode_cocotadili_comparative_table.json,no,,,,none,"2.48.050 , 2.48.060",3-10-2021,yes,no recorded ordinance-adopting motion on this date (coverage cliff: council minutes largely unpublished 2021-mid..2025),
2021-03,2021-03-24,2021-03-24,Election eligibility requirements,https://library.municode.com/ut/south_salt_lake/codes/code_of_ordinances?nodeId=COCOTADILI,2026-07-13,json,"parsed Municode COCOTADILI comparative table (api.municode.com, born-digital)",raw/municode_cocotadili_comparative_table.json,no,,,,none,2.48.050 (2),3-24-2021,yes,no recorded ordinance-adopting motion on this date (coverage cliff: council minutes largely unpublished 2021-mid..2025),
2021-04,2021-04-28,2021-04-28,Regulation of parks,https://library.municode.com/ut/south_salt_lake/codes/code_of_ordinances?nodeId=COCOTADILI,2026-07-13,json,"parsed Municode COCOTADILI comparative table (api.municode.com, born-digital)",raw/municode_cocotadili_comparative_table.json,no,,,,none,"12.38.010 , 12.38.020",4-28-2021,yes,no recorded ordinance-adopting motion on this date (coverage cliff: council minutes largely unpublished 2021-mid..2025),
2021-06,2021-05-26,2021-05-26,Zoning,https://library.municode.com/ut/south_salt_lake/codes/code_of_ordinances?nodeId=COCOTADILI,2026-07-13,json,"parsed Municode COCOTADILI comparative table (api.municode.com, born-digital)",raw/municode_cocotadili_comparative_table.json,yes,,,,none,17.01.010,5-26-2021,yes,no recorded ordinance-adopting motion on this date (coverage cliff: council minutes largely unpublished 2021-mid..2025),
2021-09,2021-06-23,2021-06-23,Neighborhoods Department,https://library.municode.com/ut/south_salt_lake/codes/code_of_ordinances?nodeId=COCOTADILI,2026-07-13,json,"parsed Municode COCOTADILI comparative table (api.municode.com, born-digital)",raw/municode_cocotadili_comparative_table.json,no,,,,none,2.04.030,6-23-2021,yes,no recorded ordinance-adopting motion on this date (coverage cliff: council minutes largely unpublished 2021-mid..2025),
