date,title,body,meeting_type,packet_kind,source_url,retrieved_date,format,extraction_method,path,event_id,size_mb,stored_locally
2021-07-13,City Council Meeting,Council,City Council Meeting,agenda,"https://oremut.api.civicclerk.com/v1/Meetings/GetMeetingFileStream(fileId=34,plainText=false)",2026-07-05,text,civicclerk_odata,raw/2021-07-13/Council_e2_agenda.pdf,2,0.12,yes
2021-07-13,City Council Meeting,Council,City Council Meeting,agenda_packet,"https://oremut.api.civicclerk.com/v1/Meetings/GetMeetingFileStream(fileId=35,plainText=false)",,na,civicclerk_odata,,2,31.978,no
2021-07-21,Planning Commission Meeting,PlanningCommission,Planning Commission Meeting,agenda,"https://oremut.api.civicclerk.com/v1/Meetings/GetMeetingFileStream(fileId=38,plainText=false)",2026-07-05,text,civicclerk_odata,raw/2021-07-21/PlanningCommission_e39_agenda.pdf,39,0.097,yes
2021-07-21,Planning Commission Meeting,PlanningCommission,Planning Commission Meeting,agenda_packet,"https://oremut.api.civicclerk.com/v1/Meetings/GetMeetingFileStream(fileId=37,plainText=false)",,na,civicclerk_odata,,39,11.337,no
2021-07-27,Special City Council Meeting,Council,Special City Council Meeting,agenda,"https://oremut.api.civicclerk.com/v1/Meetings/GetMeetingFileStream(fileId=39,plainText=false)",2026-07-05,text,civicclerk_odata,raw/2021-07-27/Council_e64_agenda.pdf,64,0.098,yes
2021-07-27,Special City Council Meeting,Council,Special City Council Meeting,agenda_packet,"https://oremut.api.civicclerk.com/v1/Meetings/GetMeetingFileStream(fileId=40,plainText=false)",,na,civicclerk_odata,,64,8.075,no
2021-08-09,Special City Council Meeting,Council,Special City Council Meeting,agenda,"https://oremut.api.civicclerk.com/v1/Meetings/GetMeetingFileStream(fileId=43,plainText=false)",2026-07-05,text,civicclerk_odata,raw/2021-08-09/Council_e80_agenda.pdf,80,0.097,yes
2021-08-09,Special City Council Meeting,Council,Special City Council Meeting,agenda_packet,"https://oremut.api.civicclerk.com/v1/Meetings/GetMeetingFileStream(fileId=45,plainText=false)",,na,civicclerk_odata,,80,0.204,no
2021-08-18,Planning Commission Meeting,PlanningCommission,Planning Commission Meeting,agenda,"https://oremut.api.civicclerk.com/v1/Meetings/GetMeetingFileStream(fileId=55,plainText=false)",2026-07-05,text,civicclerk_odata,raw/2021-08-18/PlanningCommission_e40_agenda.pdf,40,0.102,yes
2021-08-18,Planning Commission Meeting,PlanningCommission,Planning Commission Meeting,agenda_packet,"https://oremut.api.civicclerk.com/v1/Meetings/GetMeetingFileStream(fileId=61,plainText=false)",,na,civicclerk_odata,,40,4.177,no
2021-08-24,City Council Meeting,Council,City Council Meeting,agenda,"https://oremut.api.civicclerk.com/v1/Meetings/GetMeetingFileStream(fileId=67,plainText=false)",2026-07-05,text,civicclerk_odata,raw/2021-08-24/Council_e15_agenda.pdf,15,0.12,yes
2021-08-24,City Council Meeting,Council,City Council Meeting,agenda_packet,"https://oremut.api.civicclerk.com/v1/Meetings/GetMeetingFileStream(fileId=68,plainText=false)",,na,civicclerk_odata,,15,33.004,no
2021-09-01,Planning Commission Meeting,PlanningCommission,Planning Commission Meeting,agenda,"https://oremut.api.civicclerk.com/v1/Meetings/GetMeetingFileStream(fileId=75,plainText=false)",2026-07-05,text,civicclerk_odata,raw/2021-09-01/PlanningCommission_e28_agenda.pdf,28,0.124,yes
2021-09-01,Planning Commission Meeting,PlanningCommission,Planning Commission Meeting,agenda_packet,"https://oremut.api.civicclerk.com/v1/Meetings/GetMeetingFileStream(fileId=76,plainText=false)",,na,civicclerk_odata,,28,71.34,no
2021-09-14,City Council Meeting,Council,City Council Meeting,agenda,"https://oremut.api.civicclerk.com/v1/Meetings/GetMeetingFileStream(fileId=83,plainText=false)",2026-07-05,text,civicclerk_odata,raw/2021-09-14/Council_e4_agenda.pdf,4,0.15,yes
2021-09-14,City Council Meeting,Council,City Council Meeting,agenda_packet,"https://oremut.api.civicclerk.com/v1/Meetings/GetMeetingFileStream(fileId=84,plainText=false)",,na,civicclerk_odata,,4,35.611,no
2021-09-15,Planning Commission Meeting,PlanningCommission,Planning Commission Meeting,agenda,"https://oremut.api.civicclerk.com/v1/Meetings/GetMeetingFileStream(fileId=79,plainText=false)",2026-07-05,text,civicclerk_odata,raw/2021-09-15/PlanningCommission_e41_agenda.pdf,41,0.096,yes
2021-09-15,Planning Commission Meeting,PlanningCommission,Planning Commission Meeting,agenda_packet,"https://oremut.api.civicclerk.com/v1/Meetings/GetMeetingFileStream(fileId=80,plainText=false)",,na,civicclerk_odata,,41,26.465,no
2021-09-28,City Council Meeting,Council,City Council Meeting,agenda,"https://oremut.api.civicclerk.com/v1/Meetings/GetMeetingFileStream(fileId=92,plainText=false)",2026-07-05,text,civicclerk_odata,raw/2021-09-28/Council_e16_agenda.pdf,16,0.117,yes
2021-09-28,City Council Meeting,Council,City Council Meeting,agenda_packet,"https://oremut.api.civicclerk.com/v1/Meetings/GetMeetingFileStream(fileId=93,plainText=false)",,na,civicclerk_odata,,16,5.006,no
2021-10-20,Planning Commission Meeting,PlanningCommission,Planning Commission Meeting,agenda,"https://oremut.api.civicclerk.com/v1/Meetings/GetMeetingFileStream(fileId=96,plainText=false)",2026-07-05,text,civicclerk_odata,raw/2021-10-20/PlanningCommission_e42_agenda.pdf,42,0.114,yes
2021-10-20,Planning Commission Meeting,PlanningCommission,Planning Commission Meeting,agenda_packet,"https://oremut.api.civicclerk.com/v1/Meetings/GetMeetingFileStream(fileId=98,plainText=false)",,na,civicclerk_odata,,42,22.959,no
2021-10-26,City Council Meeting,Council,City Council Meeting,agenda,"https://oremut.api.civicclerk.com/v1/Meetings/GetMeetingFileStream(fileId=102,plainText=false)",2026-07-05,text,civicclerk_odata,raw/2021-10-26/Council_e17_agenda.pdf,17,0.121,yes
2021-10-26,City Council Meeting,Council,City Council Meeting,agenda_packet,"https://oremut.api.civicclerk.com/v1/Meetings/GetMeetingFileStream(fileId=104,plainText=false)",,na,civicclerk_odata,,17,37.703,no
2021-11-03,Planning Commission Meeting,PlanningCommission,Planning Commission Meeting,agenda,"https://oremut.api.civicclerk.com/v1/Meetings/GetMeetingFileStream(fileId=108,plainText=false)",2026-07-05,text,civicclerk_odata,raw/2021-11-03/PlanningCommission_e30_agenda.pdf,30,0.112,yes
2021-11-03,Planning Commission Meeting,PlanningCommission,Planning Commission Meeting,agenda_packet,"https://oremut.api.civicclerk.com/v1/Meetings/GetMeetingFileStream(fileId=110,plainText=false)",,na,civicclerk_odata,,30,26.441,no
2021-11-16,City Council Meeting,Council,City Council Meeting,agenda,"https://oremut.api.civicclerk.com/v1/Meetings/GetMeetingFileStream(fileId=114,plainText=false)",2026-07-05,text,civicclerk_odata,raw/2021-11-16/Council_e63_agenda.pdf,63,0.093,yes
2021-11-16,City Council Meeting,Council,City Council Meeting,agenda_packet,"https://oremut.api.civicclerk.com/v1/Meetings/GetMeetingFileStream(fileId=116,plainText=false)",,na,civicclerk_odata,,63,0.303,no
2021-11-18,One Time Event,Council,One Time Event,agenda,"https://oremut.api.civicclerk.com/v1/Meetings/GetMeetingFileStream(fileId=117,plainText=false)",2026-07-05,text,civicclerk_odata,raw/2021-11-18/Council_e94_agenda.pdf,94,0.073,yes
2021-11-23,City Council Meeting,Council,City Council Meeting,agenda,"https://oremut.api.civicclerk.com/v1/Meetings/GetMeetingFileStream(fileId=123,plainText=false)",2026-07-05,text,civicclerk_odata,raw/2021-11-23/Council_e81_agenda.pdf,81,0.122,yes
2021-11-23,City Council Meeting,Council,City Council Meeting,agenda_packet,"https://oremut.api.civicclerk.com/v1/Meetings/GetMeetingFileStream(fileId=124,plainText=false)",,na,civicclerk_odata,,81,13.238,no
2021-12-08,Planning Commission Meeting,PlanningCommission,Planning Commission Meeting,agenda,"https://oremut.api.civicclerk.com/v1/Meetings/GetMeetingFileStream(fileId=125,plainText=false)",2026-07-05,text,civicclerk_odata,raw/2021-12-08/PlanningCommission_e78_agenda.pdf,78,0.113,yes
2021-12-08,Planning Commission Meeting,PlanningCommission,Planning Commission Meeting,agenda_packet,"https://oremut.api.civicclerk.com/v1/Meetings/GetMeetingFileStream(fileId=127,plainText=false)",,na,civicclerk_odata,,78,55.371,no
2021-12-14,City Council Meeting,Council,City Council Meeting,agenda,"https://oremut.api.civicclerk.com/v1/Meetings/GetMeetingFileStream(fileId=131,plainText=false)",2026-07-05,text,civicclerk_odata,raw/2021-12-14/Council_e7_agenda.pdf,7,0.134,yes
2021-12-14,City Council Meeting,Council,City Council Meeting,agenda_packet,"https://oremut.api.civicclerk.com/v1/Meetings/GetMeetingFileStream(fileId=133,plainText=false)",,na,civicclerk_odata,,7,26.518,no
2022-01-04,Special City Council Meeting,Council,Special City Council Meeting,agenda,"https://oremut.api.civicclerk.com/v1/Meetings/GetMeetingFileStream(fileId=141,plainText=false)",2026-07-05,text,civicclerk_odata,raw/2022-01-04/Council_e184_agenda.pdf,184,0.205,yes
2022-01-07,City Council Retreat,Council,City Council Retreat,agenda,"https://oremut.api.civicclerk.com/v1/Meetings/GetMeetingFileStream(fileId=139,plainText=false)",2026-07-05,text,civicclerk_odata,raw/2022-01-07/Council_e183_agenda.pdf,183,0.203,yes
2022-01-11,City Council Regular Session,Council,City Council Regular Session,agenda,"https://oremut.api.civicclerk.com/v1/Meetings/GetMeetingFileStream(fileId=158,plainText=false)",2026-07-05,text,civicclerk_odata,raw/2022-01-11/Council_e83_agenda.pdf,83,0.107,yes
2022-01-11,City Council Regular Session,Council,City Council Regular Session,agenda_packet,"https://oremut.api.civicclerk.com/v1/Meetings/GetMeetingFileStream(fileId=159,plainText=false)",,na,civicclerk_odata,,83,0.865,no
2022-01-11,City Council Work Session,Council,City Council Work Session,agenda,"https://oremut.api.civicclerk.com/v1/Meetings/GetMeetingFileStream(fileId=156,plainText=false)",2026-07-05,text,civicclerk_odata,raw/2022-01-11/Council_e186_agenda.pdf,186,0.107,yes
2022-01-11,City Council Work Session,Council,City Council Work Session,agenda_packet,"https://oremut.api.civicclerk.com/v1/Meetings/GetMeetingFileStream(fileId=157,plainText=false)",,na,civicclerk_odata,,186,0.246,no
2022-01-19,Planning Commission Meeting,PlanningCommission,Planning Commission Meeting,agenda,"https://oremut.api.civicclerk.com/v1/Meetings/GetMeetingFileStream(fileId=161,plainText=false)",2026-07-05,text,civicclerk_odata,raw/2022-01-19/PlanningCommission_e119_agenda.pdf,119,0.113,yes
2022-01-19,Planning Commission Meeting,PlanningCommission,Planning Commission Meeting,agenda_packet,"https://oremut.api.civicclerk.com/v1/Meetings/GetMeetingFileStream(fileId=165,plainText=false)",,na,civicclerk_odata,,119,23.548,no
2022-01-25,City Council Meeting,Council,City Council Meeting,agenda,"https://oremut.api.civicclerk.com/v1/Meetings/GetMeetingFileStream(fileId=178,plainText=false)",2026-07-05,text,civicclerk_odata,raw/2022-01-25/Council_e169_agenda.pdf,169,0.118,yes
2022-01-25,City Council Meeting,Council,City Council Meeting,agenda_packet,"https://oremut.api.civicclerk.com/v1/Meetings/GetMeetingFileStream(fileId=179,plainText=false)",,na,civicclerk_odata,,169,2.094,no
2022-02-02,Planning Commission Meeting,PlanningCommission,Planning Commission Meeting,agenda,"https://oremut.api.civicclerk.com/v1/Meetings/GetMeetingFileStream(fileId=187,plainText=false)",2026-07-05,text,civicclerk_odata,raw/2022-02-02/PlanningCommission_e95_agenda.pdf,95,0.099,yes
2022-02-02,Planning Commission Meeting,PlanningCommission,Planning Commission Meeting,agenda_packet,"https://oremut.api.civicclerk.com/v1/Meetings/GetMeetingFileStream(fileId=188,plainText=false)",,na,civicclerk_odata,,95,38.778,no
2022-02-08,City Council Meeting,Council,City Council Meeting,agenda,"https://oremut.api.civicclerk.com/v1/Meetings/GetMeetingFileStream(fileId=193,plainText=false)",2026-07-05,text,civicclerk_odata,raw/2022-02-08/Council_e84_agenda.pdf,84,0.118,yes
2022-02-08,City Council Meeting,Council,City Council Meeting,agenda_packet,"https://oremut.api.civicclerk.com/v1/Meetings/GetMeetingFileStream(fileId=194,plainText=false)",,na,civicclerk_odata,,84,11.431,no
2022-02-16,Planning Commission Meeting,PlanningCommission,Planning Commission Meeting,agenda,"https://oremut.api.civicclerk.com/v1/Meetings/GetMeetingFileStream(fileId=200,plainText=false)",2026-07-05,text,civicclerk_odata,raw/2022-02-16/PlanningCommission_e106_agenda.pdf,106,0.098,yes
2022-02-16,Planning Commission Meeting,PlanningCommission,Planning Commission Meeting,agenda_packet,"https://oremut.api.civicclerk.com/v1/Meetings/GetMeetingFileStream(fileId=201,plainText=false)",,na,civicclerk_odata,,106,30.418,no
