date,title,body,meeting_type,packet_kind,source_url,retrieved_date,format,extraction_method,path,doc_type_code,meeting_id,content_length_bytes,size_mb,size_source,stored_locally,probe_status
2020-01-07,Council Regular Meeting,Council,regular,full_packet,https://agendas.provo.gov/Documents/DownloadFileBytes/Council_Meeting_1913_Agenda_Packet_1_7_2020_5_30_00_PM.pdf?documentType=5&meetingId=1913,2026-07-03,na,"not_retrieved (index-only; fetch source_url with session cookie+Referer, use vision/OCR)",,5,1913,,,unknown_chunked_no_content_length,no,pattern_verified_get_200_pdf; onbase_chunked_no_content_length
2020-01-07,Council Work Session,Council,work,full_packet,https://agendas.provo.gov/Documents/DownloadFileBytes/Work_Meeting_1912_Agenda_Packet_1_7_2020_1_00_00_PM.pdf?documentType=5&meetingId=1912,2026-07-03,na,"not_retrieved (index-only; fetch source_url with session cookie+Referer, use vision/OCR)",,5,1912,,,unknown_chunked_no_content_length,no,pattern_verified_get_200_pdf; onbase_chunked_no_content_length
2020-01-21,Council Regular Meeting,Council,regular,full_packet,https://agendas.provo.gov/Documents/DownloadFileBytes/Council_Meeting_1950_Agenda_Packet_1_21_2020_5_30_00_PM.pdf?documentType=5&meetingId=1950,2026-07-03,na,"not_retrieved (index-only; fetch source_url with session cookie+Referer, use vision/OCR)",,5,1950,,,unknown_chunked_no_content_length,no,pattern_verified_get_200_pdf; onbase_chunked_no_content_length
2020-01-21,Council Work Session,Council,work,full_packet,https://agendas.provo.gov/Documents/DownloadFileBytes/Work_Meeting_1926_Agenda_Packet_1_21_2020_1_00_00_PM.pdf?documentType=5&meetingId=1926,2026-07-03,na,"not_retrieved (index-only; fetch source_url with session cookie+Referer, use vision/OCR)",,5,1926,,,unknown_chunked_no_content_length,no,pattern_verified_get_200_pdf; onbase_chunked_no_content_length
2020-02-04,Council Regular Meeting,Council,regular,full_packet,https://agendas.provo.gov/Documents/DownloadFileBytes/Council_Meeting_1939_Agenda_Packet_2_4_2020_5_30_00_PM.pdf?documentType=5&meetingId=1939,2026-07-03,na,"not_retrieved (index-only; fetch source_url with session cookie+Referer, use vision/OCR)",,5,1939,,,unknown_chunked_no_content_length,no,pattern_verified_get_200_pdf; onbase_chunked_no_content_length
2020-02-04,Council Work Session,Council,work,full_packet,https://agendas.provo.gov/Documents/DownloadFileBytes/Work_Meeting_1915_Agenda_Packet_2_4_2020_1_30_00_PM.pdf?documentType=5&meetingId=1915,2026-07-03,na,"not_retrieved (index-only; fetch source_url with session cookie+Referer, use vision/OCR)",,5,1915,,,unknown_chunked_no_content_length,no,pattern_verified_get_200_pdf; onbase_chunked_no_content_length
2020-02-18,Council Regular Meeting,Council,regular,full_packet,https://agendas.provo.gov/Documents/DownloadFileBytes/Council_Meeting_1951_Agenda_Packet_2_18_2020_5_30_00_PM.pdf?documentType=5&meetingId=1951,2026-07-03,na,"not_retrieved (index-only; fetch source_url with session cookie+Referer, use vision/OCR)",,5,1951,24217969,24.22,measured_on_disk_public_comments_harvest,no,pattern_verified_get_200_pdf; onbase_chunked_no_content_length
2020-02-18,Council Work Session,Council,work,full_packet,https://agendas.provo.gov/Documents/DownloadFileBytes/Work_Meeting_1927_Agenda_Packet_2_18_2020_1_00_00_PM.pdf?documentType=5&meetingId=1927,2026-07-03,na,"not_retrieved (index-only; fetch source_url with session cookie+Referer, use vision/OCR)",,5,1927,,,unknown_chunked_no_content_length,no,pattern_verified_get_200_pdf; onbase_chunked_no_content_length
2020-03-10,Council Regular Meeting,Council,regular,full_packet,https://agendas.provo.gov/Documents/DownloadFileBytes/Council_Meeting_1940_Agenda_Packet_3_10_2020_5_30_00_PM.pdf?documentType=5&meetingId=1940,2026-07-03,na,"not_retrieved (index-only; fetch source_url with session cookie+Referer, use vision/OCR)",,5,1940,,,unknown_chunked_no_content_length,no,pattern_verified_get_200_pdf; onbase_chunked_no_content_length
2020-03-10,Council Work Session,Council,work,full_packet,https://agendas.provo.gov/Documents/DownloadFileBytes/Work_Meeting_1916_Agenda_Packet_3_10_2020_12_00_00_PM.pdf?documentType=5&meetingId=1916,2026-07-03,na,"not_retrieved (index-only; fetch source_url with session cookie+Referer, use vision/OCR)",,5,1916,,,unknown_chunked_no_content_length,no,pattern_verified_get_200_pdf; onbase_chunked_no_content_length
2020-03-31,Council Regular Meeting,Council,regular,full_packet,https://agendas.provo.gov/Documents/DownloadFileBytes/Council_Meeting_1952_Agenda_Packet_3_31_2020_5_30_00_PM.pdf?documentType=5&meetingId=1952,2026-07-03,na,"not_retrieved (index-only; fetch source_url with session cookie+Referer, use vision/OCR)",,5,1952,,,unknown_chunked_no_content_length,no,pattern_verified_get_200_pdf; onbase_chunked_no_content_length
2020-03-31,Council Work Session,Council,work,full_packet,https://agendas.provo.gov/Documents/DownloadFileBytes/Work_Meeting_1928_Agenda_Packet_3_31_2020_12_00_00_PM.pdf?documentType=5&meetingId=1928,2026-07-03,na,"not_retrieved (index-only; fetch source_url with session cookie+Referer, use vision/OCR)",,5,1928,,,unknown_chunked_no_content_length,no,pattern_verified_get_200_pdf; onbase_chunked_no_content_length
2020-04-07,Budget Retreat,Council,special,full_packet,https://agendas.provo.gov/Documents/DownloadFileBytes/Budget_Retreat_1967_Agenda_Packet_4_7_2020_2_00_00_PM.pdf?documentType=5&meetingId=1967,2026-07-03,na,"not_retrieved (index-only; fetch source_url with session cookie+Referer, use vision/OCR)",,5,1967,,,unknown_chunked_no_content_length,no,pattern_verified_get_200_pdf; onbase_chunked_no_content_length
2020-04-14,Council Regular Meeting,Council,regular,full_packet,https://agendas.provo.gov/Documents/DownloadFileBytes/Council_Meeting_1941_Agenda_Packet_4_14_2020_5_30_00_PM.pdf?documentType=5&meetingId=1941,2026-07-03,na,"not_retrieved (index-only; fetch source_url with session cookie+Referer, use vision/OCR)",,5,1941,,,unknown_chunked_no_content_length,no,pattern_verified_get_200_pdf; onbase_chunked_no_content_length
