person_id,full_name,name_key
1,Alder,alder
2,Audrey Pierce,audreypierce
3,Brint Peel,brintpeel
4,Collard,collard
5,Cripps,cripps
6,Dan Peay,danpeay
7,Elieson,elieson
8,Eric Barney,ericbarney
9,Eric Ferguson,ericferguson
10,Larson,larson
11,Lockwood,lockwood
12,Megan Olsen,meganolsen
13,Michael Jensen,michaeljensen
14,Mick Sudbury,micksudbury
15,Richards,richards
16,Shaw,shaw
17,Steve Prokopis,steveprokopis
18,Sudbury,sudbury
19,Taylor,taylor
20,Terry George,terrygeorge
21,Trish Hull,trishhull
22,VanRoosendaal,vanroosendaal
23,Weight,weight
24,White,white
