role_id,person_id,body_id,first_seen,last_seen,n_votes
1,2,1,2025-02-11,2025-05-13,7
2,2,2,2019-10-22,2026-05-26,64
3,3,2,2020-02-11,2020-02-11,1
4,5,3,2022-10-13,2025-08-14,3
5,6,2,2020-07-14,2023-04-25,4
6,8,2,2022-01-11,2025-06-10,17
7,13,2,2026-04-30,2026-04-30,2
8,14,2,2024-06-25,2025-06-10,11
9,15,3,2020-05-14,2021-11-18,5
10,17,1,2025-06-10,2025-06-10,3
11,17,2,2019-07-09,2025-06-10,32
12,18,3,2019-03-14,2019-03-14,1
13,21,1,2025-12-09,2025-12-09,1
14,21,2,2018-09-18,2025-07-30,14
15,22,3,2022-09-08,2024-07-11,4
16,23,3,2020-06-11,2026-03-12,5
