ordinance_no,adoption_date,date,title,source_url,retrieved_date,format,extraction_method,path,land_use,result,matched_motion_date,matched_motion_no,match_confidence,pmn_notice_id,pmn_notice_url,pmn_event_date,adoption_date_source,linkage_note
O21-10,2021-04-20,2021-04-20,Ordinance Adoption O21-10,https://www.utah.gov/pmn/files/715639.pdf,2026-07-13,scanned,tesseract 5 OCR @300dpi (200dpi CCITT scanned PDF),raw/O21-10_n675269_f715639.pdf,no,Motion passed 5-0,2021-04-20,3,medium,675269,https://www.utah.gov/pmn/sitemap/notice/675269.html,2021-05-07,pdf+calendar,
O21-11,2021-04-20,2021-04-20,Ordinance Adoption - O21-11,https://www.utah.gov/pmn/files/715643.pdf,2026-07-13,scanned,tesseract 5 OCR @300dpi (200dpi CCITT scanned PDF),raw/O21-11_n675275_f715643.pdf,yes,Motion passed 5-0,2021-04-20,4,medium,675275,https://www.utah.gov/pmn/sitemap/notice/675275.html,2021-05-07,pdf+calendar,
O21-12,2021-06-01,2021-06-01,Ordinance Adoption - O21-12,https://www.utah.gov/pmn/files/732351.pdf,2026-07-13,scanned,tesseract 5 OCR @300dpi (200dpi CCITT scanned PDF),raw/O21-12_n685871_f732351.pdf,no,Motion passed 4-0,2021-06-01,1,medium,685871,https://www.utah.gov/pmn/sitemap/notice/685871.html,2021-06-01,pdf+calendar,
O21-13,2021-06-01,2021-06-01,Ordinance Adoption - O21-13,https://www.utah.gov/pmn/files/732353.pdf,2026-07-13,scanned,tesseract 5 OCR @300dpi (200dpi CCITT scanned PDF),raw/O21-13_n685873_f732353.pdf,no,,2021-06-01,,low,685873,https://www.utah.gov/pmn/sitemap/notice/685873.html,2021-06-01,pdf+calendar,
O21-14,2021-06-15,2021-06-15,Ordinance Adoption - O21-14,https://www.utah.gov/pmn/files/732281.pdf,2026-07-13,scanned,tesseract 5 OCR @300dpi (200dpi CCITT scanned PDF),raw/O21-14_n685799_f732281.pdf,yes,Motion passed 4-0,2021-06-15,3,medium,685799,https://www.utah.gov/pmn/sitemap/notice/685799.html,2021-06-15,pdf+calendar,
O21-15,2021-06-15,2021-06-15,Ordinance Adoption - O21-15,https://www.utah.gov/pmn/files/733873.pdf,2026-07-13,scanned,tesseract 5 OCR @300dpi (200dpi CCITT scanned PDF),raw/O21-15_n685801_f733873.pdf,no,Motion passed 4-0,2021-06-15,4,medium,685801,https://www.utah.gov/pmn/sitemap/notice/685801.html,2021-06-15,pdf+calendar,
O21-16,2021-06-15,2021-06-15,Ordinance Adoption - O21-16,https://www.utah.gov/pmn/files/732285.pdf,2026-07-13,scanned,tesseract 5 OCR @300dpi (200dpi CCITT scanned PDF),raw/O21-16_n685803_f732285.pdf,yes,Motion passed 3-1,2021-06-15,5,medium,685803,https://www.utah.gov/pmn/sitemap/notice/685803.html,2021-06-15,pdf+calendar,
O21-17,2021-06-15,2021-06-15,Ordinance Adoption - O21-17,https://www.utah.gov/pmn/files/732287.pdf,2026-07-13,scanned,tesseract 5 OCR @300dpi (200dpi CCITT scanned PDF),raw/O21-17_n685805_f732287.pdf,yes,Motion passed 4-0,2021-06-15,6,medium,685805,https://www.utah.gov/pmn/sitemap/notice/685805.html,2021-06-15,pdf+calendar,
O21-18,2021-06-15,2021-06-15,Ordinance Adoption - O21-18,https://www.utah.gov/pmn/files/732289.pdf,2026-07-13,scanned,tesseract 5 OCR @300dpi (200dpi CCITT scanned PDF),raw/O21-18_n685807_f732289.pdf,no,Motion passed 4-0,2021-06-15,7,medium,685807,https://www.utah.gov/pmn/sitemap/notice/685807.html,2021-06-15,pdf+calendar,
O21-19,2021-07-06,2021-07-06,O21-19 Height of Residential Zone Accessory Structure,https://www.utah.gov/pmn/files/738633.pdf,2026-07-13,scanned,tesseract 5 OCR @300dpi (200dpi CCITT scanned PDF),raw/O21-19_n689683_f738633.pdf,yes,Motion passed 4-1,2021-07-06,3,medium,689683,https://www.utah.gov/pmn/sitemap/notice/689683.html,2021-07-09,pdf+calendar,
O21-20,2021-07-06,2021-07-06,O21-20,https://www.utah.gov/pmn/files/738635.pdf,2026-07-13,scanned,tesseract 5 OCR @300dpi (200dpi CCITT scanned PDF),raw/O21-20_n689685_f738635.pdf,yes,Motion passed 5-0,2021-07-06,4,medium,689685,https://www.utah.gov/pmn/sitemap/notice/689685.html,2021-07-09,pdf+calendar,
O21-21,2021-07-20,2021-07-20,O21-21 Mixed Use Zones,https://www.utah.gov/pmn/files/745525.pdf,2026-07-13,scanned,tesseract 5 OCR @300dpi (200dpi CCITT scanned PDF),raw/O21-21_n694201_f745525.pdf,yes,Motion passed 5-0,2021-07-20,1,medium,694201,https://www.utah.gov/pmn/sitemap/notice/694201.html,2021-07-20,pdf+calendar,
O21-22,2021-08-24,2021-08-24,O21-22 Geothermal Wells in Recharge Areas and Protection Zones,https://www.utah.gov/pmn/files/753667.pdf,2026-07-13,scanned,tesseract 5 OCR @300dpi (200dpi CCITT scanned PDF),raw/O21-22_n699151_f753667.pdf,yes,Motion passed 5-0,2021-08-24,4,medium,699151,https://www.utah.gov/pmn/sitemap/notice/699151.html,2021-08-24,pdf+calendar,
O21-23,2021-09-07,2021-09-07,O21-23 Fiscal Year 2021-22 Budget Amendment,https://www.utah.gov/pmn/files/762314.pdf,2026-07-13,scanned,tesseract 5 OCR @300dpi (200dpi CCITT scanned PDF),raw/O21-23_n704492_f762314.pdf,no,,2021-09-07,,low,704492,https://www.utah.gov/pmn/sitemap/notice/704492.html,2021-09-21,pdf+calendar,
O21-24,2021-09-21,2021-09-21,O21-24 Temporary Signs,https://www.utah.gov/pmn/files/764961.pdf,2026-07-13,scanned,tesseract 5 OCR @300dpi (200dpi CCITT scanned PDF),raw/O21-24_n705895_f764961.pdf,yes,Motion passed 5-0,2021-09-21,2,medium,705895,https://www.utah.gov/pmn/sitemap/notice/705895.html,2021-09-21,pdf+calendar,
