ordinance_no,adoption_date,motion_no,evidence,reason,checked_date
,2020-01-07,3,council minutes motion (Motion passed 5-0),adopted per minutes; ordinance number+text never published (pre-dates PMN body 7321; CivicPlus AMID=95 archive publicly empty),2026-07-13
,2020-01-07,4,council minutes motion (Motion passed 5-0),adopted per minutes; ordinance number+text never published (pre-dates PMN body 7321; CivicPlus AMID=95 archive publicly empty),2026-07-13
,2020-01-07,5,council minutes motion (Motion passed 5-0),adopted per minutes; ordinance number+text never published (pre-dates PMN body 7321; CivicPlus AMID=95 archive publicly empty),2026-07-13
,2020-01-21,3,council minutes motion (Motion passed 5-0),adopted per minutes; ordinance number+text never published (pre-dates PMN body 7321; CivicPlus AMID=95 archive publicly empty),2026-07-13
,2020-01-21,7,council minutes motion (Motion passed 5-0),adopted per minutes; ordinance number+text never published (pre-dates PMN body 7321; CivicPlus AMID=95 archive publicly empty),2026-07-13
,2020-02-18,2,council minutes motion (Motion passed 5-0),adopted per minutes; ordinance number+text never published (pre-dates PMN body 7321; CivicPlus AMID=95 archive publicly empty),2026-07-13
,2020-03-03,3,council minutes motion (Motion passed 4-0),adopted per minutes; ordinance number+text never published (pre-dates PMN body 7321; CivicPlus AMID=95 archive publicly empty),2026-07-13
,2020-03-03,4,council minutes motion (Motion passed 4-0),adopted per minutes; ordinance number+text never published (pre-dates PMN body 7321; CivicPlus AMID=95 archive publicly empty),2026-07-13
,2020-03-03,6,council minutes motion (Motion passed 4-0),adopted per minutes; ordinance number+text never published (pre-dates PMN body 7321; CivicPlus AMID=95 archive publicly empty),2026-07-13
,2020-03-17,3,council minutes motion (Motion passed 5-0),adopted per minutes; ordinance number+text never published (pre-dates PMN body 7321; CivicPlus AMID=95 archive publicly empty),2026-07-13
,2020-03-17,4,council minutes motion (Motion passed 5-0),adopted per minutes; ordinance number+text never published (pre-dates PMN body 7321; CivicPlus AMID=95 archive publicly empty),2026-07-13
,2020-03-17,5,council minutes motion (Motion passed 5-0),adopted per minutes; ordinance number+text never published (pre-dates PMN body 7321; CivicPlus AMID=95 archive publicly empty),2026-07-13
,2020-03-17,7,council minutes motion (Motion passed 5-0),adopted per minutes; ordinance number+text never published (pre-dates PMN body 7321; CivicPlus AMID=95 archive publicly empty),2026-07-13
,2020-04-21,6,council minutes motion (Motion passed 5-0),adopted per minutes; ordinance number+text never published (pre-dates PMN body 7321; CivicPlus AMID=95 archive publicly empty),2026-07-13
,2020-05-19,3,council minutes motion (Motion passed 5-0),adopted per minutes; ordinance number+text never published (pre-dates PMN body 7321; CivicPlus AMID=95 archive publicly empty),2026-07-13
,2020-05-19,4,council minutes motion (Motion passed 5-0),adopted per minutes; ordinance number+text never published (pre-dates PMN body 7321; CivicPlus AMID=95 archive publicly empty),2026-07-13
,2020-05-19,5,council minutes motion (Motion passed 5-0),adopted per minutes; ordinance number+text never published (pre-dates PMN body 7321; CivicPlus AMID=95 archive publicly empty),2026-07-13
,2020-05-19,6,council minutes motion (Motion passed 5-0),adopted per minutes; ordinance number+text never published (pre-dates PMN body 7321; CivicPlus AMID=95 archive publicly empty),2026-07-13
,2020-05-19,8,council minutes motion (Motion passed 5-0),adopted per minutes; ordinance number+text never published (pre-dates PMN body 7321; CivicPlus AMID=95 archive publicly empty),2026-07-13
,2020-06-02,3,council minutes motion (Motion passed 5-0),adopted per minutes; ordinance number+text never published (pre-dates PMN body 7321; CivicPlus AMID=95 archive publicly empty),2026-07-13
,2020-06-02,4,council minutes motion (Motion passed 5-0),adopted per minutes; ordinance number+text never published (pre-dates PMN body 7321; CivicPlus AMID=95 archive publicly empty),2026-07-13
,2020-06-02,5,council minutes motion (Motion passed 5-0),adopted per minutes; ordinance number+text never published (pre-dates PMN body 7321; CivicPlus AMID=95 archive publicly empty),2026-07-13
