date,reason,agenda_url
2017-01-05,Township council meeting held; PMN Meeting-Minutes attachment exists but the file 404s (pre-~2019 PMN blob purge); Streamline holds only the agenda,https://whitecity.utah.gov/files/84a8102ef/01-05-2017_white_city_public_meeting.pdf
2017-02-02,Township council meeting held; PMN Meeting-Minutes attachment exists but the file 404s (pre-~2019 PMN blob purge); Streamline holds only the agenda,https://whitecity.utah.gov/files/6d2d7cb2b/02-02-2017_white_city_public_meeting.pdf
2017-02-22,Township council meeting held; PMN Meeting-Minutes attachment exists but the file 404s (pre-~2019 PMN blob purge); Streamline holds only the agenda,https://whitecity.utah.gov/files/43f8923bd/02-22-2017_special_meeting.pdf
2017-03-02,Township council meeting held (PMN notice); Meeting-Minutes attachment exists but the file 404s (pre-~2019 PMN blob purge); no Streamline agenda for this date,https://www.utah.gov/pmn/sitemap/notice/373159.html
2017-03-23,Township council meeting held; PMN Meeting-Minutes attachment exists but the file 404s (pre-~2019 PMN blob purge); Streamline holds only the agenda,https://whitecity.utah.gov/files/d12bf0e88/03-23-2017_white_city_special_meeting.pdf
2017-04-06,Township council meeting held (PMN notice); Meeting-Minutes attachment exists but the file 404s (pre-~2019 PMN blob purge); no Streamline agenda for this date,https://www.utah.gov/pmn/sitemap/notice/387303.html
2017-05-04,Township council meeting held (PMN notice); Meeting-Minutes attachment exists but the file 404s (pre-~2019 PMN blob purge); no Streamline agenda for this date,https://www.utah.gov/pmn/sitemap/notice/393015.html
2017-06-01,Township council meeting held (PMN notice); Meeting-Minutes attachment exists but the file 404s (pre-~2019 PMN blob purge); no Streamline agenda for this date,https://www.utah.gov/pmn/sitemap/notice/398359.html
2017-06-23,Township council meeting held (PMN notice); Meeting-Minutes attachment exists but the file 404s (pre-~2019 PMN blob purge); no Streamline agenda for this date,https://www.utah.gov/pmn/sitemap/notice/403161.html
2017-07-06,Township council meeting held (PMN notice); Meeting-Minutes attachment exists but the file 404s (pre-~2019 PMN blob purge); no Streamline agenda for this date,https://www.utah.gov/pmn/sitemap/notice/404979.html
2017-07-13,Township council meeting held (PMN notice); Meeting-Minutes attachment exists but the file 404s (pre-~2019 PMN blob purge); no Streamline agenda for this date,https://www.utah.gov/pmn/sitemap/notice/406221.html
2017-07-27,Township council meeting held (PMN notice); Meeting-Minutes attachment exists but the file 404s (pre-~2019 PMN blob purge); no Streamline agenda for this date,https://www.utah.gov/pmn/sitemap/notice/408616.html
2017-08-03,Township council meeting held (PMN notice); Meeting-Minutes attachment exists but the file 404s (pre-~2019 PMN blob purge); no Streamline agenda for this date,https://www.utah.gov/pmn/sitemap/notice/409209.html
2017-09-07,Township council meeting held (PMN notice); Meeting-Minutes attachment exists but the file 404s (pre-~2019 PMN blob purge); no Streamline agenda for this date,https://www.utah.gov/pmn/sitemap/notice/415753.html
2017-10-05,Township council meeting held (PMN notice); Meeting-Minutes attachment exists but the file 404s (pre-~2019 PMN blob purge); no Streamline agenda for this date,https://www.utah.gov/pmn/sitemap/notice/420497.html
2017-11-09,Township council meeting held (PMN notice); Meeting-Minutes attachment exists but the file 404s (pre-~2019 PMN blob purge); no Streamline agenda for this date,https://www.utah.gov/pmn/sitemap/notice/427809.html
2017-12-14,Township council meeting held (PMN notice); Meeting-Minutes attachment exists but the file 404s (pre-~2019 PMN blob purge); no Streamline agenda for this date,https://www.utah.gov/pmn/sitemap/notice/434199.html
2017-12-28,Township council meeting held; PMN Meeting-Minutes attachment exists but the file 404s (pre-~2019 PMN blob purge); Streamline holds only the agenda,https://whitecity.utah.gov/files/c8a795c03/12-28-2017_special_meeting.pdf
2018-02-01,Township council meeting held (PMN notice); Meeting-Minutes attachment exists but the file 404s (pre-~2019 PMN blob purge); no Streamline agenda for this date,https://www.utah.gov/pmn/sitemap/notice/449087.html
2018-09-06,Township council meeting held (PMN notice); Meeting-Minutes attachment exists but the file 404s (pre-~2019 PMN blob purge); no Streamline agenda for this date,https://www.utah.gov/pmn/sitemap/notice/484693.html
