member,role,first_seen,last_seen,n_meetings
Allan Perry,Council at-large 2018-2025 -> elected Mayor 2026+ (voting),2018-01-04,2026-06-04,73
Cody Cutler,Council (at-large),2018-01-04,2019-12-05,12
Kay Dickerson,Council (at-large),2018-01-04,2021-06-03,31
Linda Price,Council (at-large),2018-01-04,2026-06-04,93
Paulina Flint,"Chair/'Mayor' (voting), township era 2018-2025",2018-03-01,2025-05-01,15
Scott Little,Council (at-large),2020-01-02,2022-09-01,27
Phillip Cardenaz,Council (at-large),2021-08-05,2025-12-04,55
Greg Shelton,Council (at-large),2023-01-05,2026-06-04,43
Tyler Huish,Council (at-large),2024-01-04,2026-06-04,32
Neil Mahoney,Council at-large 2026+ (Mayor Pro-Tem),2026-01-08,2026-06-04,6
