session,bill_no,title,sponsor,relevance,status,last_location,effective_date,chapter,n_rollcalls,n_recorded,bill_url,text_url,enrolled_url
2015GS,HB0042,Annexation Amendments,"Rep. Westwood, J.",annexation,Governor Signed,Lieutenant Governor's office for filing,1 Apr 2015,462,9,5,https://le.utah.gov/~2015/bills/static/HB0042.html,https://le.utah.gov/~2015/bills/hbillint/HB0042.htm,https://le.utah.gov/~2015/bills/hbillenr/HB0042.htm
2015GS,HB0055,Repeal of Methamphetamine Housing Reconstruction and Rehabilitation Account,"Rep. Redd, E.",housing,Governor Signed,Lieutenant Governor's office for filing,12 May 2015,104,5,3,https://le.utah.gov/~2015/bills/static/HB0055.html,https://le.utah.gov/~2015/bills/hbillint/HB0055.htm,https://le.utah.gov/~2015/bills/hbillenr/HB0055.htm
2015GS,HB0087,Enterprise Zone Amendments,"Rep. Sandall, S.",zoning,House/ filed,House file for bills not passed,,,2,2,https://le.utah.gov/~2015/bills/static/HB0087.html,https://le.utah.gov/~2015/bills/hbillint/HB0087.htm,https://le.utah.gov/~2015/bills/hbillenr/HB0087.htm
2015GS,HB0127,Local Land Use Amendments,"Rep. Peterson, J.",land_use,Governor Signed,Lieutenant Governor's office for filing,12 May 2015,205,5,3,https://le.utah.gov/~2015/bills/static/HB0127.html,https://le.utah.gov/~2015/bills/hbillint/HB0127.htm,https://le.utah.gov/~2015/bills/hbillenr/HB0127.htm
2015GS,HB0245,Incorporation Process for Cities and Towns,"Rep. Brown, M.",incorporation,Governor Signed,Lieutenant Governor's office for filing,12 May 2015,157,2,2,https://le.utah.gov/~2015/bills/static/HB0245.html,https://le.utah.gov/~2015/bills/hbillint/HB0245.htm,https://le.utah.gov/~2015/bills/hbillenr/HB0245.htm
2015GS,HB0285,Building Code Review and Adoption Amendments,"Rep. Wilson, B.",building,House/ filed,House file for bills not passed,,,3,2,https://le.utah.gov/~2015/bills/static/HB0285.html,https://le.utah.gov/~2015/bills/hbillint/HB0285.htm,https://le.utah.gov/~2015/bills/hbillenr/HB0285.htm
2015GS,HB0286,Building Code Amendments,"Rep. Cox, F.",building,House/ filed,House file for bills not passed,,,0,0,https://le.utah.gov/~2015/bills/static/HB0286.html,https://le.utah.gov/~2015/bills/hbillint/HB0286.htm,https://le.utah.gov/~2015/bills/hbillenr/HB0286.htm
2015GS,HB0287,Transferable Development Agreements,"Rep. Powell, K.",development,House/ filed,House file for bills not passed,,,0,0,https://le.utah.gov/~2015/bills/static/HB0287.html,https://le.utah.gov/~2015/bills/hbillint/HB0287.htm,https://le.utah.gov/~2015/bills/hbillenr/HB0287.htm
2015GS,HB0315,Building Permit Amendments,"Rep. Schultz, M.",building,House/ filed,House file for bills not passed,,,0,0,https://le.utah.gov/~2015/bills/static/HB0315.html,https://le.utah.gov/~2015/bills/hbillint/HB0315.htm,https://le.utah.gov/~2015/bills/hbillenr/HB0315.htm
2015GS,HB0384,Grazing Zones Amendments,"Rep. Noel, M.",zoning,Governor Signed,Lieutenant Governor's office for filing,12 May 2015,087,3,2,https://le.utah.gov/~2015/bills/static/HB0384.html,https://le.utah.gov/~2015/bills/hbillint/HB0384.htm,https://le.utah.gov/~2015/bills/hbillenr/HB0384.htm
2015GS,HB0393,Energy Zones Amendments,"Rep. Noel, M.",zoning,Governor Signed,Lieutenant Governor's office for filing,23 Mar 2015,088,2,2,https://le.utah.gov/~2015/bills/static/HB0393.html,https://le.utah.gov/~2015/bills/hbillint/HB0393.htm,https://le.utah.gov/~2015/bills/hbillenr/HB0393.htm
2015GS,HB0437,Affordable Housing Modifications,"Rep. Edwards, R.",housing,House/ filed,House file for bills not passed,,,0,0,https://le.utah.gov/~2015/bills/static/HB0437.html,https://le.utah.gov/~2015/bills/hbillint/HB0437.htm,https://le.utah.gov/~2015/bills/hbillenr/HB0437.htm
2015GS,SB0029,School Planning and Zoning Process,"Sen. Vickers, E.","planning,zoning",Governor Signed,Lieutenant Governor's office for filing,12 May 2015,092,3,3,https://le.utah.gov/~2015/bills/static/SB0029.html,https://le.utah.gov/~2015/bills/sbillint/SB0029.htm,https://le.utah.gov/~2015/bills/sbillenr/SB0029.htm
2015GS,SB0055,Community Development and Renewal Agencies Task Force,"Sen. Harper, W.",development,Senate/ filed,Senate file for bills not passed,,,5,2,https://le.utah.gov/~2015/bills/static/SB0055.html,https://le.utah.gov/~2015/bills/sbillint/SB0055.htm,https://le.utah.gov/~2015/bills/sbillenr/SB0055.htm
2015GS,SB0067,Utah Housing Corporation Act Amendments,"Sen. Weiler, T.",housing,Governor Signed,Lieutenant Governor's office for filing,12 May 2015,226,3,3,https://le.utah.gov/~2015/bills/static/SB0067.html,https://le.utah.gov/~2015/bills/sbillint/SB0067.htm,https://le.utah.gov/~2015/bills/sbillenr/SB0067.htm
2015GS,SB0068,Eminent Domain Amendments,"Sen. Hillyard, L.",eminent_domain,Governor Signed,Lieutenant Governor's office for filing,12 May 2015,192,3,3,https://le.utah.gov/~2015/bills/static/SB0068.html,https://le.utah.gov/~2015/bills/sbillint/SB0068.htm,https://le.utah.gov/~2015/bills/sbillenr/SB0068.htm
2015GS,SB0074,Unincorporated Business Entities Related Amendments,"Sen. Hillyard, L.","incorporation,municipal_land",Governor Signed,Lieutenant Governor's office for filing,12 May 2015,227,4,3,https://le.utah.gov/~2015/bills/static/SB0074.html,https://le.utah.gov/~2015/bills/sbillint/SB0074.htm,https://le.utah.gov/~2015/bills/sbillenr/SB0074.htm
2015GS,SB0124,Land Use Amendments,"Sen. Stevenson, J.",land_use,Governor Signed,Lieutenant Governor's office for filing,12 May 2015,327,9,3,https://le.utah.gov/~2015/bills/static/SB0124.html,https://le.utah.gov/~2015/bills/sbillint/SB0124.htm,https://le.utah.gov/~2015/bills/sbillenr/SB0124.htm
2015GS,SB0291,Affordable Housing Amendments,"Sen. Harper, W.",housing,Senate/ filed,Senate file for bills not passed,,,1,0,https://le.utah.gov/~2015/bills/static/SB0291.html,https://le.utah.gov/~2015/bills/sbillint/SB0291.htm,https://le.utah.gov/~2015/bills/sbillenr/SB0291.htm
