rollcall_id,session,bill_no,legislator_verbatim,chamber,district,party,vote_value
3,2015GS,HB0042,"Anderson, Johnny",House,,,Yea
3,2015GS,HB0042,"Arent, P.",House,,,Yea
3,2015GS,HB0042,"Briscoe, J.",House,,,Yea
3,2015GS,HB0042,"Chavez-Houck, R.",House,,,Yea
3,2015GS,HB0042,"Chew, S.",House,,,Yea
3,2015GS,HB0042,"Cox, F.",House,,,Yea
3,2015GS,HB0042,"DiCaro, S.",House,,,Yea
3,2015GS,HB0042,"Draxler, J.",House,,,Yea
3,2015GS,HB0042,"Duckworth, S.",House,,,Yea
3,2015GS,HB0042,"Dunnigan, J.",House,,,Yea
3,2015GS,HB0042,"Edwards, R.",House,,,Yea
3,2015GS,HB0042,"Hall, C.",House,,,Yea
3,2015GS,HB0042,"Hawkes, T.",House,,,Yea
3,2015GS,HB0042,"Hollins, S.",House,,,Yea
3,2015GS,HB0042,"Hutchings, E.",House,,,Yea
3,2015GS,HB0042,"Kennedy, M.",House,,,Yea
3,2015GS,HB0042,"King, Brad",House,,,Yea
3,2015GS,HB0042,"King, Brian S.",House,,,Yea
3,2015GS,HB0042,"Miller, J.",House,,,Yea
3,2015GS,HB0042,"Moss, C.",House,,,Yea
3,2015GS,HB0042,"Peterson, J.",House,,,Yea
3,2015GS,HB0042,"Poulson, M.",House,,,Yea
3,2015GS,HB0042,"Powell, K.",House,,,Yea
3,2015GS,HB0042,"Romero, A.",House,,,Yea
3,2015GS,HB0042,"Thurston, N.",House,,,Yea
3,2015GS,HB0042,"Ward, R.",House,,,Yea
3,2015GS,HB0042,"Wheatley, M.",House,,,Yea
3,2015GS,HB0042,"Anderegg, J.",House,,,Nay
3,2015GS,HB0042,"Barlow, S.",House,,,Nay
3,2015GS,HB0042,"Brown, M.",House,,,Nay
3,2015GS,HB0042,"Christensen, L.",House,,,Nay
3,2015GS,HB0042,"Christofferson, K.",House,,,Nay
3,2015GS,HB0042,"Coleman, K.",House,,,Nay
3,2015GS,HB0042,"Cox, J.",House,,,Nay
3,2015GS,HB0042,"Cunningham, R.",House,,,Nay
3,2015GS,HB0042,"Cutler, B. R.",House,,,Nay
3,2015GS,HB0042,"Daw, B.",House,,,Nay
3,2015GS,HB0042,"Dee, B.",House,,,Nay
3,2015GS,HB0042,"Eliason, S.",House,,,Nay
3,2015GS,HB0042,"Fawson, J.",House,,,Nay
3,2015GS,HB0042,"Froerer, G.",House,,,Nay
3,2015GS,HB0042,"Gibson, F.",House,,,Nay
3,2015GS,HB0042,"Greene, B.",House,,,Nay
3,2015GS,HB0042,"Grover, K.",House,,,Nay
3,2015GS,HB0042,"Handy, S.",House,,,Nay
3,2015GS,HB0042,"Hughes, G.",House,,,Nay
3,2015GS,HB0042,"Ipson, D.",House,,,Nay
3,2015GS,HB0042,"Ivory, K.",House,,,Nay
3,2015GS,HB0042,"Knotwell, J.",House,,,Nay
3,2015GS,HB0042,"Last, B.",House,,,Nay
3,2015GS,HB0042,"Lifferth, D.",House,,,Nay
3,2015GS,HB0042,"McCay, D.",House,,,Nay
3,2015GS,HB0042,"Nelson, M.",House,,,Nay
3,2015GS,HB0042,"Noel, M.",House,,,Nay
3,2015GS,HB0042,"Oda, C.",House,,,Nay
3,2015GS,HB0042,"Perry, L.",House,,,Nay
3,2015GS,HB0042,"Peterson, V.",House,,,Nay
3,2015GS,HB0042,"Pitcher, D.",House,,,Nay
3,2015GS,HB0042,"Ray, P.",House,,,Nay
3,2015GS,HB0042,"Redd, E.",House,,,Nay
3,2015GS,HB0042,"Roberts, M.",House,,,Nay
3,2015GS,HB0042,"Sagers, D.",House,,,Nay
3,2015GS,HB0042,"Sandall, S.",House,,,Nay
3,2015GS,HB0042,"Sanpei, D.",House,,,Nay
3,2015GS,HB0042,"Schultz, M.",House,,,Nay
3,2015GS,HB0042,"Snow, V. L.",House,,,Nay
3,2015GS,HB0042,"Spendlove, R.",House,,,Nay
3,2015GS,HB0042,"Stanard, J.",House,,,Nay
3,2015GS,HB0042,"Stratton, K.",House,,,Nay
3,2015GS,HB0042,"Tanner, E.",House,,,Nay
3,2015GS,HB0042,"Webb, R. C.",House,,,Nay
3,2015GS,HB0042,"Westwood, J.",House,,,Nay
