rollcall_id,session,bill_no,date,chamber,committee,body_name,vote_type,motion_desc,action,result,yeas,nays,absent,recorded,source_url
1,2015GS,HB0042,2/2/2015 (11:37:15 AM),House,,House,floor,House/ circled,House/ circled,,,,,0,https://le.utah.gov/DynaBill/svotes.jsp?sessionid=2015GS&voteid=84&house=H
2,2015GS,HB0042,2/3/2015 (11:46:44 AM),House,,House,floor,House/ uncircled,House/ uncircled,,,,,0,https://le.utah.gov/DynaBill/svotes.jsp?sessionid=2015GS&voteid=96&house=H
3,2015GS,HB0042,2/3/2015 (12:03:13 PM),House,,House,floor,House/ floor amendment,House/ floor amendment failed,Fail,27,46,2,1,https://le.utah.gov/DynaBill/svotes.jsp?sessionid=2015GS&voteid=97&house=H
4,2015GS,HB0042,2/3/2015 (12:06:28 PM),House,,House,floor,Annexation Amendments,House/ passed 3rd reading,Pass,51,22,2,1,https://le.utah.gov/DynaBill/svotes.jsp?sessionid=2015GS&voteid=98&house=H
5,2015GS,HB0042,2/18/2015 (3:54:54 PM),Senate,,Senate,floor,Senate/ circled,Senate/ circled,,,,,0,https://le.utah.gov/DynaBill/svotes.jsp?sessionid=2015GS&voteid=376&house=S
6,2015GS,HB0042,3/5/2015 (11:05:01 AM),Senate,,Senate,floor,Senate/ uncircled,Senate/ uncircled,,,,,0,https://le.utah.gov/DynaBill/svotes.jsp?sessionid=2015GS&voteid=1014&house=S
7,2015GS,HB0042,3/5/2015 (11:07:44 AM),Senate,,Senate,floor,Annexation Amendments,Senate/ passed 2nd reading,Pass,21,0,8,1,https://le.utah.gov/DynaBill/svotes.jsp?sessionid=2015GS&voteid=1015&house=S
8,2015GS,HB0042,3/6/2015 (11:17:24 AM),Senate,,Senate,floor,Annexation Amendments,Senate/ passed 3rd reading,Pass,25,1,3,1,https://le.utah.gov/DynaBill/svotes.jsp?sessionid=2015GS&voteid=1127&house=S
9,2015GS,HB0042,3/9/2015 (10:02:07 AM),House,,House,floor,House/ concurs with Senate amendment,House/ concurs with Senate amendment,Pass,54,17,4,1,https://le.utah.gov/DynaBill/svotes.jsp?sessionid=2015GS&voteid=833&house=H
10,2015GS,HB0055,2/6/2015 (12:03:57 PM),House,,House,floor,Substitute 1,House/ passed 3rd reading,Pass,71,0,4,1,https://le.utah.gov/DynaBill/svotes.jsp?sessionid=2015GS&voteid=135&house=H
11,2015GS,HB0055,2/18/2015 (3:40:07 PM),Senate,,Senate,floor,Senate/ circled,Senate/ circled,,,,,0,https://le.utah.gov/DynaBill/svotes.jsp?sessionid=2015GS&voteid=368&house=S
12,2015GS,HB0055,2/18/2015 (3:47:35 PM),Senate,,Senate,floor,Senate/ uncircled,Senate/ uncircled,,,,,0,https://le.utah.gov/DynaBill/svotes.jsp?sessionid=2015GS&voteid=372&house=S
13,2015GS,HB0055,2/18/2015 (3:50:20 PM),Senate,,Senate,floor,Substitute 1,Senate/ passed 2nd reading,Pass,26,0,3,1,https://le.utah.gov/DynaBill/svotes.jsp?sessionid=2015GS&voteid=373&house=S
14,2015GS,HB0055,2/19/2015 (11:17:20 AM),Senate,,Senate,floor,Substitute 1,Senate/ passed 3rd reading,Pass,28,0,1,1,https://le.utah.gov/DynaBill/svotes.jsp?sessionid=2015GS&voteid=393&house=S
15,2015GS,HB0087,2/10/2015 (12:13:55 PM),House,,House,floor,Enterprise Zone Amendments,House/ passed 3rd reading,Pass,73,0,2,1,https://le.utah.gov/DynaBill/svotes.jsp?sessionid=2015GS&voteid=174&house=H
16,2015GS,HB0087,2/18/2015 (3:43:14 PM),Senate,,Senate,floor,Enterprise Zone Amendments,Senate/ passed 2nd reading,Pass,23,0,6,1,https://le.utah.gov/DynaBill/svotes.jsp?sessionid=2015GS&voteid=369&house=S
17,2015GS,HB0127,2/20/2015 (11:55:14 AM),House,,House,floor,Substitute 1,House/ passed 3rd reading,Pass,62,6,7,1,https://le.utah.gov/DynaBill/svotes.jsp?sessionid=2015GS&voteid=390&house=H
18,2015GS,HB0127,3/5/2015 (11:29:49 AM),Senate,,Senate,floor,Substitute 1,Senate/ passed 2nd reading,Pass,21,0,8,1,https://le.utah.gov/DynaBill/svotes.jsp?sessionid=2015GS&voteid=1026&house=S
19,2015GS,HB0127,3/6/2015 (11:24:04 AM),Senate,,Senate,floor,Senate/ circled,Senate/ circled,,,,,0,https://le.utah.gov/DynaBill/svotes.jsp?sessionid=2015GS&voteid=1131&house=S
20,2015GS,HB0127,3/6/2015 (11:26:06 AM),Senate,,Senate,floor,Senate/ uncircled,Senate/ uncircled,,,,,0,https://le.utah.gov/DynaBill/svotes.jsp?sessionid=2015GS&voteid=1133&house=S
21,2015GS,HB0127,3/6/2015 (11:28:15 AM),Senate,,Senate,floor,Substitute 1,Senate/ passed 3rd reading,Pass,25,0,4,1,https://le.utah.gov/DynaBill/svotes.jsp?sessionid=2015GS&voteid=1134&house=S
22,2015GS,HB0245,3/2/2015 (12:01:01 PM),House,,House,floor,3rd Reading,House/ passed 3rd reading,Pass,67,5,3,1,https://le.utah.gov/DynaBill/svotes.jsp?sessionid=2015GS&voteid=626&house=H
23,2015GS,HB0245,3/10/2015 (5:33:20 PM),Senate,,Senate,floor,Final Passage,Senate/ passed 3rd reading,Pass,26,0,3,1,https://le.utah.gov/DynaBill/svotes.jsp?sessionid=2015GS&voteid=1337&house=S
24,2015GS,HB0285,3/2/2015 (3:30:18 PM),House,,House,floor,House/ substituted from # 2 to # 3,House/ substituted from # 2 to # 3,,,,,0,https://le.utah.gov/DynaBill/svotes.jsp?sessionid=2015GS&voteid=633&house=H
25,2015GS,HB0285,3/2/2015 (3:42:00 PM),House,,House,floor,Substitute 3,House/ passed 3rd reading,Pass,60,10,5,1,https://le.utah.gov/DynaBill/svotes.jsp?sessionid=2015GS&voteid=634&house=H
26,2015GS,HB0285,3/12/2015 (11:58:51 PM),Senate,,Senate,floor,Substitute 3,Senate/ passed 2nd & 3rd readings/ suspension,Pass,16,12,1,1,https://le.utah.gov/DynaBill/svotes.jsp?sessionid=2015GS&voteid=1798&house=S
27,2015GS,HB0384,3/6/2015 (4:09:14 PM),House,,House,floor,House/ floor amendment # 2,House/ floor amendment # 2,,,,,0,https://le.utah.gov/DynaBill/svotes.jsp?sessionid=2015GS&voteid=814&house=H
28,2015GS,HB0384,3/6/2015 (4:12:09 PM),House,,House,floor,Grazing Zones Amendments,House/ passed 3rd reading,Pass,61,6,8,1,https://le.utah.gov/DynaBill/svotes.jsp?sessionid=2015GS&voteid=815&house=H
29,2015GS,HB0384,3/12/2015 (2:53:13 PM),Senate,,Senate,floor,Grazing Zones Amendments,Senate/ passed 2nd & 3rd readings/ suspension,Pass,22,0,7,1,https://le.utah.gov/DynaBill/svotes.jsp?sessionid=2015GS&voteid=1679&house=S
30,2015GS,HB0393,3/2/2015 (11:11:34 AM),House,,House,floor,Energy Zones Amendments,House/ passed 3rd reading,Pass,67,0,8,1,https://le.utah.gov/DynaBill/svotes.jsp?sessionid=2015GS&voteid=614&house=H
31,2015GS,HB0393,3/10/2015 (5:44:33 PM),Senate,,Senate,floor,Energy Zones Amendments,Senate/ passed 3rd reading,Pass,29,0,0,1,https://le.utah.gov/DynaBill/svotes.jsp?sessionid=2015GS&voteid=1342&house=S
32,2015GS,SB0029,2/17/2015 (11:49:15 AM),Senate,,Senate,floor,2nd Reading,Senate/ passed 2nd reading,Pass,26,0,3,1,https://le.utah.gov/DynaBill/svotes.jsp?sessionid=2015GS&voteid=299&house=S
