motion_id,meeting_id,body_id,motion_no,motion_text,motion_type,result_raw,outcome,stage,recommendation,disposition,disposition_method,disposition_confidence,application_id,app_match_method,app_confidence,mover_person_id,seconder_person_id,names_recorded,source_file,provenance
1,1,1,1,close the staff meeting,Other,Pass (unanimous),Pass,council_vote,,procedural,keyword,high,,,,13,8,0,minutes/2018/2018-10-25/2018-10-25_metro-township-council-meeting-459655.md,minutes
2,1,1,2,approve the use of electronic signatures for business licenses,Other,Pass (unanimous),Pass,council_vote,,approve,keyword,high,,,,8,13,0,minutes/2018/2018-10-25/2018-10-25_metro-township-council-meeting-459655.md,minutes
3,1,1,3,table approval of the fee schedule until a future meeting,Procedural/Administrative,Pass (unanimous),Pass,council_vote,,table,keyword,high,,,,8,13,0,minutes/2018/2018-10-25/2018-10-25_metro-township-council-meeting-459655.md,minutes
4,1,1,4,"approve the minutes of the Emigration Canyon Metro Township Council meeting held on September 19, 2018",Procedural/Administrative,Pass (unanimous),Pass,council_vote,,procedural,keyword,high,,,,13,8,0,minutes/2018/2018-10-25/2018-10-25_metro-township-council-meeting-459655.md,minutes
5,2,1,1,partner with the GSLMSD and other Metro Townships to create the Emergency Operations Plan,Other,Pass (unanimous),Pass,council_vote,,,unclassified,low,,,,13,6,0,minutes/2018/2018-11-29/2018-11-29_metro-township-council-meeting-466809.md,minutes
6,2,1,2,"move forward with the restroom restoration with the existing restroom at the mouth of Pinecrest, pending the traffic safety study, architect, and funding",Other,Pass (unanimous),Pass,council_vote,,,unclassified,low,,,,11,8,0,minutes/2018/2018-11-29/2018-11-29_metro-township-council-meeting-466809.md,minutes
7,2,1,3,"direct the Emigration Canyon Metro Township Community Council to identify three or four other sites in the canyon for future restrooms over the next 8 – 12 months, so the Council can pursue the installation of more restrooms",Other,Pass (unanimous),Pass,council_vote,,,unclassified,low,,,,11,7,0,minutes/2018/2018-11-29/2018-11-29_metro-township-council-meeting-466809.md,minutes
8,2,1,4,direct the Emigration Canyon Metro Township Planning Commission to start updating and amending the general plan. Council Member Bowen,Land-Use/Zoning,Pass (unanimous),Pass,council_vote,,,unclassified,low,1,singleton,high,13,6,0,minutes/2018/2018-11-29/2018-11-29_metro-township-council-meeting-466809.md,minutes
9,2,1,5,adopt the fee schedule as presented,Budget Amendment,Pass (unanimous),Pass,council_vote,,approve,keyword,high,,,,6,13,0,minutes/2018/2018-11-29/2018-11-29_metro-township-council-meeting-466809.md,minutes
10,2,1,6,table the ordinance until December to allow the Council time to review the document and make changes,Procedural/Administrative,Pass (unanimous),Pass,council_vote,,table,keyword,high,,,,8,7,0,minutes/2018/2018-11-29/2018-11-29_metro-township-council-meeting-466809.md,minutes
11,2,1,7,adopt the tentative budget with an adjustment for postage,Budget Amendment,Pass (unanimous),Pass,council_vote,,approve,keyword,high,,,,13,8,0,minutes/2018/2018-11-29/2018-11-29_metro-township-council-meeting-466809.md,minutes
12,2,1,8,"approve the minutes of the Emigration Canyon Metro Township Council meeting held on October 25, 2018",Procedural/Administrative,Pass (unanimous),Pass,council_vote,,procedural,keyword,high,,,,8,13,0,minutes/2018/2018-11-29/2018-11-29_metro-township-council-meeting-466809.md,minutes
13,3,1,1,open the public hearing to hear comments on the Emigration Canyon Metro Township 2018 budget adjustment,Public Hearing Action,Pass (unanimous),Pass,council_vote,,procedural,keyword,medium,,,,13,6,0,minutes/2018/2018-12-19/2018-12-19_metro-township-council-meeting-466807.md,minutes
14,3,1,2,close the public hearing,Public Hearing Action,Pass (unanimous),Pass,council_vote,,procedural,keyword,medium,,,,7,13,0,minutes/2018/2018-12-19/2018-12-19_metro-township-council-meeting-466807.md,minutes
15,3,1,3,adopt the resolution amending the 2018 budget,Budget Amendment,Pass (unanimous),Pass,council_vote,,approve,keyword,high,,,,13,8,0,minutes/2018/2018-12-19/2018-12-19_metro-township-council-meeting-466807.md,minutes
16,3,1,4,open the public hearing to hear comments on the Emigration Canyon Metro Township 2018 budget adjustment,Public Hearing Action,Pass (unanimous),Pass,council_vote,,procedural,keyword,medium,,,,6,13,0,minutes/2018/2018-12-19/2018-12-19_metro-township-council-meeting-466807.md,minutes
17,3,1,5,close the public hearing,Public Hearing Action,Pass (unanimous),Pass,council_vote,,procedural,keyword,medium,,,,6,13,0,minutes/2018/2018-12-19/2018-12-19_metro-township-council-meeting-466807.md,minutes
18,3,1,6,adopt the resolution adopting the 2019 annual budget,Budget Amendment,Pass (unanimous),Pass,council_vote,,approve,keyword,high,,,,6,8,0,minutes/2018/2018-12-19/2018-12-19_metro-township-council-meeting-466807.md,minutes
19,3,1,7,adopt the Ordinance with the exception of the Community Council section and amendments to section 2.86.040 b,Ordinance,Pass (unanimous),Pass,council_vote,,approve,keyword,high,,,,8,13,0,minutes/2018/2018-12-19/2018-12-19_metro-township-council-meeting-466807.md,minutes
20,3,1,8,"approve the expenditures for $750 for a traffic study and up to $2,000 for office supplies and bulletin boards",Other,Pass (unanimous),Pass,council_vote,,approve,keyword,high,,,,13,8,0,minutes/2018/2018-12-19/2018-12-19_metro-township-council-meeting-466807.md,minutes
21,4,1,1,close the staff meeting,Other,Pass (unanimous),Pass,council_vote,,procedural,keyword,high,,,,13,7,0,minutes/2019/2019-01-24/2019-01-24_metro-township-council-meeting-475005.md,minutes
22,4,1,2,leave the funds as currently allocated,Other,Pass (unanimous),Pass,council_vote,,,unclassified,low,,,,13,8,0,minutes/2019/2019-01-24/2019-01-24_metro-township-council-meeting-475005.md,minutes
23,4,1,3,"adopt the 2019 meeting schedule for the Emigration Canyon Metro Township Council. Meetings will be held on the fourth Thursday of the month, 7:00 p.m. at the Emigration Canyon Fire Station 119, 5025 E Emigration Canyon Road, Salt Lake City",Other,Pass (unanimous),Pass,council_vote,,approve,keyword,high,,,,13,6,0,minutes/2019/2019-01-24/2019-01-24_metro-township-council-meeting-475005.md,minutes
24,4,1,4,adopt the short and informal rules and procedures with an amendment to include code of conduct and residents right to be heard sections,Other,Pass (unanimous),Pass,council_vote,,approve,keyword,high,,,,13,7,0,minutes/2019/2019-01-24/2019-01-24_metro-township-council-meeting-475005.md,minutes
25,4,1,5,"approve the minutes of the Emigration Canyon Metro Township Council meeting held on November 29, 2018 and December 19, 2018",Procedural/Administrative,Pass (unanimous),Pass,council_vote,,procedural,keyword,high,,,,6,7,0,minutes/2019/2019-01-24/2019-01-24_metro-township-council-meeting-475005.md,minutes
26,5,1,1,close the staff meeting,Other,Pass (unanimous),Pass,council_vote,,procedural,keyword,high,,,,13,8,0,minutes/2019/2019-02-28/2019-02-28_metro-township-council-meeting-522675.md,minutes
27,5,1,2,approve the encroachment agreement,Other,Pass (unanimous),Pass,council_vote,,approve,keyword,high,,,,7,13,0,minutes/2019/2019-02-28/2019-02-28_metro-township-council-meeting-522675.md,minutes
28,5,1,3,adopt the Ordinance,Ordinance,Pass (unanimous),Pass,council_vote,,approve,keyword,high,,,,13,7,0,minutes/2019/2019-02-28/2019-02-28_metro-township-council-meeting-522675.md,minutes
29,5,1,4,adopt the ordinance,Ordinance,Pass (unanimous),Pass,council_vote,,approve,keyword,high,,,,13,6,0,minutes/2019/2019-02-28/2019-02-28_metro-township-council-meeting-522675.md,minutes
30,5,1,5,adopt the Resolution,Resolution,Pass (unanimous),Pass,council_vote,,approve,keyword,high,,,,13,6,0,minutes/2019/2019-02-28/2019-02-28_metro-township-council-meeting-522675.md,minutes
31,6,1,1,close the staff meeting,Other,Pass (unanimous),Pass,council_vote,,procedural,keyword,high,,,,13,8,0,minutes/2019/2019-03-28/2019-03-28_metro-township-council-meeting-522677.md,minutes
32,7,1,1,approve ordinance no. 19-05-01 amending the code in title 2 with minor amendments discussed,Ordinance,Pass (unanimous),Pass,council_vote,,approve,keyword,high,,,,13,8,0,minutes/2019/2019-05-23/2019-05-23_metro-township-council-meeting-522683.md,minutes
