ordinance_no,adoption_date,date,title,source_url,retrieved_date,format,extraction_method,path,land_use,result,matched_motion_date,matched_motion_no,match_confidence,land_use_category,n_motion_events,linkage_note,minutes_source
2020-05,2020-01-28,2020-01-28,"approval of the Public Facility General Plan Land Use Designation for the Dry Creek Municipal Boundary Adjustment with Highland City, 18.79-acres of property located at approximately 3200 North 1800 East.",meeting_minutes/minutes/2020/2020-01-27/2020-01-28_city-council-meeting.md,2026-07-02,text,reconstructed from meeting_minutes motion text (born-digital Granicus minutes),,yes,Pass,2020-01-28,14,high,general_plan_amendment,1,,meeting_minutes/minutes/2020/2020-01-27/2020-01-28_city-council-meeting.md
2020-09,2020-02-11,2020-02-11,"approval of the Jonsson Park Towns Zone Change, approximately 5.3 acres located at 700 South 1900 West, changing the Zoning from TH-5 (Transitional Holding) to R-3 (high density residential). Brad Mackay was representing the applicant. He stated that they are changing the name to The",meeting_minutes/minutes/2020/2020-02-10/2020-02-11_city-council-meeting.md,2026-07-02,text,reconstructed from meeting_minutes motion text (born-digital Granicus minutes),,yes,Pass,2020-02-11,3,high,zone_change,1,,meeting_minutes/minutes/2020/2020-02-10/2020-02-11_city-council-meeting.md
2020-10,2020-02-11,2020-02-11,"approval of the Pine Springs General Plan Amendment for 3.09 acres of property located at 225 South 600 East, changing the land use designation from LDR (Low Density Residential) to HDR (High Density Residential). Dan Ford was the applicant and was representing the Mortimore family whom own the",meeting_minutes/minutes/2020/2020-02-10/2020-02-11_city-council-meeting.md,2026-07-02,text,reconstructed from meeting_minutes motion text (born-digital Granicus minutes),,yes,Pass,2020-02-11,5,high,general_plan_amendment,1,,meeting_minutes/minutes/2020/2020-02-10/2020-02-11_city-council-meeting.md
2020-14,2020-03-31,2020-03-31,a zone change from Business Park to Commercial on 35-acres located at approximately 1450 West Innovation Way. Kent England was representing the applicant. Mr. England stated that he was surprised by the Planning Commission’s decision to recommend denial of the zone change even though the,meeting_minutes/minutes/2020/2020-03-30/2020-03-31_city-council-meeting.md,2026-07-02,text,reconstructed from meeting_minutes motion text (born-digital Granicus minutes),,yes,Pass,2020-03-31,5,high,zone_change,1,,meeting_minutes/minutes/2020/2020-03-30/2020-03-31_city-council-meeting.md
2020-15,2020-03-31,2020-03-31,a General Plan amendment from Low Density Residential to Commercial on 1.4 acres located at approximately 400 West Bull River Road. (Public Comments are attached.),meeting_minutes/minutes/2020/2020-03-30/2020-03-31_city-council-meeting.md,2026-07-02,text,reconstructed from meeting_minutes motion text (born-digital Granicus minutes),,yes,Pass,2020-03-31,6,high,general_plan_amendment,1,,meeting_minutes/minutes/2020/2020-03-30/2020-03-31_city-council-meeting.md
2020-18,2020-03-31,2020-03-31,"Pine Springs Zone Change, approximately 3.1- acres of property located at 225 South 600 East, changing the zoning from TH-5 (transitional holding) to R-3 (high density residential). Dan Ford was representing the applicant.",meeting_minutes/minutes/2020/2020-03-30/2020-03-31_city-council-meeting.md,2026-07-02,text,reconstructed from meeting_minutes motion text (born-digital Granicus minutes),,yes,Pass,2020-03-31,14,high,zone_change,1,,meeting_minutes/minutes/2020/2020-03-30/2020-03-31_city-council-meeting.md
2020-20,2020-03-31,2020-03-31,"a Development Code amendment to Chapters 5 and 39, adding a Small Breed Dog Care Facility use in certain non-residential zones and a definition for the use.",meeting_minutes/minutes/2020/2020-03-30/2020-03-31_city-council-meeting.md,2026-07-02,text,reconstructed from meeting_minutes motion text (born-digital Granicus minutes),,yes,Pass,2020-03-31,22,high,development_code_amendment,1,,meeting_minutes/minutes/2020/2020-03-30/2020-03-31_city-council-meeting.md
2020-21,2020-03-31,2020-03-31,"amending the Lehi City Development Code, Chapters 5, 12, 17, 23, 37, and 39. Mr. Struthers reported that there were conflicts with the Historic District boundaries, so that was clarified for consistency. He also noted there were changes made to short term rentals and",meeting_minutes/minutes/2020/2020-03-30/2020-03-31_city-council-meeting.md,2026-07-02,text,reconstructed from meeting_minutes motion text (born-digital Granicus minutes),,yes,Pass,2020-03-31,20,high,development_code_amendment,1,,meeting_minutes/minutes/2020/2020-03-30/2020-03-31_city-council-meeting.md
2020-22,2020-03-31,2020-03-31,"a Development Code amendment to Chapters 37 and Table 5-030-B, adding more flexibility for exceptions on corner lots in the General Non-Residential Design District, and eliminating a permitted use from the Table of Uses. Mr. Struthers explained that the Table of Uses was cleaned up for better clarit",meeting_minutes/minutes/2020/2020-03-30/2020-03-31_city-council-meeting.md,2026-07-02,text,reconstructed from meeting_minutes motion text (born-digital Granicus minutes),,yes,Pass,2020-03-31,21,high,development_code_amendment,1,,meeting_minutes/minutes/2020/2020-03-30/2020-03-31_city-council-meeting.md
2020-23,2020-04-14,2020-04-14,"approval of a Development Code amendment to Chapter 12, changing the exception for group homes to allow up to 16 residents. Duane Nelson was representing the applicant. Mr. Nelsen stated that group homes can be located in a residential area. Mr. Struthers stated that the current cap of residents is ",meeting_minutes/minutes/2020/2020-04-13/2020-04-14_city-council-meeting.md,2026-07-02,text,reconstructed from meeting_minutes motion text (born-digital Granicus minutes),,yes,Pass,2020-04-14,4,high,development_code_amendment,1,,meeting_minutes/minutes/2020/2020-04-13/2020-04-14_city-council-meeting.md
