member,first_seen,last_seen,n_votes
Cyndi Sharkey,2020-01-07,2026-06-02,532
Alison Stroud,2020-01-07,2026-06-02,529
Marci Houseman,2020-01-07,2026-06-02,522
Zach Robinson,2020-01-07,2025-11-18,487
Brooke D'Sousa,2022-01-04,2026-06-02,357
Ryan Mecham,2022-01-04,2025-11-18,317
Brooke Christensen,2020-01-07,2026-06-02,211
Kristin Coleman-Nicholl,2020-01-07,2026-06-02,211
Aaron Dekeyzer,2024-01-09,2026-06-02,193
Monica Zoltanski,2020-01-07,2025-11-18,174
Scott Earl,2022-01-25,2023-12-19,155
