precinct,district,source_year
25NE13,1,gis-2023map
25PR01,1,gis-2023map
25PR02,1,gis-2023map
25PR03,1,gis-2023map
25PR04,1,gis-2023map
25PR05,1,gis-2023map
25PR06,1,gis-2023map
25PR07,1,gis-2023map
25PR08,1,gis-2023map
25PR09,1,gis-2023map
25PR10,1,gis-2023map
25PR11,1,gis-2023map
25PR12,1,gis-2023map
25PR13,1,gis-2023map
25PR14,1,gis-2023map
25PR15,1,gis-2023map
25PR16,4,gis-2023map
25PR17,4,gis-2023map
25PR18,4,gis-2023map
25PR19,4,gis-2023map
25PR20,3,gis-2023map
25PR21,3,gis-2023map
25PR22,3,gis-2023map
25PR23,4,gis-2023map
25PR24,4,gis-2023map
25PR25,4,gis-2023map
25PR26,4,gis-2023map
25PR27,4,gis-2023map
25PR28,4,gis-2023map
25PR29,1,gis-2023map
25PR30,1,gis-2023map
25PR31,1,gis-2023map
25PR32,2,2025
25PR33,2,2025
25PR34,2,2025
25PR35,2,2025
25PR36,2,2025
25PR37,5,2025
25PR38,5,2025
25PR39,4,gis-2023map
25PR40,3,gis-2023map
25PR41,4,gis-2023map
25PR42,4,gis-2023map
25PR43,5,2025
25PR44,5,2025
25PR45,5,2025
25PR46,5,2025
25PR47,5,2025
25PR48,2,2025
25PR49,2,2025
25PR50,2,2025
25PR51,2,2025
25PR52,5,2025
25PR53,5,2025
25PR54,5,2025
25PR55,3,gis-2023map
25PR56,3,gis-2023map
25PR57,3,gis-2023map
25PR58,3,gis-2023map
25PR59,3,gis-2023map
25PR60,3,gis-2023map
25PR61,2,2025
25PR62,2,2025
25PR63,2,2025
25PR64,2,2025
25PR65,3,gis-2023map
25PR66,2,2025
