date,id,url,reason
2021-11-17,43,,no minutes published in CivicClerk or Drive archive
2023-08-16,231,,no minutes published in CivicClerk or Drive archive
2023-09-20,226,,no minutes published in CivicClerk or Drive archive
2024-03-20,287,,no minutes published in CivicClerk or Drive archive
2024-06-19,292,,no minutes published in CivicClerk or Drive archive
2024-07-03,293,,no minutes published in CivicClerk or Drive archive
2024-10-02,300,,no minutes published in CivicClerk or Drive archive
2025-07-16,1413,,no minutes published in CivicClerk or Drive archive
2025-09-03,1466,,no minutes published in CivicClerk or Drive archive
2025-09-17,1415,,no minutes published in CivicClerk or Drive archive
2025-10-15,1416,https://oremut.portal.civicclerk.com/event/1416/files,"city mis-upload: the event's only Minutes attachment (fileId=1005, 'Approved Minutes') is the 2025-11-05 PC minutes — byte-identical to the 11-05 event's fileId=1006 (md5 382a9836e7015764fd6f3cb3ee35bf3b); the real 10-15 minutes are published nowhere (PMN notice 1027529 carries agenda/packet/signed resolutions only). Meeting confirmed held: the 11-05 minutes approve 'Minutes for the 10-15-2025 Planning Commission Meeting'."
2026-02-04,1487,,no minutes published in CivicClerk or Drive archive
2026-02-18,1499,,no minutes published in CivicClerk or Drive archive
2026-03-04,1472,,no minutes published in CivicClerk or Drive archive
2026-05-20,1490,,"recent meeting, minutes not yet posted"
2026-06-03,1491,,"recent meeting, minutes not yet posted"
2026-06-17,1502,,"recent meeting, minutes not yet posted"
