role_id,person_id,body_id,first_seen,last_seen,n_votes
1,1,3,2021-01-05,2022-10-04,58
2,2,3,2024-01-09,2026-04-28,60
3,4,1,2026-01-08,2026-04-16,12
4,4,4,2026-01-22,2026-01-22,2
5,5,3,2020-01-07,2021-06-15,90
6,6,1,2022-01-20,2025-12-18,169
7,6,2,2025-10-02,2025-10-02,1
8,6,4,2022-04-21,2024-01-04,6
9,7,3,2020-04-21,2020-07-21,16
10,8,3,2020-08-18,2022-12-06,49
11,9,3,2022-08-16,2026-04-28,72
12,10,1,2020-01-09,2025-12-18,348
13,10,2,2025-10-02,2025-10-02,2
14,10,4,2021-08-26,2024-01-04,8
15,11,1,2020-01-09,2026-04-16,355
16,11,2,2025-10-02,2025-10-02,2
17,11,4,2022-04-21,2026-01-22,9
18,13,3,2024-01-09,2026-04-28,61
19,14,1,2020-01-09,2026-04-16,372
20,14,2,2025-10-02,2025-10-02,2
21,14,4,2021-08-26,2026-01-22,10
22,16,1,2020-01-09,2024-12-12,235
23,16,4,2021-08-26,2021-08-26,1
24,17,3,2024-01-09,2026-04-28,57
25,18,1,2024-01-04,2026-04-16,126
26,18,2,2025-10-02,2025-10-02,2
27,18,4,2024-01-04,2026-01-22,3
28,19,3,2020-01-07,2020-09-15,59
29,20,3,2020-08-18,2022-12-06,49
30,21,3,2021-02-23,2021-02-23,1
31,22,3,2020-01-07,2022-09-13,62
32,23,3,2020-01-21,2022-05-03,97
33,24,3,2020-01-07,2022-07-12,99
34,25,1,2020-01-09,2021-12-16,104
35,26,3,2022-03-15,2026-04-28,66
36,27,1,2020-01-09,2026-04-16,380
37,27,2,2025-10-02,2025-10-02,2
38,27,4,2021-08-26,2024-01-04,8
39,28,3,2020-01-07,2021-06-15,100
40,29,3,2022-03-15,2026-04-28,83
41,30,1,2026-01-08,2026-04-16,12
42,30,4,2026-01-22,2026-01-22,2
43,31,3,2025-10-28,2026-04-28,15
44,32,3,2022-08-16,2025-06-24,44
