date,meeting_id,url,reason
2020-01-01,,https://www.provo.gov/AgendaCenter/Planning-Commission-2,YEAR 2020: no Planning Commission meetings available on AgendaCenter (year dropdown starts 2021); OnBase portal (agendas.provo.gov) has no Planning Commission body. 2020 PC minutes not retrievable from any located source.
2021-01-13,,https://www.provo.gov/AgendaCenter/ViewFile/Agenda/_01132021-173,no minutes document posted on AgendaCenter (agenda/packet only)
2021-01-27,,https://www.provo.gov/AgendaCenter/ViewFile/Agenda/_01272021-174,no minutes document posted on AgendaCenter (agenda/packet only)
2021-02-10,,https://www.provo.gov/AgendaCenter/ViewFile/Agenda/_02102021-175,no minutes document posted on AgendaCenter (agenda/packet only)
2021-02-24,,https://www.provo.gov/AgendaCenter/ViewFile/Agenda/_02242021-176,no minutes document posted on AgendaCenter (agenda/packet only)
2021-03-10,,https://www.provo.gov/AgendaCenter/ViewFile/Agenda/_03102021-177,no minutes document posted on AgendaCenter (agenda/packet only)
2021-03-24,,https://www.provo.gov/AgendaCenter/ViewFile/Agenda/_03242021-178,no minutes document posted on AgendaCenter (agenda/packet only)
2021-04-28,,https://www.provo.gov/AgendaCenter/ViewFile/Agenda/_04282021-179,no minutes document posted on AgendaCenter (agenda/packet only)
2021-05-12,,https://www.provo.gov/AgendaCenter/ViewFile/Agenda/_05122021-180,no minutes document posted on AgendaCenter (agenda/packet only)
2021-05-26,,https://www.provo.gov/AgendaCenter/ViewFile/Agenda/_05262021-181,no minutes document posted on AgendaCenter (agenda/packet only)
2021-06-09,,https://www.provo.gov/AgendaCenter/ViewFile/Agenda/_06092021-182,no minutes document posted on AgendaCenter (agenda/packet only)
2021-07-14,,https://www.provo.gov/AgendaCenter/ViewFile/Agenda/_07142021-183,no minutes document posted on AgendaCenter (agenda/packet only)
2021-07-28,,https://www.provo.gov/AgendaCenter/ViewFile/Agenda/_07282021-190,no minutes document posted on AgendaCenter (agenda/packet only)
2021-08-11,,https://www.provo.gov/AgendaCenter/ViewFile/Agenda/_08112021-184,no minutes document posted on AgendaCenter (agenda/packet only)
2021-08-25,,https://www.provo.gov/AgendaCenter/ViewFile/Agenda/_08252021-172,no minutes document posted on AgendaCenter (agenda/packet only)
2021-09-08,,https://www.provo.gov/AgendaCenter/ViewFile/Agenda/_09082021-185,no minutes document posted on AgendaCenter (agenda/packet only)
2021-09-22,,https://www.provo.gov/AgendaCenter/ViewFile/Agenda/_09222021-186,no minutes document posted on AgendaCenter (agenda/packet only)
2021-10-13,,https://www.provo.gov/AgendaCenter/ViewFile/Agenda/_10132021-187,no minutes document posted on AgendaCenter (agenda/packet only)
2021-10-27,,https://www.provo.gov/AgendaCenter/ViewFile/Agenda/_10272021-188,no minutes document posted on AgendaCenter (agenda/packet only)
2021-11-10,,https://www.provo.gov/AgendaCenter/ViewFile/Agenda/_11102021-189,no minutes document posted on AgendaCenter (agenda/packet only)
2021-12-08,,https://www.provo.gov/AgendaCenter/ViewFile/Agenda/_12082021-191,no minutes document posted on AgendaCenter (agenda/packet only)
2022-01-12,,https://www.provo.gov/AgendaCenter/ViewFile/Agenda/_01122022-134,no minutes document posted on AgendaCenter (agenda/packet only)
2022-01-26,,https://www.provo.gov/AgendaCenter/ViewFile/Agenda/_01262022-135,no minutes document posted on AgendaCenter (agenda/packet only)
2022-02-09,,https://www.provo.gov/AgendaCenter/ViewFile/Agenda/_02092022-136,no minutes document posted on AgendaCenter (agenda/packet only)
2022-02-23,,https://www.provo.gov/AgendaCenter/ViewFile/Agenda/_02232022-137,no minutes document posted on AgendaCenter (agenda/packet only)
