commissioner,first_seen,last_seen,n_meetings
Jonathon Hill,2025-02-26,2026-07-08,27
Lisa Jensen,2025-02-26,2026-06-24,24
Melissa Kendall,2025-02-26,2026-07-08,24
Barbara DeSoto,2025-02-26,2026-03-11,19
Anne Allen,2025-02-26,2026-06-24,17
Daniel Gonzales,2025-02-26,2026-06-10,17
Joel Temple,2025-08-13,2026-07-08,17
Matt Wheelwright,2025-08-13,2026-07-08,17
Jon Lyons,2025-09-24,2026-07-08,16
Andrew South,2025-03-12,2025-07-09,6
Adam Shin,2025-02-26,2025-03-26,3
Jeff Whitlock,2025-03-12,2025-03-12,1
Tosh Metzger,2026-07-08,2026-07-08,1
