date,candidate,office,election_year,filing_type,reporting_period,title,source_url,retrieved_date,format,extraction_method,path,district,source,in_election_results,matched_election_candidate,join_confidence,date_precision,filing_label_verbatim,pages,note
2017-11-01,Andrew Stoddard,Council,2017,,,Andrew Stoddard — 2017 Midvale campaign financial disclosure (period not stated),https://www.midvale.utah.gov/Document%20Center/Government/Departments/Recorders%20Office/Campaign%20Financial%20Disclosures/2017/Andrew%20Stoddar.pdf?t=202309190901470,2026-07-13,text,none (acquisition-only; born-digital text PDF),raw/2017_01_Andrew-Stoddard.pdf,4,city_cf_page,yes,ANDREW STODDARD,exact,cycle_inferred,Andrew Stoddard,5,
2017-10-01,Bryant Brown,Council,2017,interim,October 2017,Bryant Brown — 2017 Midvale campaign financial disclosure (October 2017),https://www.midvale.utah.gov/Document%20Center/Government/Departments/Recorders%20Office/Campaign%20Financial%20Disclosures/2017/October%202017%20Bryant%20Brown%20.pdf?t=202309190901470,2026-07-13,scanned,"none (acquisition-only; scanned image PDF, OCR/vision deferred)",raw/2017_03_Bryant-Brown.pdf,4,city_cf_page,yes,BRYANT BROWN,exact,label_month,October 2017 Bryant Brown Campaign Disclosure,5,
2017-11-01,Bryant Brown,Council,2017,,,Bryant Brown — 2017 Midvale campaign financial disclosure (period not stated),https://www.midvale.utah.gov/Document%20Center/Government/Departments/Recorders%20Office/Campaign%20Financial%20Disclosures/2017/Bryant%20Brown.pdf?t=202309190901470,2026-07-13,text,none (acquisition-only; born-digital text PDF),raw/2017_02_Bryant-Brown.pdf,4,city_cf_page,yes,BRYANT BROWN,exact,cycle_inferred,Bryant Brown,5,
2017-11-01,Stephanie Johnson,Council,2017,,,Stephanie Johnson — 2017 Midvale campaign financial disclosure (period not stated),https://www.midvale.utah.gov/Document%20Center/Government/Departments/Recorders%20Office/Campaign%20Financial%20Disclosures/2017/Stephanie%20Johnson.pdf?t=202309190901470,2026-07-13,text,none (acquisition-only; born-digital text PDF),raw/2017_12_Stephanie-Johnson.pdf,4,city_cf_page,yes,STEPHANIE JOHNSON,exact,cycle_inferred,Stephanie Johnson,8,
2017-11-01,Wayne L. Sharp,Council,2017,,,Wayne L. Sharp — 2017 Midvale campaign financial disclosure (period not stated),https://www.midvale.utah.gov/Document%20Center/Government/Departments/Recorders%20Office/Campaign%20Financial%20Disclosures/2017/Wayne%20L%20Shar.pdf?t=202309190901470,2026-07-13,text,none (acquisition-only; born-digital text PDF),raw/2017_15_Wayne-L-Sharp.pdf,4,city_cf_page,yes,WAYNE L. SHARP,exact,cycle_inferred,Wayne L. Sharp,5,
2017-10-30,Dustin Gettel,Council,2017,interim,2017-10-30,Dustin Gettel — 2017 Midvale campaign financial disclosure (2017-10-30),https://www.midvale.utah.gov/Document%20Center/Government/Departments/Recorders%20Office/Campaign%20Financial%20Disclosures/2017/20171030%20Dustin%20Gettel.pdf?t=202309190901470,2026-07-13,scanned,"none (acquisition-only; scanned image PDF, OCR/vision deferred)",raw/2017_06_Dustin-Gettel.pdf,5,city_cf_page,yes,DUSTIN GETTEL,exact,page_stated,20171030 Dustin Gettel,6,
2017-11-01,Dustin Gettel,Council,2017,,,Dustin Gettel — 2017 Midvale campaign financial disclosure (period not stated),https://www.midvale.utah.gov/Document%20Center/Government/Departments/Recorders%20Office/Campaign%20Financial%20Disclosures/2017/Dustin%20Gettel.pdf?t=202309190901470,2026-07-13,text,none (acquisition-only; born-digital text PDF),raw/2017_05_Dustin-Gettel.pdf,5,city_cf_page,yes,DUSTIN GETTEL,exact,cycle_inferred,Dustin Gettel,6,
2017-10-01,Stephen Brown,Council,2017,interim,October 2017,Stephen Brown — 2017 Midvale campaign financial disclosure (October 2017),https://www.midvale.utah.gov/Document%20Center/Government/Departments/Recorders%20Office/Campaign%20Financial%20Disclosures/2017/October%202017%20Stephen%20Brown.pdf?t=202309190901470,2026-07-13,scanned,"none (acquisition-only; scanned image PDF, OCR/vision deferred)",raw/2017_14_Stephen-Brown.pdf,5,city_cf_page,yes,STEPHEN BROWN,exact,label_month,October 2017 Stephen Brown,5,
2017-11-01,Stephen Brown,Council,2017,,,Stephen Brown — 2017 Midvale campaign financial disclosure (period not stated),https://www.midvale.utah.gov/Document%20Center/Government/Departments/Recorders%20Office/Campaign%20Financial%20Disclosures/2017/Stephen%20R%20Brown.pdf?t=202309190901470,2026-07-13,text,none (acquisition-only; born-digital text PDF),raw/2017_13_Stephen-R-Brown.pdf,5,city_cf_page,yes,STEPHEN BROWN,exact,cycle_inferred,Stephen R. Brown,5,
2017-11-01,Matthew Hansen,Mayor,2017,,,Matthew Hansen — 2017 Midvale campaign financial disclosure (period not stated),https://www.midvale.utah.gov/Document%20Center/Government/Departments/Recorders%20Office/Campaign%20Financial%20Disclosures/2017/Matthew%20Hansen.pdf?t=202309190901470,2026-07-13,text,none (acquisition-only; born-digital text PDF),raw/2017_07_Matthew-Hansen.pdf,,city_cf_page,yes,MATTHEW HANSEN,exact,cycle_inferred,Matthew Hansen,4,
