year	candidate	office	district	in_er	filing_type	period	label	href	url	fname	upload
2025	Brandee Boyer	Mayor		yes	interim		Brandee Boyer Oct 7 Report Redacted.pdf	Document Center/Government/Departments/Recorders Office/Campaign Financial Disclosures/2025/Brandee Boyer Oct 7 Report Redacted.pdf?t=202510062010130	https://www.midvale.utah.gov/Document%20Center/Government/Departments/Recorders%20Office/Campaign%20Financial%20Disclosures/2025/Brandee%20Boyer%20Oct%207%20Report%20Redacted.pdf?t=202510062010130	2025_01_Brandee-Boyer.pdf	202510
2025	Brandee Boyer	Mayor		yes	interim	October 28, 2025	Brandee Boyer Financial Disclosure (October 28, 2025)	Document Center/Government/Departments/Recorders Office/Elections/2025/Brandee Boyer Financial Disclosure (October 28, 2025).pdf?t=202510291113400	https://www.midvale.utah.gov/Document%20Center/Government/Departments/Recorders%20Office/Elections/2025/Brandee%20Boyer%20Financial%20Disclosure%20%28October%2028%2C%202025%29.pdf?t=202510291113400	2025_02_Brandee-Boyer.pdf	202510
2025	Brandee Boyer	Mayor		yes	summary	December 4, 2025	Brandee Boyer Financial Disclosure (December 4, 2025)	Document Center/Government/Departments/Recorders Office/Elections/2025/Brandee Boyer Financial Disclosure (December 4, 2025).pdf?t=202512041848510	https://www.midvale.utah.gov/Document%20Center/Government/Departments/Recorders%20Office/Elections/2025/Brandee%20Boyer%20Financial%20Disclosure%20%28December%204%2C%202025%29.pdf?t=202512041848510	2025_03_Brandee-Boyer.pdf	202512
2025	Jamie Steverson	Council	5	yes	interim	October 7, 2025	Jamie Steverson Financial Disclosure (October 7, 2025)	Document Center/Government/Departments/Recorders Office/Campaign Financial Disclosures/2025/Jamie Steverson financial disclosure 10-7-25_Redacted.pdf?t=202510081235160	https://www.midvale.utah.gov/Document%20Center/Government/Departments/Recorders%20Office/Campaign%20Financial%20Disclosures/2025/Jamie%20Steverson%20financial%20disclosure%2010-7-25_Redacted.pdf?t=202510081235160	2025_04_Jamie-Steverson.pdf	202510
2025	Jamie Steverson	Council	5	yes	interim	October 28, 2025	Jamie Steverson Financial Disclosure (October 28, 2025)	Document Center/Government/Departments/Recorders Office/Elections/2025/Jamie Steverson Financial Disclosure (October 28, 2025).pdf?t=202510281911080	https://www.midvale.utah.gov/Document%20Center/Government/Departments/Recorders%20Office/Elections/2025/Jamie%20Steverson%20Financial%20Disclosure%20%28October%2028%2C%202025%29.pdf?t=202510281911080	2025_05_Jamie-Steverson.pdf	202510
2025	Jamie Steverson	Council	5	yes	summary	December 4, 2025	Jamie Steverson Financial Disclosure (December 4, 2025)	Document Center/Government/Departments/Recorders Office/Elections/2025/Jamie Steverson Financial Disclosure December 4, 2025).pdf?t=202512041924360	https://www.midvale.utah.gov/Document%20Center/Government/Departments/Recorders%20Office/Elections/2025/Jamie%20Steverson%20Financial%20Disclosure%20December%204%2C%202025%29.pdf?t=202512041924360	2025_06_Jamie-Steverson.pdf	202512
2025	Bryant Brown	Council	4	yes	interim	October 7, 2025	Bryant Brown Financial Disclosure (October 7, 2025)	Document Center/Government/Departments/Recorders Office/Elections/2025/Bryant Brown October 7th Report.pdf?t=202510021734420	https://www.midvale.utah.gov/Document%20Center/Government/Departments/Recorders%20Office/Elections/2025/Bryant%20Brown%20October%207th%20Report.pdf?t=202510021734420	2025_07_Bryant-Brown.pdf	202510
2025	Bryant Brown	Council	4	yes	interim	October 28, 2025	Bryant Brown Financial Disclosure (October 28, 2025)	Document Center/Government/Departments/Recorders Office/Elections/2025/Bryant Brown Financial Disclosure October 28 2025.pdf?t=202510271638210	https://www.midvale.utah.gov/Document%20Center/Government/Departments/Recorders%20Office/Elections/2025/Bryant%20Brown%20Financial%20Disclosure%20October%2028%202025.pdf?t=202510271638210	2025_08_Bryant-Brown.pdf	202510
2025	Bryant Brown	Council	4	yes	summary	December 4, 2025	Bryant Brown Financial Disclosure (December 4, 2025)	Document Center/Government/Departments/Recorders Office/Elections/2025/Bryant Brown Financial Disclosure (December 4, 2025).pdf?t=202512041925450	https://www.midvale.utah.gov/Document%20Center/Government/Departments/Recorders%20Office/Elections/2025/Bryant%20Brown%20Financial%20Disclosure%20%28December%204%2C%202025%29.pdf?t=202512041925450	2025_09_Bryant-Brown.pdf	202512
2025	David Fair	Mayor		yes	interim	October 7, 2025	David Fair Financial Disclosure (October 7, 2025)	Document Center/Government/Departments/Recorders Office/Campaign Financial Disclosures/2025/David Fair Oct 7th Report Redacted.pdf?t=202510062011250	https://www.midvale.utah.gov/Document%20Center/Government/Departments/Recorders%20Office/Campaign%20Financial%20Disclosures/2025/David%20Fair%20Oct%207th%20Report%20Redacted.pdf?t=202510062011250	2025_10_David-Fair.pdf	202510
2025	David Fair	Mayor		yes	interim	October 28, 2025	David Fair Financial Disclosure (October 28, 2025)	Document Center/Government/Departments/Recorders Office/Elections/2025/David Fair Financial Disclosure (October 28, 2025).pdf?t=202510281911580	https://www.midvale.utah.gov/Document%20Center/Government/Departments/Recorders%20Office/Elections/2025/David%20Fair%20Financial%20Disclosure%20%28October%2028%2C%202025%29.pdf?t=202510281911580	2025_11_David-Fair.pdf	202510
2025	David Fair	Mayor		yes	summary	December 4, 2025	David Fair Financial Disclosure (December 4, 2025)	Document Center/Government/Departments/Recorders Office/Elections/2025/David Fair Financial Disclosure December 4, 2025).pdf?t=202512041909260	https://www.midvale.utah.gov/Document%20Center/Government/Departments/Recorders%20Office/Elections/2025/David%20Fair%20Financial%20Disclosure%20December%204%2C%202025%29.pdf?t=202512041909260	2025_12_David-Fair.pdf	202512
2025	Dustin Gettel	Mayor		yes	interim	October 7, 2025	Dustin Gettel Financial Disclosure (October 7, 2025)	Document Center/Government/Departments/Recorders Office/Campaign Financial Disclosures/2025/Gettel 10.07.25 Disclosure_Redacted.pdf?t=202510071730000	https://www.midvale.utah.gov/Document%20Center/Government/Departments/Recorders%20Office/Campaign%20Financial%20Disclosures/2025/Gettel%2010.07.25%20Disclosure_Redacted.pdf?t=202510071730000	2025_13_Dustin-Gettel.pdf	202510
