geography,geography_type,year,metric,value,scenario,source,source_url,vintage
Cache County,county,2025,population,145171,baseline,Kem C. Gardner Policy Institute — Utah State and County Long-Term Projections,https://d36oiwf74r1rap.cloudfront.net/wp-content/uploads/2025/11/Gardner-Policy-Institute-State-and-County-Projections-2025-2065-Data.xlsx,Vintage 2025 (Nov 2025)
Cache County,county,2025,households,48016,baseline,Kem C. Gardner Policy Institute — Utah State and County Long-Term Projections,https://d36oiwf74r1rap.cloudfront.net/wp-content/uploads/2025/11/Gardner-Policy-Institute-State-and-County-Projections-2025-2065-Data.xlsx,Vintage 2025 (Nov 2025)
Cache County,county,2025,persons_per_household,2.93,baseline,Kem C. Gardner Policy Institute — Utah State and County Long-Term Projections,https://d36oiwf74r1rap.cloudfront.net/wp-content/uploads/2025/11/Gardner-Policy-Institute-State-and-County-Projections-2025-2065-Data.xlsx,Vintage 2025 (Nov 2025)
Cache County,county,2025,household_population,140573,baseline,Kem C. Gardner Policy Institute — Utah State and County Long-Term Projections,https://d36oiwf74r1rap.cloudfront.net/wp-content/uploads/2025/11/Gardner-Policy-Institute-State-and-County-Projections-2025-2065-Data.xlsx,Vintage 2025 (Nov 2025)
Cache County,county,2025,group_quarters_population,4598,baseline,Kem C. Gardner Policy Institute — Utah State and County Long-Term Projections,https://d36oiwf74r1rap.cloudfront.net/wp-content/uploads/2025/11/Gardner-Policy-Institute-State-and-County-Projections-2025-2065-Data.xlsx,Vintage 2025 (Nov 2025)
Cache County,county,2025,median_age,25.78,baseline,Kem C. Gardner Policy Institute — Utah State and County Long-Term Projections,https://d36oiwf74r1rap.cloudfront.net/wp-content/uploads/2025/11/Gardner-Policy-Institute-State-and-County-Projections-2025-2065-Data.xlsx,Vintage 2025 (Nov 2025)
Cache County,county,2025,jobs,93669,baseline,Kem C. Gardner Policy Institute — Utah State and County Long-Term Projections,https://d36oiwf74r1rap.cloudfront.net/wp-content/uploads/2025/11/Gardner-Policy-Institute-State-and-County-Projections-2025-2065-Data.xlsx,Vintage 2025 (Nov 2025)
Cache County,county,2030,population,152770,baseline,Kem C. Gardner Policy Institute — Utah State and County Long-Term Projections,https://d36oiwf74r1rap.cloudfront.net/wp-content/uploads/2025/11/Gardner-Policy-Institute-State-and-County-Projections-2025-2065-Data.xlsx,Vintage 2025 (Nov 2025)
Cache County,county,2030,households,53252,baseline,Kem C. Gardner Policy Institute — Utah State and County Long-Term Projections,https://d36oiwf74r1rap.cloudfront.net/wp-content/uploads/2025/11/Gardner-Policy-Institute-State-and-County-Projections-2025-2065-Data.xlsx,Vintage 2025 (Nov 2025)
Cache County,county,2030,persons_per_household,2.78,baseline,Kem C. Gardner Policy Institute — Utah State and County Long-Term Projections,https://d36oiwf74r1rap.cloudfront.net/wp-content/uploads/2025/11/Gardner-Policy-Institute-State-and-County-Projections-2025-2065-Data.xlsx,Vintage 2025 (Nov 2025)
Cache County,county,2030,household_population,148072,baseline,Kem C. Gardner Policy Institute — Utah State and County Long-Term Projections,https://d36oiwf74r1rap.cloudfront.net/wp-content/uploads/2025/11/Gardner-Policy-Institute-State-and-County-Projections-2025-2065-Data.xlsx,Vintage 2025 (Nov 2025)
Cache County,county,2030,group_quarters_population,4698,baseline,Kem C. Gardner Policy Institute — Utah State and County Long-Term Projections,https://d36oiwf74r1rap.cloudfront.net/wp-content/uploads/2025/11/Gardner-Policy-Institute-State-and-County-Projections-2025-2065-Data.xlsx,Vintage 2025 (Nov 2025)
Cache County,county,2030,median_age,26.81,baseline,Kem C. Gardner Policy Institute — Utah State and County Long-Term Projections,https://d36oiwf74r1rap.cloudfront.net/wp-content/uploads/2025/11/Gardner-Policy-Institute-State-and-County-Projections-2025-2065-Data.xlsx,Vintage 2025 (Nov 2025)
Cache County,county,2030,jobs,97197,baseline,Kem C. Gardner Policy Institute — Utah State and County Long-Term Projections,https://d36oiwf74r1rap.cloudfront.net/wp-content/uploads/2025/11/Gardner-Policy-Institute-State-and-County-Projections-2025-2065-Data.xlsx,Vintage 2025 (Nov 2025)
