date,docid,path,pages,size_bytes,n_email_blocks,n_genuine,had_comments,note
2018-11-20,186,planning_commission/raw/2018/2018-11-20_pc_186.pdf,13,4593326,0,0,no,
2018-12-19,193,planning_commission/raw/2018/2018-12-19_pc_193.pdf,19,7925016,0,0,no,
2019-01-16,200,planning_commission/raw/2019/2019-01-16_pc_200.pdf,15,5736076,0,0,no,
2019-02-20,208,planning_commission/raw/2019/2019-02-20_pc_208.pdf,15,5454882,0,0,no,
2019-03-20,216,planning_commission/raw/2019/2019-03-20_pc_216.pdf,25,6562974,0,0,no,
2019-04-23,229,planning_commission/raw/2019/2019-04-23_pc_229.pdf,7,2132541,0,0,no,
2019-06-19,249,planning_commission/raw/2019/2019-06-19_pc_249.pdf,13,5250109,0,0,no,
2019-07-17,259,planning_commission/raw/2019/2019-07-17_pc_259.pdf,13,5224546,0,0,no,
2019-07-29,262,planning_commission/raw/2019/2019-07-29_pc_262.pdf,7,1823563,0,0,no,
2019-08-21,269,planning_commission/raw/2019/2019-08-21_pc_269.pdf,15,5471409,0,0,no,
2019-09-10,276,planning_commission/raw/2019/2019-09-10_pc_276.pdf,5,1637317,0,0,no,
2019-09-18,279,planning_commission/raw/2019/2019-09-18_pc_279.pdf,15,5969160,0,0,no,
2019-10-16,286,planning_commission/raw/2019/2019-10-16_pc_286.pdf,7,2460127,0,0,no,
2019-11-20,303,planning_commission/raw/2019/2019-11-20_pc_303.pdf,21,8464751,0,0,no,
2019-11-25,306,planning_commission/raw/2019/2019-11-25_pc_306.pdf,9,2812053,0,0,no,
2019-12-18,316,planning_commission/raw/2019/2019-12-18_pc_316.pdf,11,4480666,0,0,no,
2020-01-15,322,planning_commission/raw/2020/2020-01-15_pc_322.pdf,13,4879307,0,0,no,
2020-01-30,336,planning_commission/raw/2020/2020-01-30_pc_336.pdf,4,1327719,0,0,no,
2020-02-19,340,planning_commission/raw/2020/2020-02-19_pc_340.pdf,14,5536301,0,0,no,
2020-03-18,349,planning_commission/raw/2020/2020-03-18_pc_349.pdf,16,6866068,0,0,no,
2020-04-15,357,planning_commission/raw/2020/2020-04-15_pc_357.pdf,48,13061516,0,0,no,
2020-05-20,368,planning_commission/raw/2020/2020-05-20_pc_368.pdf,9,3215967,0,0,no,
2020-06-17,376,planning_commission/raw/2020/2020-06-17_pc_376.pdf,13,5110916,0,0,no,
2020-07-15,386,planning_commission/raw/2020/2020-07-15_pc_386.pdf,14,6033315,0,0,no,
2020-08-19,393,planning_commission/raw/2020/2020-08-19_pc_393.pdf,6,2067944,0,0,no,
2020-09-16,400,planning_commission/raw/2020/2020-09-16_pc_400.pdf,5,1249471,0,0,no,
2020-10-21,412,planning_commission/raw/2020/2020-10-21_pc_412.pdf,11,4359083,0,0,no,
2020-11-18,419,planning_commission/raw/2020/2020-11-18_pc_419.pdf,9,3054916,0,0,no,
2020-12-16,427,planning_commission/raw/2020/2020-12-16_pc_427.pdf,10,3854676,0,0,no,
2021-01-20,437,planning_commission/raw/2021/2021-01-20_pc_437.pdf,10,3954251,0,0,no,
2021-02-17,443,planning_commission/raw/2021/2021-02-17_pc_443.pdf,11,4247680,0,0,no,
2021-03-17,452,planning_commission/raw/2021/2021-03-17_pc_452.pdf,9,2860092,0,0,no,
2021-04-21,464,planning_commission/raw/2021/2021-04-21_pc_464.pdf,22,7557737,0,0,no,
2021-05-19,470,planning_commission/raw/2021/2021-05-19_pc_470.pdf,15,6142386,0,0,no,
2021-06-16,480,planning_commission/raw/2021/2021-06-16_pc_480.pdf,5,1209319,0,0,no,
2021-06-29,483,planning_commission/raw/2021/2021-06-29_pc_483.pdf,9,3437152,0,0,no,
2021-07-21,490,planning_commission/raw/2021/2021-07-21_pc_490.pdf,12,4996944,0,0,no,
2021-08-18,497,planning_commission/raw/2021/2021-08-18_pc_497.pdf,17,7078510,0,0,no,
2021-09-15,506,planning_commission/raw/2021/2021-09-15_pc_506.pdf,37,12638976,10,6,yes,
2021-10-20,516,planning_commission/raw/2021/2021-10-20_pc_516.pdf,22,8502918,0,0,no,
2021-11-17,523,planning_commission/raw/2021/2021-11-17_pc_523.pdf,14,5683066,0,0,no,
2021-12-15,532,planning_commission/raw/2021/2021-12-15_pc_532.pdf,15,6047358,0,0,no,
2022-02-16,546,planning_commission/raw/2022/2022-02-16_pc_546.pdf,13,5335152,0,0,no,
2022-03-16,554,planning_commission/raw/2022/2022-03-16_pc_554.pdf,17,7416511,0,0,no,
2022-04-20,564,planning_commission/raw/2022/2022-04-20_pc_564.pdf,6,1592317,0,0,no,
2022-05-18,575,planning_commission/raw/2022/2022-05-18_pc_575.pdf,12,4389721,0,0,no,
2022-06-15,590,planning_commission/raw/2022/2022-06-15_pc_590.pdf,10,3835524,0,0,no,
2022-06-29,593,planning_commission/raw/2022/2022-06-29_pc_593.pdf,22,7663867,3,1,yes,
2022-07-20,598,planning_commission/raw/2022/2022-07-20_pc_598.pdf,13,4912132,0,0,no,
2022-09-21,616,planning_commission/raw/2022/2022-09-21_pc_616.pdf,12,4897663,0,0,no,
2022-10-19,626,planning_commission/raw/2022/2022-10-19_pc_626.pdf,18,6518919,1,1,yes,
2022-10-26,629,planning_commission/raw/2022/2022-10-26_pc_629.pdf,11,3514347,2,1,yes,
2022-11-16,639,planning_commission/raw/2022/2022-11-16_pc_639.pdf,9,3372738,0,0,no,
2022-12-21,647,planning_commission/raw/2022/2022-12-21_pc_647.pdf,9,3346601,0,0,no,
2023-01-18,655,planning_commission/raw/2023/2023-01-18_pc_655.pdf,18,7816571,0,0,no,
2023-01-23,659,planning_commission/raw/2023/2023-01-23_pc_659.pdf,6,2115869,0,0,no,
2023-02-15,663,planning_commission/raw/2023/2023-02-15_pc_663.pdf,15,6486365,0,0,no,
2023-02-28,669,planning_commission/raw/2023/2023-02-28_pc_669.pdf,5,1608236,0,0,no,
2023-03-15,674,planning_commission/raw/2023/2023-03-15_pc_674.pdf,9,3108762,0,0,no,
2023-04-19,684,planning_commission/raw/2023/2023-04-19_pc_684.pdf,11,4475848,0,0,no,
2023-05-17,692,planning_commission/raw/2023/2023-05-17_pc_692.pdf,11,4166282,0,0,no,
2023-06-21,701,planning_commission/raw/2023/2023-06-21_pc_701.pdf,7,2688993,0,0,no,
2023-07-19,712,planning_commission/raw/2023/2023-07-19_pc_712.pdf,11,4259217,0,0,no,
2023-08-16,718,planning_commission/raw/2023/2023-08-16_pc_718.pdf,10,3870927,0,0,no,
2023-09-20,729,planning_commission/raw/2023/2023-09-20_pc_729.pdf,20,8184304,0,0,no,
2023-10-18,736,planning_commission/raw/2023/2023-10-18_pc_736.pdf,8,5128313,0,0,no,
2023-11-15,743,planning_commission/raw/2023/2023-11-15_pc_743.pdf,12,4791918,0,0,no,
2024-01-17,764,planning_commission/raw/2024/2024-01-17_pc_764.pdf,9,3229724,0,0,no,
2024-02-21,776,planning_commission/raw/2024/2024-02-21_pc_776.pdf,8,2755844,0,0,no,
2024-02-28,780,planning_commission/raw/2024/2024-02-28_pc_780.pdf,13,5577601,0,0,no,
2024-03-20,787,planning_commission/raw/2024/2024-03-20_pc_787.pdf,22,6039970,8,3,yes,
2024-04-17,796,planning_commission/raw/2024/2024-04-17_pc_796.pdf,9,3087533,0,0,no,
2024-05-15,802,planning_commission/raw/2024/2024-05-15_pc_802.pdf,8,2955575,0,0,no,
2024-06-19,820,planning_commission/raw/2024/2024-06-19_pc_820.pdf,12,4851033,0,0,no,
2024-07-17,829,planning_commission/raw/2024/2024-07-17_pc_829.pdf,11,4108014,0,0,no,
2024-07-29,832,planning_commission/raw/2024/2024-07-29_pc_832.pdf,4,1165859,0,0,no,
2024-08-21,836,planning_commission/raw/2024/2024-08-21_pc_836.pdf,14,5473553,0,0,no,
2024-09-18,845,planning_commission/raw/2024/2024-09-18_pc_845.pdf,7,2472832,0,0,no,
2024-10-16,852,planning_commission/raw/2024/2024-10-16_pc_852.pdf,13,5065957,0,0,no,
2024-11-20,858,planning_commission/raw/2024/2024-11-20_pc_858.pdf,8,2958412,0,0,no,
2024-12-18,867,planning_commission/raw/2024/2024-12-18_pc_867.pdf,8,3139589,0,0,no,
2025-01-15,872,planning_commission/raw/2025/2025-01-15_pc_872.pdf,5,1564590,0,0,no,
2025-02-19,883,planning_commission/raw/2025/2025-02-19_pc_883.pdf,11,4547795,0,0,no,
2025-02-26,884,planning_commission/raw/2025/2025-02-26_pc_884.pdf,13,4788195,0,0,no,
2025-03-19,891,planning_commission/raw/2025/2025-03-19_pc_891.pdf,7,2177127,0,0,no,
2025-04-16,901,planning_commission/raw/2025/2025-04-16_pc_901.pdf,7,2437215,0,0,no,
2025-06-18,934,planning_commission/raw/2025/2025-06-18_pc_934.pdf,4,1077903,0,0,no,
2025-07-16,940,planning_commission/raw/2025/2025-07-16_pc_940.pdf,5,1546744,0,0,no,
2025-08-20,951,planning_commission/raw/2025/2025-08-20_pc_951.pdf,11,4142163,0,0,no,
2025-09-17,957,planning_commission/raw/2025/2025-09-17_pc_957.pdf,8,3143023,0,0,no,
2025-10-15,966,planning_commission/raw/2025/2025-10-15_pc_966.pdf,11,4395333,0,0,no,
2025-11-19,978,planning_commission/raw/2025/2025-11-19_pc_978.pdf,7,2400061,0,0,no,
2025-12-17,987,planning_commission/raw/2025/2025-12-17_pc_987.pdf,10,4259622,0,0,no,
2026-01-21,996,planning_commission/raw/2026/2026-01-21_pc_996.pdf,5,1703459,0,0,no,
2026-02-18,1006,planning_commission/raw/2026/2026-02-18_pc_1006.pdf,15,6200293,0,0,no,
2026-03-18,1017,planning_commission/raw/2026/2026-03-18_pc_1017.pdf,9,2948469,0,0,no,
2026-04-15,1026,planning_commission/raw/2026/2026-04-15_pc_1026.pdf,18,7815979,0,0,no,
2026-05-20,1043,planning_commission/raw/2026/2026-05-20_pc_1043.pdf,23,10347128,0,0,no,
2026-06-17,1060,planning_commission/raw/2026/2026-06-17_pc_1060.pdf,13,5399208,0,0,no,
