member,role,first_seen,last_seen,n_vote_rows,mayor_rows_seen
Banks,Commissioner/Chair,2021-01-05,2022-10-04,58,
Berndt,Commissioner/Chair,2024-01-09,2026-04-28,60,
Bradshaw,Commissioner/Chair,2020-01-07,2021-06-15,90,
Carter,Commissioner/Chair,2020-04-21,2020-07-21,16,
Chris Layton,Commissioner/Chair,2020-08-18,2022-12-06,49,
Cunningham,Commissioner/Chair,2022-08-16,2026-04-28,72,
Fonte,Commissioner/Chair,2024-01-09,2026-04-28,61,
Gong,Commissioner/Chair,2024-01-09,2026-04-28,57,
Holbrook,Commissioner/Chair,2020-01-07,2020-09-15,59,
Howard Layton,Commissioner/Chair,2020-08-18,2022-12-06,49,
Howard Lloyd,Commissioner/Chair,2021-02-23,2021-02-23,1,
Layton,Commissioner/Chair,2020-01-07,2022-09-13,62,
Lloyd,Commissioner/Chair,2020-01-21,2022-05-03,97,
Mackin,Commissioner/Chair,2020-01-07,2022-07-12,99,
Prince,Commissioner/Chair,2022-03-15,2026-04-28,66,
Ricks,Commissioner/Chair,2020-01-07,2021-06-15,100,
Roach,Commissioner/Chair,2022-03-15,2026-04-28,83,
Tripeny,Commissioner/Chair,2025-10-28,2026-04-28,15,
Vilchinsky,Commissioner/Chair,2022-08-16,2025-06-24,44,
