date,year,title,slug,path,source,source_url,format,body
2020-01-07,2020,Planning Commission Meeting,planning-commission,minutes/2020/2020-01-06/2020-01-07_planning-commission_wayback.md,wayback,http://cityofholladay.com/file/2020/12/010720-PC-Mtg.pdf,pdf-text,PlanningCommission
2020-01-21,2020,Planning Commission Meeting,planning-commission,minutes/2020/2020-01-20/2020-01-21_planning-commission_wayback.md,wayback,http://cityofholladay.com/file/2020/12/012120-PC-Mtg.pdf,pdf-text,PlanningCommission
2020-02-04,2020,Planning Commission Meeting,planning-commission,minutes/2020/2020-02-03/2020-02-04_planning-commission_wayback.md,wayback,http://cityofholladay.com/file/2020/12/020420-PC-Mtg.pdf,pdf-text,PlanningCommission
2020-02-18,2020,Planning Commission Meeting,planning-commission,minutes/2020/2020-02-17/2020-02-18_planning-commission_wayback.md,wayback,http://cityofholladay.com/file/2020/12/021820-PC-Mtg-.pdf,pdf-text,PlanningCommission
2020-03-03,2020,Planning Commission Meeting,planning-commission,minutes/2020/2020-03-02/2020-03-03_planning-commission_wayback.md,wayback,http://cityofholladay.com/file/2020/12/030320-PC-Mtg.pdf,pdf-text,PlanningCommission
2020-04-21,2020,Planning Commission Meeting,planning-commission,minutes/2020/2020-04-20/2020-04-21_planning-commission_wayback.md,wayback,http://cityofholladay.com/file/2020/12/042120-PC-Mtg.pdf,pdf-text,PlanningCommission
2020-05-05,2020,Planning Commission Meeting,planning-commission,minutes/2020/2020-05-04/2020-05-05_planning-commission_wayback.md,wayback,http://cityofholladay.com/file/2020/12/050520-PC-Mtg.pdf,pdf-text,PlanningCommission
2020-05-19,2020,Planning Commission Meeting,planning-commission,minutes/2020/2020-05-18/2020-05-19_planning-commission_wayback.md,wayback,http://cityofholladay.com/file/2020/12/051920-PC-Mtg.pdf,pdf-text,PlanningCommission
2020-06-02,2020,Planning Commission Meeting,planning-commission,minutes/2020/2020-06-01/2020-06-02_planning-commission_wayback.md,wayback,http://cityofholladay.com/file/2020/12/060220-PC-Mtg.pdf,pdf-text,PlanningCommission
2020-06-16,2020,Planning Commission Meeting,planning-commission,minutes/2020/2020-06-15/2020-06-16_planning-commission_wayback.md,wayback,http://cityofholladay.com/file/2020/12/061620-PC-Mtg.pdf,pdf-text,PlanningCommission
2020-07-07,2020,Planning Commission Meeting,planning-commission,minutes/2020/2020-07-06/2020-07-07_planning-commission_wayback.md,wayback,http://cityofholladay.com/file/2020/12/070720-PC-Mtg.pdf,pdf-text,PlanningCommission
2020-07-21,2020,Planning Commission Meeting,planning-commission,minutes/2020/2020-07-20/2020-07-21_planning-commission_wayback.md,wayback,http://cityofholladay.com/file/2020/12/072120-PC-Mtg.pdf,pdf-text,PlanningCommission
