candidate,office,election_year,filing_date,reporting_period,filing_type,stated_total_contributions,stated_total_expenditures,stated_beginning_balance,stated_ending_balance,itemized_contrib_sum,itemized_expend_sum,reconciles_contrib,reconciles_expend,recon_delta_contrib,recon_delta_expend,self_funded_amount,n_contrib_rows,n_expend_rows,source_filing,document_id,extraction_confidence,notes,filing_regime
Angel Vice,Mayor,2019,2019-10-29,interim,interim,8213.52,7345.75,,867.77,8213.52,7345.75,True,True,0.00,0.00,0.00,124,37,raw/wayback/201910_Angel-Vice_1215.pdf,1215,medium,vision-transcribed(read-tool); reconciles cash-only (cover total excludes in-kind),
Angel Vice,Mayor,2019,2019-12-05,summary,summary,317.99,1314.11,,-128.35,317.99,1314.11,True,True,0.00,0.00,0.00,3,7,raw/wayback/201912_Angel-Vice_1285.pdf,1285,high,vision-transcribed(read-tool),
Jeff Silvestrini,Mayor,2019,2019-10-29,interim,interim,75414.82,56078.32,,31970.06,75415.82,56078.32,False,True,1.00,0.00,0.00,239,41,raw/wayback/201910_Jeff-Silvestrini_1221.pdf,1221,low,vision-transcribed(read-tool); contrib!=stated,
Jeff Silvestrini,Mayor,2019,2019-12-05,summary,summary,982.29,9442.45,,23509.90,982.29,9442.45,True,True,0.00,0.00,0.00,13,8,raw/wayback/201912_Jeff-Silvestrini_1284.pdf,1284,medium,vision-transcribed(read-tool),
Silvia Catten,Council,2019,2019-10-28,interim,interim,350.00,350.00,,0.00,350.00,350.00,True,True,0.00,0.00,350.00,1,1,raw/wayback/201910_Silvia-Catten_1219.pdf,1219,medium,vision-transcribed(read-tool),
Silvia Catten,Council,2019,2019-12-04,summary,summary,300.00,300.00,,0.00,300.00,300.00,True,True,0.00,0.00,0.00,1,1,raw/wayback/201912_Silvia-Catten_1282.pdf,1282,medium,vision-transcribed(read-tool),
Cheri Jackson,Council,2019,2019-10-29,interim,interim,4341.21,3318.83,,1022.38,4341.21,3318.83,True,True,0.00,0.00,301.21,20,25,raw/wayback/201910_Cheri-Jackson_1216.pdf,1216,medium,vision-transcribed(read-tool),
Cheri Jackson,Council,2019,2019-11-26,summary,summary,0.00,564.06,,458.32,0.00,564.06,True,True,0.00,0.00,0.00,0,3,raw/wayback/201911_Cheri-Jackson_1274.pdf,1274,medium,vision-transcribed(read-tool),
Jemina A. Keller,Council,2019,2019-10-29,interim,interim,2761.79,2761.79,,0.00,2761.79,2761.79,True,True,0.00,0.00,2761.79,6,6,raw/wayback/201910_Jemina-A-Keller_1218.pdf,1218,medium,vision-transcribed(read-tool),
Jemina A. Keller,Council,2019,2019-11-25,summary,summary,4628.68,4628.68,,0.00,4628.68,4628.68,True,True,0.00,0.00,4628.68,9,9,raw/wayback/201911_Jemina-A-Keller_1272.pdf,1272,medium,vision-transcribed(read-tool),
Angel Vice,Council,2021,2021-12-31,summary,summary,12892.52,12658.07,,234.45,12892.52,12951.29,True,False,0.00,293.22,0.00,129,39,raw/live/202112_Angel-Vice_2676.pdf,2676,low,vision-transcribed(read-tool); reconciles cash-only (cover total excludes in-kind); expend!=stated,
Jeremiah Clark,Council,2021,2021-12-31,summary,summary,8502.75,6070.22,,2432.53,8502.75,6070.22,True,True,0.00,0.00,1117.75,18,24,raw/live/202112_Jeremiah-Clark_2680.pdf,2680,high,vision-transcribed(read-tool),
Lynda Bagley-Gibson,Council,2021,2021-12-31,summary,summary,471.60,248.96,,452.62,471.60,248.96,True,True,0.00,0.00,350.00,4,11,raw/live/202112_Lynda-Bagley-Gibson_2683.pdf,2683,high,vision-transcribed(read-tool),
Thom DeSirant,Council,2021,2021-12-31,summary,summary,13560.00,12110.00,,1450.39,13560.00,12110.04,True,False,0.00,0.04,4000.00,74,34,raw/live/202112_Thom-DeSirant_2682.pdf,2682,low,vision-transcribed(read-tool); reconciles cash-only (cover total excludes in-kind); expend!=stated,
Bev Uipi,Council,2021,2021-12-31,summary,summary,5058.62,4854.41,,204.21,5044.10,4854.41,False,True,-14.52,0.00,0.00,21,7,raw/live/202112_Bev-Uipi_2677.pdf,2677,low,vision-transcribed(read-tool); contrib!=stated,
Beverly Boyce,Council,2021,2021-12-31,summary,summary,1910.00,1910.00,,0.00,1910.00,1910.00,True,True,0.00,0.00,1150.00,11,8,raw/live/202112_Beverly-Boyce_2678.pdf,2678,high,vision-transcribed(read-tool),
Bruce Parker,Council,2021,2021-12-31,summary,summary,9190.00,8819.80,,370.20,9190.00,8819.80,True,True,0.00,0.00,7000.00,27,25,raw/live/202112_Bruce-Parker_2679.pdf,2679,high,vision-transcribed(read-tool),
Rex Williams,Council,2021,2021-12-31,summary,summary,325.13,325.13,,0.00,307.89,307.89,False,False,-17.24,-17.24,307.89,7,7,raw/live/202112_Rex-Williams_2681.pdf,2681,low,vision-transcribed(read-tool); contrib!=stated; expend!=stated,
Cheri Jackson,Council,2023,2023-10-24,interim,interim,11538.60,1485.80,,,11538.59,1485.80,True,True,-0.01,0.00,1000.00,23,13,raw/live/202310_Cheri-Jackson_3926.pdf,3926,high,vision-transcribed(read-tool),
Cheri Jackson,Council,2023,2023-11-14,interim,interim,455.96,4222.59,,,455.96,4222.59,True,True,0.00,0.00,205.96,4,6,raw/live/202311_Cheri-Jackson_4038.pdf,4038,high,vision-transcribed(read-tool),
Cheri Jackson,Council,2023,2023-12-11,summary,summary,8.58,218.20,,,8.58,218.20,True,True,0.00,0.00,8.58,1,2,raw/live/202312_Cheri-Jackson_4095.pdf,4095,high,vision-transcribed(read-tool),
David F. Holz,Council,2023,2023-10-24,interim,interim,245.97,245.97,,0.00,245.97,246.07,True,False,0.00,0.10,245.97,1,9,raw/live/202310_David-F-Holz_3931.pdf,3931,low,vision-transcribed(read-tool); expend!=stated,
David F. Holz,Council,2023,2023-11-14,interim,interim,357.14,357.14,,0.00,357.14,357.14,True,True,0.00,0.00,357.14,1,1,raw/live/202311_David-F-Holz_4039.pdf,4039,high,vision-transcribed(read-tool),
David F. Holz,Council,2023,2023-12-12,summary,summary,0.00,0.00,,0.00,0.00,603.11,True,False,0.00,603.11,0.00,0,2,raw/live/202312_David-F-Holz_4097.pdf,4097,low,vision-transcribed(read-tool); expend!=stated,
Scott Springer,Council,2023,2023-10-24,interim,interim,50.00,50.00,,,50.00,50.00,True,True,0.00,0.00,50.00,1,1,raw/live/202310_Scott-Springer_3928.pdf,3928,high,vision-transcribed(read-tool),
Scott Springer,Council,2023,2023-11-14,interim,interim,0.00,0.00,,,50.00,50.00,False,False,50.00,50.00,50.00,1,1,raw/live/202311_Scott-Springer_4040.pdf,4040,low,vision-transcribed(read-tool); contrib!=stated; expend!=stated,
Scott Springer,Council,2023,2023-12-15,summary,summary,0.00,0.00,,,50.00,50.00,False,False,50.00,50.00,50.00,1,1,raw/live/202312_Scott-Springer_4104.pdf,4104,low,vision-transcribed(read-tool); contrib!=stated; expend!=stated,
Cheri Jackson,Mayor,2025,2025-10-29,interim,interim,50.00,50.00,,0.00,50.00,50.00,True,True,0.00,0.00,50.00,1,1,raw/live/202510_Cheri-Jackson_5806.pdf,5806,high,vision-transcribed(read-tool),
Angie Gray,Council,2025,2025-10-07,interim,interim,5070.60,2108.72,,2961.88,5069.10,2108.72,False,True,-1.50,0.00,0.00,54,16,raw/live/202510_Angie-Gray_5766.pdf,5766,low,vision-transcribed(read-tool); contrib!=stated,
Angie Gray,Council,2025,2025-10-28,interim,interim,670.49,3206.10,,426.27,670.49,3206.10,True,True,0.00,0.00,0.00,5,8,raw/live/202510_Angie-Gray_5805.pdf,5805,high,vision-transcribed(read-tool),
Angie Gray,Council,2025,2025-12-03,summary,summary,60.19,486.46,,-426.27,60.19,486.46,True,True,0.00,0.00,34.44,2,7,raw/live/202512_Angie-Gray_5895.pdf,5895,high,incremental(per-period); cover THIS-report anchor,
Thom DeSirant,Council,2025,2025-10-06,interim,interim,56391.13,18930.38,,37460.75,56391.13,18930.38,True,True,0.00,0.00,0.00,303,64,raw/live/202510_Thom-DeSirant_5763.pdf,5763,high,vision-transcribed(read-tool); reconciles cash-only (cover total excludes in-kind),
Thom DeSirant,Council,2025,2025-10-27,interim,interim,3425.00,11866.05,,29019.70,3425.00,11866.05,True,True,0.00,0.00,0.00,19,19,raw/live/202510_Thom-DeSirant_5801.pdf,5801,high,vision-transcribed(read-tool),
Thom DeSirant,Council,2025,2025-12-04,summary,summary,895.00,5046.49,,24868.21,895.00,5046.49,True,True,0.00,0.00,0.00,8,11,raw/live/202512_Thom-DeSirant_5898.pdf,5898,high,vision-transcribed(read-tool),
Nicole Handy,Council,2025,2025-11-19,summary,summary,0.00,50.00,,-50.00,0.00,50.00,True,True,0.00,0.00,0.00,0,1,raw/live/202511_Nicole-Handy_5872.pdf,5872,high,incremental(per-period); cover THIS-report anchor,
Bev Uipi,Council,2025,2025-10-07,interim,interim,11740.70,2409.91,,9480.00,11740.70,2409.91,True,True,0.00,0.00,0.00,12,14,raw/live/202510_Bev-Uipi_5761.pdf,5761,high,vision-transcribed(read-tool),
Bev Uipi,Council,2025,2025-10-28,interim,interim,3800.20,570.02,,3230.18,3800.20,570.02,True,True,0.00,0.00,0.00,9,12,raw/live/202510_Bev-Uipi_5800.pdf,5800,high,incremental(per-period); cover THIS-report anchor,
