date,title,body,meeting_type,packet_kind,source_url,retrieved_date,format,extraction_method,path,size_mb,stored_locally
2020-01-07,City Council Meeting,Council,regular,agenda,https://www.nephi.utah.gov/AgendaCenter/ViewFile/Agenda/_01072020-94,2026-07-05,text,none (raw retained),raw/2020-01-07/council_94_agenda.pdf,0.0114,yes
2020-01-08,Planning Commission Agenda,PlanningCommission,regular,agenda,https://www.nephi.utah.gov/AgendaCenter/ViewFile/Agenda/_01082020-96,2026-07-05,scanned,none (raw retained),raw/2020-01-08/pc_96_agenda.pdf,0.0128,yes
2020-01-14,Work Session Agenda,Council,work_session,agenda,https://www.nephi.utah.gov/AgendaCenter/ViewFile/Agenda/_01142020-97,2026-07-05,text,none (raw retained),raw/2020-01-14/council_97_agenda.pdf,0.0071,yes
2020-01-21,City Council Meeting,Council,regular,agenda,https://www.nephi.utah.gov/AgendaCenter/ViewFile/Agenda/_01212020-99,2026-07-05,text,none (raw retained),raw/2020-01-21/council_99_agenda.pdf,0.0108,yes
2020-01-28,Work Session Agenda,Council,work_session,agenda,https://www.nephi.utah.gov/AgendaCenter/ViewFile/Agenda/_01282020-98,2026-07-05,text,none (raw retained),raw/2020-01-28/council_98_agenda.pdf,0.0102,yes
2020-02-04,City Council Meeting,Council,regular,agenda,https://www.nephi.utah.gov/AgendaCenter/ViewFile/Agenda/_02042020-100,2026-07-05,text,none (raw retained),raw/2020-02-04/council_100_agenda.pdf,0.0111,yes
2020-02-11,Work Session Agenda,Council,work_session,agenda,https://www.nephi.utah.gov/AgendaCenter/ViewFile/Agenda/_02112020-101,2026-07-05,text,none (raw retained),raw/2020-02-11/council_101_agenda.pdf,0.0099,yes
2020-02-18,City Council Meeting,Council,regular,agenda,https://www.nephi.utah.gov/AgendaCenter/ViewFile/Agenda/_02182020-103,2026-07-05,text,none (raw retained),raw/2020-02-18/council_103_agenda.pdf,0.0121,yes
2020-02-25,Work Session Agenda,Council,work_session,agenda,https://www.nephi.utah.gov/AgendaCenter/ViewFile/Agenda/_02252020-105,2026-07-05,text,none (raw retained),raw/2020-02-25/council_105_agenda.pdf,0.0069,yes
2020-03-03,City Council Meeting,Council,regular,agenda,https://www.nephi.utah.gov/AgendaCenter/ViewFile/Agenda/_03032020-106,2026-07-05,text,none (raw retained),raw/2020-03-03/council_106_agenda.pdf,0.0118,yes
2020-03-10,Work Session Agenda,Council,work_session,agenda,https://www.nephi.utah.gov/AgendaCenter/ViewFile/Agenda/_03102020-104,2026-07-05,text,none (raw retained),raw/2020-03-10/council_104_agenda.pdf,0.0066,yes
