level,ref,name,land_use_flag,note
title,1,General Provisions,,
title,2,Administration and Personnel,,
title,3,Revenue and Finance,,
title,4,Reserved,,
title,5,Business Licenses and Regulations,,
title,6,Animals,,
title,7,Reserved,,
title,8,Health and Safety,,
title,9,"Public Peace, Morals and Welfare",,
title,10,Parking and Vehicles,,
title,11,Reserved,,
title,12,"Rights of Way, Roadways, and Transportation Facilities",,
title,13,Public Services,,
title,14,Reserved,,
title,15,Buildings and Construction,land_use,
title,16,Subdivision Regulations,land_use,
title,17,Zoning Regulations,land_use,
chapter,15.04,BUILDING CODES ADOPTED,land_use,
chapter,15.08,FIRE CODE,land_use,
chapter,15.12,PUBLIC LAND CORNER PRESERVATION FUND,land_use,
chapter,15.16,CHIEF BUILDING OFFICIAL,land_use,
chapter,15.20,RESERVED,land_use,
chapter,15.24,FENCES,land_use,
chapter,15.28,FLOOD DAMAGE PREVENTION,land_use,
chapter,15.32,STORMWATER REGULATIONS,land_use,
chapter,16.01,GENERAL PROVISIONS AND ADMINISTRATION,land_use,
chapter,16.02,TYPE AND PROCESS,land_use,
chapter,16.03,REQUIREMENTS,land_use,
chapter,16.04,GENERAL REQUIREMENTS FOR ALL SUBDIVISIONS,land_use,
chapter,17.01,GENERAL PROVISIONS,land_use,
chapter,17.02,ADMINISTRATION,land_use,
chapter,17.03,REVIEW OF CONSTITUTIONAL TAKING ISSUES,land_use,
chapter,17.04,ENFORCEMENT,land_use,
chapter,17.05,RESERVED,land_use,
chapter,17.06,USES,land_use,
chapter,17.07,DEFINITIONS,land_use,
chapter,17.08,ZONING DISTRICTS,land_use,
chapter,17.09,SCHEDULE OF ZONING USES,land_use,
chapter,17.10,DEVELOPMENT STANDARDS,land_use,
chapter,17.11,RESERVED,land_use,
chapter,17.12,RESERVED,land_use,
chapter,17.13,MINERAL EXTRACTION AND EXCAVATION,land_use,
chapter,17.14,RESORT RECREATION,land_use,
chapter,17.15,RESERVED,land_use,
chapter,17.16,GROUP LIVING FACILITIES,land_use,
chapter,17.17,AIRPORT LIMITATION AREAS,land_use,
chapter,17.18,SENSITIVE AREAS,land_use,
chapter,17.19,PUBLIC INFRASTRUCTURE,land_use,
chapter,17.20,TELECOMMUNICATION FACILITIES,land_use,
chapter,17.21,RESERVED,land_use,
chapter,17.22,OFF STREET PARKING STANDARDS,land_use,
chapter,17.23,SIGN STANDARDS,land_use,
chapter,17.24,SEXUALLY ORIENTED BUSINESSES,land_use,
